科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"164,640,577.33","161,987,117.64","266,870,225.55","268,452,993.54","305,134,217.87","1,363,655,685.33","1,311,831,402.33","663,515,637.38","930,104,384.20","924,437,242.57"
短期借款,"398,045,419.24","320,049,558.44","125,018,020.47","143,780,103.07","126,027,442.10","81,619,268.68","25,357,375.18","15,772,823.40","695,309.73","572,348.09"
交易性金融资产,,,,,,,,,,
交易性金融负债,,,,,,,,,,
应收票据,"55,077,098.46","110,037,501.16","141,743,129.79","254,438,419.23","312,114,025.01","206,094,377.31","320,528,318.53","349,046,972.50","329,634,179.29","338,555,427.23"
应付票据,"53,268,996.68","69,009,855.17","124,565,908.14","159,814,594.58","162,247,400.31","168,587,613.38","241,410,257.45","338,024,699.63","314,998,577.57","340,141,561.46"
应收账款,"534,096,596.71","678,267,178.11","859,543,067.57","876,654,055.14","998,836,997.53","1,065,612,831.27","1,051,310,214.67","1,184,791,525.29","1,264,262,393.04","1,302,325,202.32"
应付账款,"331,639,855.44","543,922,277.44","596,780,354.87","647,039,830.83","720,923,178.77","722,067,991.74","861,770,238.75","798,986,541.06","834,365,159.57","858,484,520.58"
预付款项,"501,057.66","1,258,452.27","1,048,279.96","4,030,033.91","4,703,395.25","8,095,650.76","11,231,392.15","8,131,466.25","8,400,366.21","6,007,232.78"
预收款项,"781,556.64","1,593,494.92","3,150,910.74","3,087,114.35","4,571,055.19","3,447,266.42","2,796,272.66","3,780,293.65","2,730,811.22","5,592,137.86"
其他应收款,"18,371,385.23","12,329,354.78","19,867,426.75","14,169,494.77","10,170,633.33","12,083,313.60","18,797,582.82","14,943,321.59","27,194,304.04","17,210,586.09"
应付职工薪酬,"47,756,648.00","67,434,173.13","80,960,084.65","63,111,065.32","79,367,284.84","100,249,331.55","53,983,153.82","75,199,939.98","100,565,672.43","119,713,100.96"
应收关联公司款,,,,,,,,,,
应交税费,"12,348,438.99","16,800,481.66","26,901,466.91","38,286,199.14","46,702,388.19","49,332,794.06","62,375,464.17","61,943,870.53","79,009,229.62","79,065,698.45"
应收利息,,,,,,,,,,
应付利息,"1,755,746.41","845,096.98","711,592.08","1,107,063.65","684,805.52","517,065.91","345,930.49","18,061.59",,
应收股利,,,,,,,,,,
应付股利,,"8,820,000.00",,,,,,,,
存货,"142,582,942.81","195,753,301.87","234,128,162.40","289,014,203.36","301,493,906.31","341,780,197.59","434,878,522.31","411,680,469.22","491,642,495.09","457,885,281.50"
其他应付款,"7,436,483.29","7,906,841.52","10,393,121.07","10,311,380.99","13,842,924.32","25,426,964.70","16,305,377.13","14,605,547.66","16,015,452.20","18,445,469.31"
其中:消耗性生物资产,,,,,,,,,,
应付关联公司款,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,
