科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月
销售商品、提供劳务收到的现金,"291,734,510.95","657,499,480.31","983,992,043.17","1,842,169,185.97","343,913,511.17","964,830,947.57","1,374,624,364.58","2,116,629,806.19","196,559,016.68","917,454,507.40","1,342,910,838.02","2,182,570,285.60","411,390,857.32","956,008,558.92","1,538,614,737.52","2,623,082,285.10","422,576,072.34","1,085,215,835.18","1,308,737,725.34","2,513,795,374.27","428,366,603.90","1,360,419,460.42","2,571,999,619.48","3,449,753,112.01","767,555,935.94","1,844,514,542.82","2,646,896,800.49","4,912,999,383.98","581,313,141.01","1,268,235,654.52","2,800,057,918.95","4,831,383,181.84","1,182,082,871.65"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"3,394,026.76","6,202,472.49","9,154,963.77","16,969,260.99","12,623,153.55","6,296,522.40","52,867,606.11","18,608,302.22","4,608,989.86","9,611,778.78","17,134,355.75","9,210,102.96","177,489.28","267,875.90","5,593,103.81","13,373,980.01","306,632.99","9,126,112.47","17,897,281.94","20,303,876.49","5,504,805.94","7,336,525.75","17,915,933.35","18,478,020.14","3,942,289.37","9,219,674.44","13,577,094.00","10,507,444.62","3,254,689.12","2,413,417.56","5,262,898.22","8,234,976.23","2,690,920.55"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,"86,449,821.41",,,"84,657,294.96","56,104,279.69",,,,"1,251,882.73",,,,"932,000,000.00",,,,"350,000,000.00",
收到其他与经营活动有关的现金,"32,867,150.07","29,111,833.51","60,485,899.27","64,976,882.94","165,759,136.89","235,096,608.36","155,537,468.53","138,681,223.38","146,685,944.79","63,557,363.67","80,369,290.41","63,821,314.13","190,302,709.38","101,051,608.89","137,877,636.35","66,577,199.03","166,661,854.56","297,146,926.80","386,769,142.14","89,698,545.71","188,985,322.23","207,638,636.84","389,535,550.34","85,830,034.54","15,616,321.15","46,006,896.45","82,718,042.19","99,988,948.40","50,291,446.25","7,908,010.33","225,934,974.00","120,257,762.65","29,681,519.40"
投资活动现金流出小计,"184,780,462.47","185,779,673.76","245,803,586.09","346,143,744.98","1,456,036,048.49","2,051,139,240.79","1,750,217,091.91","2,040,637,952.69","179,954,923.98","86,850,118.27","313,983,691.93","329,267,519.57","192,816,895.39","133,597,814.61","115,619,733.79","338,206,165.46","403,937,915.08","611,673,328.80","1,278,565,935.33","1,422,072,398.02","80,480,783.62","231,808,563.06","565,377,195.75","1,275,407,588.68","65,537,765.18","555,302,431.78","1,643,575,352.61","1,712,787,108.13","243,758,317.69","275,061,529.22","633,268,792.06","797,568,393.13","269,963,745.91"
经营活动现金流入小计,"327,995,687.78","692,813,786.31","1,053,632,906.21","1,924,115,329.90","522,295,801.61","1,206,224,078.33","1,583,029,439.22","2,273,919,331.79","347,853,951.33","990,623,649.85","1,440,414,484.18","2,255,601,702.69","601,871,055.98","1,057,328,043.71","1,682,085,477.68","2,703,033,464.14","589,544,559.89","1,391,488,874.45","1,713,404,149.42","2,623,797,796.47","622,856,732.07","1,575,394,623.01","2,979,451,103.17","3,554,061,166.69","787,114,546.46","1,899,741,113.71","2,743,191,936.68","5,023,495,777.00","634,859,276.38","1,278,557,082.41","3,031,255,791.17","4,959,875,920.72","1,214,455,311.60"
投资活动产生的现金流量净额,"-23,374,248.25","11,501,146.10","30,254,446.75","197,364,371.59","-1,453,211,113.86","-1,885,080,003.14","-1,510,139,505.50","-1,823,162,952.86","-140,831,227.40","71,717,792.45","-75,042,787.88","-67,178,238.61","-170,151,362.90","-37,630,182.77","19,054,808.97","-151,323,657.92","-359,064,909.00","-537,311,049.49","-1,150,133,173.16","-1,245,950,672.23","-19,040,492.10","-151,931,371.54","-419,985,745.90","-977,400,570.57","-2,673,685.02","-325,134,089.19","-1,390,759,202.97","-1,144,883,956.21","-231,951,874.36","472,974,797.85","-100,639,467.07","892,594,801.84","-136,420,009.01"
购买商品、接受劳务支付的现金,"141,040,102.74","298,867,420.64","440,094,812.45","957,252,283.67","218,064,266.29","577,518,239.81","815,169,614.87","1,101,637,559.14","148,801,252.87","487,398,853.75","767,530,752.37","1,117,150,478.74","390,831,919.20","597,144,666.29","875,034,727.37","1,130,170,801.29","477,700,051.74","769,452,229.51","1,014,953,297.66","1,450,888,045.14","503,586,541.02","1,036,334,459.53","2,024,427,030.72","2,279,237,758.42","620,672,144.84","1,096,090,015.50","1,569,541,000.43","2,384,335,443.85","524,416,952.31","891,558,699.81","1,849,190,551.54","2,409,054,998.17","1,096,859,172.47"
吸收投资收到的现金,,"1,202,450,000.00","2,450,000.00","1,051,049,953.00","90,100,000.00","496,650,000.00","385,050,000.00","2,606,000,000.00",,,"159,670,554.44","159,670,554.44",,,,"83,491,830.58",,,,,,,,,,,,,,,,"20,000,000.00",
