科目,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"75,576,883,000.00","174,647,366,000.00","41,053,199,000.00","85,667,003,000.00","118,793,403,000.00","222,657,492,000.00","60,342,905,000.00","126,192,450,000.00","216,385,740,000.00","285,536,154,000.00","85,327,107,000.00","164,724,042,000.00","297,987,341,000.00","448,366,827,000.00","90,366,465,000.00","201,708,601,000.00","310,600,291,000.00","414,319,619,000.00","74,995,166,000.00","186,925,499,000.00","311,942,855,000.00","551,073,344,000.00","105,833,569,000.00","239,244,978,000.00","408,380,878,000.00","554,605,361,000.00","115,731,708,000.00","255,698,341,000.00","411,342,847,000.00","584,705,102,000.00","136,975,104,000.00","276,957,437,000.00","399,564,051,000.00","580,831,308,000.00","139,296,507,000.00","269,200,586,000.00","419,899,728,000.00","634,213,296,000.00","143,252,562,000.00","299,003,026,000.00","442,308,971,000.00","684,183,754,000.00","129,692,454,000.00","316,671,854,000.00"
取得子公司及其他营业单位支付的现金净额,,,,,"200,000,000.00",,,,"658,248,000.00",,"160,000,000.00",,"246,000,000.00",,,,"99,953,000.00",,,"289,115,000.00","124,115,000.00","124,115,000.00",,,,,,,,,,,"88,464,000.00",,"104,081,000.00",,"134,081,000.00",,"122,751,000.00",,,"32,298,000.00","11,050,000.00","39,633,000.00"
收到的税费返还,"7,454,000.00","8,673,000.00","17,192,000.00","6,253,000.00","6,252,000.00","98,237,000.00","7,729,000.00","8,308,000.00","180,663,000.00","214,222,000.00","42,231,000.00","91,888,000.00","204,930,000.00","223,161,000.00","64,309,000.00","128,834,000.00","198,161,000.00","273,670,000.00","158,024,000.00","139,773,000.00","220,209,000.00","334,662,000.00","42,235,000.00","152,948,000.00","214,154,000.00","422,127,000.00","10,086,000.00","72,739,000.00","164,161,000.00","384,044,000.00","78,886,000.00","214,827,000.00","281,252,000.00","383,024,000.00","158,005,000.00","258,784,000.00","389,446,000.00","518,055,000.00","83,053,000.00","134,885,000.00","304,181,000.00","393,839,000.00","116,450,000.00","269,248,000.00"
支付其他与投资活动有关的现金,"2,734,892,000.00","4,447,442,000.00","14,900,000.00","2,052,467,000.00","2,010,249,000.00","7,142,208,000.00","53,451,000.00","5,009,252,000.00","5,068,573,000.00","5,307,664,000.00","2,254,000.00","2,155,801,000.00","4,839,179,000.00","7,898,934,000.00","6,000.00","3,379,748,000.00","3,818,167,000.00","10,823,081,000.00",,"4,933,400,000.00","6,598,940,000.00","11,157,852,000.00",,"4,058,579,000.00","4,000,000,000.00","6,384,098,000.00",,"925,000,000.00","2,082,925,000.00","925,090,000.00","2,134,736,000.00","200,000,000.00","200,000,000.00","3,140,187,000.00","690,000,000.00",,"6,184,000.00",,"68,779,000.00","2,281,686,000.00","2,505,291,000.00","2,029,741,000.00",,"850,000,000.00"
收到其他与经营活动有关的现金,"516,084,000.00","1,207,184,000.00","191,067,000.00","622,281,000.00","967,094,000.00","1,600,044,000.00","326,913,000.00","993,047,000.00","1,428,754,000.00","2,092,655,000.00","433,198,000.00","1,073,399,000.00","2,184,332,000.00","2,529,234,000.00","567,631,000.00","1,059,905,000.00","1,697,002,000.00","2,238,277,000.00","1,561,696,000.00","956,612,000.00","1,751,438,000.00","2,473,068,000.00","1,880,460,000.00","1,009,151,000.00","2,165,165,000.00","2,716,736,000.00","2,809,214,000.00","1,018,019,000.00","2,010,077,000.00","3,550,121,000.00","3,702,643,000.00","6,897,608,000.00","2,500,827,000.00","16,685,634,000.00","2,161,759,000.00","3,823,848,000.00","4,191,005,000.00","9,369,163,000.00","3,026,463,000.00","5,237,767,000.00","6,032,975,000.00","13,457,838,000.00","3,335,596,000.00","6,221,986,000.00"
投资活动现金流出小计,"6,766,391,000.00","14,831,129,000.00","2,456,922,000.00","7,562,897,000.00","8,656,690,000.00","18,991,817,000.00","2,730,099,000.00","9,084,528,000.00","11,933,963,000.00","19,789,919,000.00","2,614,148,000.00","8,643,496,000.00","13,240,155,000.00","26,093,324,000.00","3,369,975,000.00","9,235,919,000.00","11,575,925,000.00","23,085,869,000.00","1,924,269,000.00","9,698,277,000.00","13,322,100,000.00","23,289,641,000.00","4,446,818,000.00","12,513,765,000.00","16,473,573,000.00","24,757,693,000.00","3,231,090,000.00","10,252,259,000.00","15,973,717,000.00","23,558,373,000.00","7,745,061,000.00","12,584,241,000.00","17,163,880,000.00","32,566,685,000.00","7,339,165,000.00","15,028,333,000.00","21,826,774,000.00","35,503,029,000.00","9,757,849,000.00","17,534,807,000.00","25,358,599,000.00","41,249,401,000.00","12,477,115,000.00","20,603,178,000.00"
经营活动现金流入小计,"76,100,421,000.00","175,863,223,000.00","41,261,458,000.00","86,295,537,000.00","119,766,749,000.00","224,355,773,000.00","60,677,547,000.00","127,193,805,000.00","217,995,157,000.00","287,843,031,000.00","85,802,536,000.00","165,889,329,000.00","300,376,603,000.00","451,119,222,000.00","90,998,405,000.00","202,897,340,000.00","312,495,454,000.00","416,831,566,000.00","76,714,886,000.00","188,021,884,000.00","313,914,502,000.00","553,881,074,000.00","107,756,264,000.00","240,407,077,000.00","410,760,197,000.00","557,744,224,000.00","118,551,008,000.00","256,789,099,000.00","413,517,085,000.00","588,639,267,000.00","140,756,633,000.00","284,069,872,000.00","404,336,667,000.00","597,899,966,000.00","134,287,464,000.00","273,283,218,000.00","424,650,531,000.00","644,100,514,000.00","145,381,362,000.00","305,360,069,000.00","449,785,688,000.00","698,035,431,000.00","133,144,500,000.00","324,258,389,000.00"
投资活动产生的现金流量净额,"-5,467,339,000.00","-12,182,613,000.00","-2,077,158,000.00","-6,440,448,000.00","-7,410,383,000.00","-13,068,202,000.00","-2,710,569,000.00","-5,374,721,000.00","-7,822,761,000.00","-13,629,192,000.00","-2,584,116,000.00","-4,959,688,000.00","-9,441,676,000.00","-15,525,050,000.00","-3,340,291,000.00","-3,328,663,000.00","-5,408,145,000.00","-10,603,008,000.00","-1,897,670,000.00","-3,532,164,000.00","-5,713,031,000.00","-8,308,870,000.00","-4,416,713,000.00","-8,551,569,000.00","-12,591,202,000.00","-19,996,501,000.00","-3,202,172,000.00","-6,745,393,000.00","-15,665,196,000.00","-16,504,966,000.00","-7,728,685,000.00","-8,011,456,000.00","-12,288,650,000.00","-24,336,297,000.00","-7,240,303,000.00","-10,050,957,000.00","-15,487,257,000.00","-26,272,603,000.00","-9,662,490,000.00","-16,783,875,000.00","-24,483,326,000.00","-36,687,650,000.00","-11,063,659,000.00","-18,239,765,000.00"
购买商品、接受劳务支付的现金,"61,557,224,000.00","146,423,802,000.00","35,201,301,000.00","79,044,603,000.00","108,575,758,000.00","192,633,740,000.00","52,611,605,000.00","104,543,706,000.00","187,813,672,000.00","235,282,453,000.00","75,252,538,000.00","144,944,924,000.00","270,099,516,000.00","402,756,633,000.00","85,297,721,000.00","192,244,883,000.00","295,868,775,000.00","384,339,849,000.00","68,812,299,000.00","169,104,151,000.00","276,771,332,000.00","498,769,835,000.00","92,344,297,000.00","219,425,833,000.00","383,068,335,000.00","507,438,198,000.00","104,440,793,000.00","239,188,738,000.00","383,707,013,000.00","515,311,902,000.00","123,272,985,000.00","244,032,022,000.00","343,866,033,000.00","478,446,298,000.00","123,616,131,000.00","235,082,436,000.00","377,024,282,000.00","519,987,206,000.00","141,432,244,000.00","283,227,927,000.00","407,250,766,000.00","587,113,314,000.00","148,906,756,000.00","321,822,806,000.00"
吸收投资收到的现金,,"2,400,000,000.00","37,494,830,000.00","39,123,463,000.00","39,123,463,000.00","39,151,656,000.00",,"4,803,000.00","4,803,000.00","173,644,000.00",,"5,161,000.00","175,000,000.00","176,827,000.00",,"32,637,000.00","32,637,000.00","115,838,000.00",,"79,751,000.00","79,751,000.00","436,946,000.00","30,500,000.00","91,155,000.00","380,400,000.00","1,505,955,000.00","49,200,000.00","1,322,865,000.00","6,271,837,000.00","9,114,329,000.00","32,792,000.00","3,576,502,000.00","13,353,204,000.00","14,986,919,000.00","1,020,000,000.00","9,058,001,000.00","9,758,281,000.00","11,119,687,000.00","20,000,000.00","601,431,000.00","1,820,000,000.00","16,819,530,000.00","4,529,489,000.00","10,232,413,000.00"
