科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"347,114,156.52","404,990,843.14","460,694,961.03",,"153,702,175.71","254,112,028.50","528,576,401.98","84,708,223.95","174,955,110.75","298,542,614.27","609,012,993.27","64,812,924.51","189,122,258.43","316,707,616.49","741,902,971.77","81,126,721.24"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,
收到的税费返还,,,,,,,,,"1,049,198.63","1,303,549.75",,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"20,830,776.90","10,881,641.15","6,783,111.19",,"6,453,944.76","7,102,394.36","12,293,272.52","3,887,735.16","3,555,034.90","4,598,819.70","16,446,004.29","5,498,708.09","6,030,890.61","8,249,543.77","22,529,378.22","9,441,204.61"
投资活动现金流出小计,"3,676,701.72","12,801,816.69","12,520,211.47",,"6,140,364.95","8,749,815.78","12,168,835.69","4,544,823.11","6,541,602.83","21,690,577.41","50,370,682.47","11,350,244.36","20,851,232.43","44,924,920.03","52,114,516.37","65,192,618.33"
经营活动现金流入小计,"367,944,933.42","415,872,484.29","467,478,072.22",,"160,156,120.47","261,214,422.86","540,869,674.50","88,595,959.11","179,559,344.28","304,444,983.72","625,458,997.56","70,311,632.60","195,153,149.04","324,957,160.26","764,432,349.99","90,567,925.85"
投资活动产生的现金流量净额,"4,788,101.90","-6,635,643.50","-12,518,371.04","-2,995,700.00","-6,066,578.54","-8,676,029.37","-12,095,049.28","-4,544,823.11","-6,517,602.83","-21,666,577.41","-50,347,162.47","-11,292,244.36","-20,794,921.75","-31,790,969.35","-38,951,487.03","-65,192,618.33"
购买商品、接受劳务支付的现金,"167,546,173.08","165,673,342.51","170,982,814.09",,"66,206,922.16","104,859,304.13","197,249,213.94","56,844,356.45","106,710,959.62","154,675,546.35","240,378,440.27","32,159,091.91","53,367,211.44","96,404,190.80","219,424,692.04","71,197,462.59"
吸收投资收到的现金,"980,000.00","6,300,000.00",,,,,"199,700,000.00",,,"400,000.00","400,000.00",,,,,"437,450,000.00"
支付给职工以及为职工支付的现金,"78,780,530.36","97,244,233.70","125,008,636.45",,"70,155,783.98","112,743,173.76","143,618,605.50","39,911,238.36","86,077,424.21","131,376,484.61","199,737,875.16","51,682,746.06","118,695,290.48","181,961,666.45","254,961,266.10","65,684,172.95"
取得借款收到的现金,"15,000,000.00","15,000,000.00","15,000,000.00",,,,,,,"75,000,000.00","75,000,000.00",,,,,
支付的各项税费,"22,482,673.06","23,501,081.93","21,969,178.32",,"16,785,273.70","26,462,994.29","33,926,134.62","13,430,749.79","19,770,459.97","29,802,466.93","38,207,173.39","20,639,340.54","27,270,525.49","40,648,243.90","58,920,080.02","22,260,592.56"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"43,356,621.90","56,913,768.26","60,557,299.93",,"22,406,694.48","38,729,890.83","71,165,560.55","25,334,735.96","35,158,559.53","52,376,935.28","68,582,109.31","24,358,138.17","46,068,098.43","71,063,709.32","92,049,901.04","27,189,175.25"
筹资活动现金流入小计,"15,980,000.00","21,300,000.00","15,000,000.00",,,,"199,700,000.00",,,"75,400,000.00","75,400,000.00",,,,,"437,450,000.00"
经营活动现金流出小计,"312,165,998.40","343,332,426.40","378,517,928.79",,"175,554,674.32","282,795,363.01","445,959,514.61","135,521,080.56","247,717,403.33","368,231,433.17","546,905,598.13","128,839,316.68","245,401,125.84","390,077,810.47","625,355,939.20","186,331,403.35"
偿还债务支付的现金,"35,000,000.00","15,000,000.00","15,000,000.00",,,,"15,000,000.00",,,,,,,,,
经营活动产生的现金流量净额,"55,778,935.02","72,540,057.89","88,960,143.43","-46,306,200.00","-15,398,553.85","-21,580,940.15","94,910,159.89","-46,925,121.45","-68,158,059.05","-63,786,449.45","78,553,399.43","-58,527,684.08","-50,247,976.80","-65,120,650.21","139,076,410.79","-95,763,477.50"
分配股利、利润或偿还利息支付的现金,"11,139,624.98","20,616,869.43","40,878,217.77",,"60,410,527.42","60,605,210.23","60,780,621.61",,"39,926,982.85","40,980,000.00","41,207,500.00","225,000.00","42,053,500.00","45,185,000.00","47,862,500.00","225,000.00"
收回投资收到的现金,,,,,,,,,,,,,,"10,000,000.00","13,081,092.83",
支付其他与筹资活动有关的现金,,,,,,,,"4,972,400.00","5,005,396.64","5,005,396.64","4,972,400.00",,,,,"1,250,000.00"
取得投资收益收到的现金,"7,955,042.08",,,,,,,,,,,,,,,
筹资活动现金流出小计,"46,139,624.98","35,616,869.43","55,878,217.77",,"60,410,527.42","60,605,210.23","75,780,621.61","4,972,400.00","44,932,379.49","45,985,396.64","46,179,900.00","225,000.00","42,053,500.00","45,185,000.00","47,862,500.00","1,475,000.00"
处置固定资产、无形资产和其他长期资产收回的现金净额,"509,761.54",,"1,840.43",,"73,786.41","73,786.41","73,786.41",,"24,000.00","24,000.00","23,520.00","58,000.00","56,310.68","56,310.68","81,936.51",
