科目,2008年度,2009年度,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"413,480,732.93","446,092,314.87","794,511,051.65","204,719,647.89","436,801,303.02","636,944,686.62","903,850,578.64","293,263,869.32","544,010,742.06","749,763,823.51","1,067,215,671.15","469,824,363.99","907,399,273.25","1,302,742,423.87","1,900,453,898.75","834,393,237.37","1,847,445,879.87","3,006,796,441.82","4,874,559,378.54","1,671,261,628.58","2,773,557,421.47","4,635,420,537.01","7,077,674,636.43","1,920,628,822.41","3,681,015,813.98","5,859,907,390.52","8,432,318,503.31","3,013,503,157.84","5,431,624,535.44","8,948,051,254.46","13,768,068,201.95"
取得子公司及其他营业单位支付的现金净额,"800,000.00",,,,,,,,,,,,,,,,,,"39,002,167.82",,,,,,,,,,,,
收到的税费返还,"1,025,677.32","447,354.33","15,896.90","318,535.39","906,494.44","1,494,396.84","3,429,888.09","1,689,137.84","2,984,007.81","4,475,606.36","7,213,450.80","24,866,639.71","37,885,354.23","42,197,262.57","49,913,433.44","2,688,432.86","5,324,313.84","28,161,830.06","52,143,951.98","40,630,255.72","49,015,820.96","76,866,995.89","95,863,090.89","24,626,664.99","52,864,592.99","61,001,691.52","83,418,327.72","58,323,395.77","103,201,651.24","113,871,934.86","187,662,967.30"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,"8,850,727.30",,"1,499,577.92",,"1,499,577.92","85,000.00",,"85,000.00",,,"7,663,392.03","7,663,392.03",,"53,000,000.00",,"131,227,000.00","5,543,013.52"
收到其他与经营活动有关的现金,"3,529,302.95","11,953,211.05","4,748,102.41","2,154,445.86","4,374,698.30","7,524,368.81","12,916,258.65","2,147,719.12","5,416,173.72","30,820,446.35","30,793,670.53","16,569,572.39","36,421,092.43","33,281,370.45","19,450,009.45","25,170,816.03","5,660,757.39","31,554,459.98","14,940,121.40","53,929,992.99","140,157,776.86","272,184,751.50","26,428,289.57","67,033,768.45","21,663,461.26","30,616,069.85","66,856,881.44","178,879,460.21","139,298,363.41","184,026,817.30","106,788,247.31"
投资活动现金流出小计,"20,057,883.01","16,986,514.12","42,280,123.89","31,174,127.82","40,867,847.11","49,813,641.67","86,624,852.96","112,912,720.43","189,334,939.14","240,645,967.38","408,744,119.09","66,332,138.88","75,640,142.92","109,175,499.33","166,059,676.53","51,776,185.28","119,367,002.17","197,923,338.14","458,808,931.23","169,793,403.86","420,497,271.02","625,750,282.11","803,864,886.32","118,678,935.57","311,704,754.01","557,831,813.51","773,225,281.48","477,188,723.78","645,229,370.47","1,410,531,677.84","1,796,566,480.05"
经营活动现金流入小计,"418,035,713.20","458,492,880.25","799,275,050.96","207,192,629.14","442,082,495.76","645,963,452.27","920,196,725.38","297,100,726.28","552,410,923.59","785,059,876.22","1,105,222,792.48","511,260,576.09","981,705,719.91","1,378,221,056.89","1,969,817,341.64","862,252,486.26","1,858,430,951.10","3,066,512,731.86","4,941,643,451.92","1,765,821,877.29","2,962,731,019.29","4,984,472,284.40","7,199,966,016.89","2,012,289,255.85","3,755,543,868.23","5,951,525,151.89","8,582,593,712.47","3,250,706,013.82","5,674,124,550.09","9,245,950,006.62","14,062,519,416.56"
投资活动产生的现金流量净额,"-20,005,544.92","-16,955,410.78","-41,806,347.66","-31,174,127.82","-40,867,847.11","-49,813,641.67","-86,624,852.96","-112,912,720.43","-189,334,107.76","-240,645,967.38","-408,198,865.25","-66,332,138.88","-75,640,142.92","-109,175,499.33","-159,124,708.90","-51,776,185.28","-109,962,305.90","-196,863,144.38","-446,237,807.20","-168,760,944.51","-222,393,167.19","-354,450,639.97","-513,256,016.65","-106,126,882.60","-296,568,729.41","-487,521,908.06","-671,221,215.89","-410,759,029.95","-580,458,381.14","-1,206,402,160.99","-1,694,859,031.21"
购买商品、接受劳务支付的现金,"258,076,982.92","328,296,685.06","575,798,436.20","147,536,940.30","349,558,083.38","544,590,734.45","750,423,521.32","205,792,216.78","423,425,670.77","706,293,077.77","952,895,894.35","442,925,905.31","772,795,103.60","1,119,457,444.23","1,742,952,011.87","643,202,950.56","1,501,381,371.91","2,235,076,563.58","3,500,192,062.65","1,192,646,911.28","2,131,489,509.34","3,418,609,325.15","5,530,792,866.64","1,384,150,170.04","2,820,171,661.43","4,304,955,978.73","6,125,848,896.29","2,707,487,788.56","5,119,353,016.46","8,076,291,998.52","12,237,564,049.11"
吸收投资收到的现金,"6,750,000.00",,,,"833,652,840.00","833,652,840.00","833,652,840.00",,,,,,,,,,"79,465,220.00","84,945,220.00","79,945,220.00","59,820,000.00","28,090,425.00","45,290,425.00","249,323,185.00",,"11,332,200.00","142,813,245.50","34,823,700.00",,,,"200,000.00"
