科目,2007年度,2008年度,2009年度,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"1,266,773,428.02","1,471,251,038.10","1,480,130,899.45","1,341,819,601.78","1,929,769,319.95","464,425,147.64","1,080,257,022.90","1,751,978,213.16","2,514,490,727.49","483,435,238.44","1,117,845,314.65","1,831,334,966.26","2,577,559,758.33","523,707,527.15","1,192,645,905.95","2,020,657,734.03","3,001,560,684.31","593,510,593.03","1,363,228,180.69","2,247,534,361.23","3,177,128,199.24","653,538,572.43","1,483,941,252.24","2,335,154,127.20","3,236,131,416.75","557,390,760.44","1,317,212,717.42","2,196,436,388.27","3,125,297,731.78","625,019,626.05","1,596,223,751.25","2,739,511,789.79"
二、营业利润,"73,013,208.53","93,434,589.73","108,477,132.99","93,166,556.05","126,008,140.49","26,862,509.72","68,653,351.95","103,687,043.79","128,727,419.97","28,367,262.61","67,079,077.23","101,191,860.55","123,641,591.78","14,917,428.52","44,737,040.86","86,250,412.79","121,291,851.62","13,777,917.71","46,254,567.88","105,445,914.00","140,038,547.76","18,344,563.69","61,993,418.85","126,398,777.05","162,693,415.53","27,216,906.42","82,324,923.78","148,114,589.05","179,126,738.33","29,454,177.77","77,191,968.02","136,448,222.53"
减:营业成本,"1,109,532,220.58","1,271,258,699.55","1,261,524,424.91","1,171,184,130.12","1,686,891,003.96","410,179,864.12","961,450,054.70","1,555,765,664.74","2,241,087,849.44","421,707,200.85","979,680,254.49","1,616,619,502.61","2,280,765,881.57","466,526,017.59","1,057,493,712.62","1,794,897,869.93","2,663,910,460.56","525,838,335.71","1,209,687,536.11","1,972,221,130.79","2,768,858,030.33","572,886,063.70","1,283,763,025.44","1,996,030,701.17","2,758,684,445.90","460,848,199.62","1,088,489,984.50","1,820,411,330.48","2,596,072,989.64","529,057,914.28","1,371,439,901.74","2,356,897,674.01"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"2,869,920.77","4,163,848.04","3,666,219.31","2,565,621.94","3,604,065.62","680,399.18","1,482,914.51","2,299,479.08","3,958,215.36","664,386.81","1,166,367.92","2,510,115.82","1,408,405.75","838,710.81","2,101,109.21","3,397,183.26","7,494,150.39","1,146,148.96","3,098,161.26","4,381,795.60","9,194,344.11","1,844,930.56","1,791,629.73","6,046,205.84","12,184,451.16","1,486,953.72","3,192,159.44","7,740,635.84","22,819,513.37","3,357,411.81","7,287,452.95","12,186,856.96"
营业外收入,"4,921,394.58","6,536,984.95","8,681,259.91","2,471,972.50","8,716,214.67","3,761,740.43","5,410,708.70","7,369,924.27","16,138,151.35","1,439,435.72","3,089,168.50","4,927,582.96","12,113,541.07","1,457,075.89","2,874,760.86","4,371,912.25","11,914,699.07","3,575,281.63","4,870,176.99","7,800,088.93","16,729,625.29","1,511,075.88","2,910,155.99","5,407,986.89","16,729,134.43","2,688,450.36","5,550,136.29","9,019,666.04","20,753,026.38","1,745,881.52","5,070,263.31","3,999,066.98"
销售费用,"35,257,341.96","38,316,207.71","54,151,348.54","35,629,554.63","54,129,285.31","12,846,813.11","25,652,642.13","43,235,838.15","66,624,649.30","17,132,204.47","35,844,320.31","58,424,962.14","93,832,799.41","21,782,336.41","45,366,994.72","72,356,652.74","112,097,288.39","25,295,755.17","52,808,460.77","86,267,032.05","135,882,038.84","29,880,965.88","67,062,069.27","105,551,625.29","156,096,380.90","28,859,779.10","64,974,456.12","107,715,351.61","169,833,438.82","36,868,667.23","81,087,463.92","139,779,381.47"
减:营业外支出,"283,944.04","997,237.07","251,000.27","300,937.23","391,594.10","16,788.28","62,287.57","89,467.39","230,512.95",197.00,"215,396.39","347,020.67","451,695.68","89,154.41","162,090.69","163,037.87","357,586.95","72,383.86","209,911.73","148,967.51","238,757.21","178,373.74","241,210.41","279,511.68","465,640.43","155,044.08","222,752.43","277,463.92","758,280.40","47,014.43","437,562.88","701,929.58"
管理费用,"30,802,705.65","43,934,601.12","49,193,783.03","31,198,633.23","49,566,974.59","16,104,454.93","33,619,779.03","50,447,062.71","79,502,142.46","15,819,855.02","34,434,939.59","55,448,217.61","88,058,514.30","20,363,825.33","43,661,146.89","68,113,025.05","104,991,501.14","25,829,944.42","51,648,151.88","78,561,696.66","124,527,752.66","33,385,490.37","68,378,493.64","103,277,473.54","152,158,091.00","40,921,269.98","82,761,219.21","124,274,977.24","160,935,360.61","34,600,980.96","69,473,286.14","107,630,992.67"
其中:非流动资产处置净损失,"110,294.62","226,819.90","26,700.45","217,888.40","254,079.78",,"4,677.97","19,589.88","145,109.01",147.00,"5,561.59","85,170.13","217,554.28","1,305.40","9,161.82","10,018.52","94,465.91","17,669.38","25,792.64","31,430.43","98,104.01","174,473.93","198,717.15","200,174.93","372,824.45","2,265.66","16,777.01","21,478.58","387,607.78","39,896.12","54,700.44","115,949.03"
