科目,2007-12-31,2008-12-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"10,340,039.16","63,560,079.35","60,851,188.36","395,366,454.32","409,543,658.72","328,056,550.09","311,401,636.97","330,666,927.79","379,406,296.27","351,880,435.54","303,020,649.01","287,921,614.52","365,080,788.90","301,528,295.30","320,634,563.09","321,039,086.04","587,499,774.72","551,856,476.39","418,255,656.09","514,651,761.00","731,206,403.03","603,621,748.03","472,294,622.75","475,693,086.08","874,049,974.50","694,522,808.03","622,170,741.81","455,745,607.20","755,312,645.99","545,935,519.62","1,561,256,547.70","1,422,302,253.59","1,186,655,661.14","902,001,154.06","949,426,243.79","651,221,031.01","1,408,766,350.19","754,384,166.36","1,097,921,231.44"
短期借款,"10,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,"162,740,587.96","241,162,245.03","304,000,000.00","304,000,000.00","155,900,346.06","51,900,346.06",,,,,,,
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"39,073,556.07"
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,,,,,,,,,,"54,000,000.00","2,600,000.00","11,100,000.00","55,430,400.00","14,800,400.00","27,100,000.00","34,000,000.00","14,900,400.00","18,200,241.00","4,780,000.00","500,000.00",,"800,000.00","1,000,000.00",,,"15,118,451.88","12,370,000.00","12,370,000.00",,,"7,367,791.67",,
应付票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,000,000.00",,,,,,,,
应收账款,"2,984,888.52","4,539,558.09","5,542,733.49","3,229,423.83","5,107,592.56","7,363,108.14","7,514,721.55","8,905,648.63","7,729,076.15","8,691,718.89","15,158,159.40","17,584,879.44","12,901,150.12","13,127,903.85","25,293,538.96","23,877,139.96","41,408,676.41","48,987,905.14","42,343,991.97","59,553,453.68","73,127,817.69","83,929,313.88","76,202,516.13","110,591,993.41","133,191,093.78","123,732,571.04","160,141,614.49","295,292,427.51","168,643,446.29","258,396,109.11","221,021,468.56","228,409,060.02","188,546,936.23","210,979,389.54","242,114,606.13","301,612,293.59","387,350,775.77","377,927,834.72","428,992,617.49"
应付账款,"4,570,400.57","17,110,311.67","5,799,772.24","14,457,973.59","32,469,621.74","9,875,569.86","15,082,061.06","24,677,765.88","57,361,089.47","32,105,195.26","28,147,394.96","24,387,861.57","134,527,943.13","80,018,431.67","45,334,385.53","232,997,642.63","144,010,187.98","194,228,821.64","91,376,060.63","302,430,086.62","281,638,092.23","230,631,801.41","135,777,226.54","358,188,014.89","273,418,836.39","275,892,575.99","160,279,844.92","357,857,140.28","284,331,308.79","261,457,561.54","163,269,793.95","272,719,546.40","181,961,060.48","199,484,195.19","150,351,135.93","301,238,216.31","250,093,855.73","312,268,066.98","199,049,763.02"
预付款项,"9,990,943.01","3,085,378.39","3,959,585.86","4,435,912.62","683,441.37","8,977,969.83","15,040,724.53","5,076,536.83","4,396,832.49","13,650,593.69","21,496,874.71","17,078,031.10","10,120,442.20","6,048,970.11","9,680,540.70","6,354,626.11","7,924,815.63","17,054,353.31","28,363,422.90","3,179,703.90","18,254,508.02","6,018,570.48","4,948,610.79","17,360,296.27","12,623,313.36","8,177,877.22","33,200,546.06","261,600,774.10","190,916,643.78","237,719,233.30","272,324,335.01","240,605,261.62","257,810,927.61","148,972,322.15","276,877,868.75","284,716,927.96","190,691,471.04","156,309,772.00","166,537,466.50"
预收款项,"24,961,682.81","24,750,326.83","20,553,285.00","23,714,825.52","16,167,572.63","26,894,518.47","10,584,708.11","20,883,532.29","30,352,490.61","25,525,881.25","27,830,412.78","51,559,394.09","42,524,481.88","12,865,597.05","20,445,954.96","28,014,794.57","24,279,959.90","25,417,327.23","17,274,297.48","15,282,919.55","28,094,128.30","32,396,058.60","26,703,410.37","28,077,039.04","32,657,520.19","24,823,631.87","34,701,663.46","239,196,212.98","152,431,367.98","189,942,299.90","239,795,976.54","238,041,001.37","262,103,228.67","145,434,273.07","246,227,226.44","285,568,645.96","188,418,832.00","157,894,225.17","159,707,686.14"
