科目,2009年度,2010年度,2011年度,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"205,343,134.05","178,915,708.54","224,989,823.55","77,817,349.35","167,722,253.73","33,030,281.19","53,344,117.60","98,775,364.26","151,330,535.86","33,399,483.70","60,402,199.92","89,274,838.07","157,502,787.54","50,968,260.95","73,392,489.53","106,804,351.96","132,095,024.01","30,391,382.04","43,170,121.12","135,474,460.12","305,216,427.56","139,108,320.16","228,299,555.49","377,639,585.93","526,291,115.93","111,724,756.44"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,"60,645,843.66","119,607,692.44",,"201,560,000.01",,,
收到的税费返还,,,,,,,,,,,,,,527.56,527.56,527.56,"3,432,010.23",,,"13,698.26","1,745,586.23","3,001,684.57","4,608,807.41","8,105,128.93","7,997,985.81","7,581.42"
支付其他与投资活动有关的现金,,,,,,,,,,"677,000.00","677,000.00","677,000.00",,,,,,,"20,000,000.00","20,000,000.00","20,000,000.00","2,016,800.00",,,,
收到其他与经营活动有关的现金,"3,778,348.91","6,898,028.62","8,235,397.42","12,143,308.64","9,147,299.68","2,113,248.34","2,628,052.87","3,605,822.15","7,374,437.54","875,470.15","7,492,562.38","4,606,563.07","10,144,361.09","41,240,258.18","6,602,848.84","12,172,996.43","8,506,167.38","7,686,524.20","8,493,219.34","175,184,900.81","74,290,305.40","6,270,584.94","7,059,797.95","10,719,515.67","25,485,098.92","51,862,136.31"
投资活动现金流出小计,"4,752,553.00","90,784,564.50","78,941,992.04","26,322,168.67","124,003,293.54","10,096,152.45","14,481,885.99","35,569,339.28","113,356,958.15","33,004,845.70","64,142,141.16","89,055,151.62","87,190,766.16","7,184,737.28","8,924,401.47","11,200,836.42","9,211,725.58","5,913,122.63","27,154,399.41","89,190,805.87","150,590,543.01","147,230,167.32","209,563,039.51","211,569,440.47","18,672,194.54","185,510,518.52"
经营活动现金流入小计,"209,121,482.96","185,813,737.16","233,225,220.97","89,960,657.99","176,869,553.41","35,143,529.53","55,972,170.47","102,381,186.41","158,704,973.40","34,274,953.85","67,894,762.30","93,881,401.14","167,647,148.63","92,209,046.69","79,995,865.93","118,977,875.95","144,033,201.62","38,077,906.24","51,663,340.46","310,673,059.19","381,252,319.19","148,380,589.67","239,968,160.85","396,464,230.53","559,774,200.66","163,594,474.17"
投资活动产生的现金流量净额,"-4,752,553.00","-90,676,364.50","-78,676,951.37","-26,322,168.67","-124,003,293.54","-10,096,152.45","-14,481,885.99","-35,569,339.28","-113,343,258.15","-33,004,845.70","-64,142,141.16","-88,508,441.62","-87,190,766.16","-7,184,737.28","-8,924,401.47","-11,200,836.42","-9,211,725.58","-5,913,122.63","-27,154,399.41","-11,139,940.27","-50,560,518.87","-147,194,064.28","-209,208,936.47","-211,215,337.43","-17,776,525.76","88,148,624.84"
购买商品、接受劳务支付的现金,"128,194,345.81","124,818,025.12","173,554,001.23","127,673,682.83","152,975,698.61","27,775,747.25","48,566,968.50","70,321,758.10","88,920,200.64","17,872,920.20","47,154,123.88","60,189,868.57","83,928,183.12","25,391,680.55","37,131,173.63","52,063,600.23","61,411,099.06","36,956,265.18","44,234,881.48","150,167,364.86","310,768,110.81","96,675,098.56","145,580,344.91","220,616,954.63","270,212,902.95","44,512,128.38"
吸收投资收到的现金,,"77,220,000.00",,"390,520,200.00","390,520,200.00",,"4,000,000.00","4,000,000.00","7,000,000.00","6,200,000.00","6,200,000.00","9,200,000.00","10,950,000.00",,,,,,,"508,501.91",,,,,,"116,343,920.00"
支付给职工以及为职工支付的现金,"5,488,387.57","6,610,209.63","9,085,525.19","9,413,594.57","14,942,086.65","4,851,051.23","8,465,471.71","13,194,919.42","19,966,542.42","6,571,695.71","11,208,732.53","18,915,214.23","22,539,560.20","6,502,347.76","13,853,114.84","21,993,917.58","29,045,848.82","8,019,253.64","14,458,552.37","30,451,960.08","41,856,613.87","18,722,743.58","34,566,249.35","49,513,697.55","70,138,233.47","16,302,387.28"
取得借款收到的现金,"45,800,000.00","35,000,000.00","60,000,000.00","54,680,000.00","94,680,000.00",,"23,337,341.13","40,000,000.00","120,000,000.00",,"30,000,000.00","30,000,000.00","30,000,000.00",,"35,000,000.00","35,000,000.00",,"40,000,000.00","40,000,000.00","50,000,000.00","45,000,000.00","360,000,000.00","360,000,000.00","389,200,000.00","389,200,000.00",
支付的各项税费,"6,246,896.60","9,307,099.03","12,749,146.79","12,372,847.46","17,033,431.28","2,620,106.04","4,194,022.88","7,677,194.08","9,422,679.98","1,509,983.10","5,055,365.18","8,625,658.90","8,993,489.84","1,628,722.59","2,349,418.80","3,899,948.87","11,379,683.46","902,628.44","1,295,205.67","4,406,925.76","29,511,540.82","17,593,390.51","35,336,606.62","54,117,502.74","72,241,827.62","16,955,272.64"
收到其他与筹资活动有关的现金,"1,090,700.00","727,800.00","2,210,000.00",,,,,"6,844.44",,,,,,,,,"43,023,173.33","1,000,000.00","111,153,912.89","118,753,912.89","325,613,912.89","98,000,000.00","165,000,000.00","183,000,000.00","191,350,000.00","462,800,000.00"
支付其他与经营活动有关的现金,"35,814,598.12","32,666,904.49","35,079,534.92","42,944,199.23","43,427,619.37","8,341,549.80","18,388,199.21","31,056,209.07","46,439,869.48","4,711,504.10","9,227,463.64","12,096,109.10","52,421,450.15","21,428,538.21","23,687,324.20","37,974,548.39","47,517,191.25","24,454,358.41","32,266,803.24","185,375,580.80","49,875,867.19","36,515,739.91","54,579,396.76","83,506,492.30","111,547,569.02","42,269,424.69"
筹资活动现金流入小计,"46,890,700.00","112,947,800.00","62,210,000.00","445,200,200.00","485,200,200.00",,"27,337,341.13","44,006,844.44","127,000,000.00","6,200,000.00","36,200,000.00","39,200,000.00","40,950,000.00",,"35,000,000.00","35,000,000.00","43,023,173.33","41,000,000.00","151,153,912.89","169,262,414.80","370,613,912.89","458,000,000.00","525,000,000.00","572,200,000.00","580,550,000.00","579,143,920.00"
经营活动现金流出小计,"175,744,228.10","173,402,238.27","230,468,208.13","192,404,324.09","228,378,835.91","43,588,454.32","79,614,662.30","122,250,080.67","164,749,292.52","30,666,103.11","72,645,685.23","99,826,850.80","167,882,683.31","54,951,289.11","77,021,031.47","115,932,015.07","149,353,822.59","70,332,505.67","92,255,442.76","370,401,831.50","432,012,132.69","169,506,972.56","270,062,597.64","407,754,647.22","524,140,533.06","120,039,212.99"
