科目,2009-12-31,2010-12-31,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"3,825,068.61","91,353,010.05","35,176,119.09","33,239,341.02","40,779,504.03","491,099,035.97","455,982,285.04","377,269,481.45","328,001,414.45","339,701,678.10","329,088,388.87","299,889,950.33","210,744,414.52","108,534,136.19","213,947,017.90","556,061,482.98","125,764,254.73","187,344,296.41","260,354,980.48","252,364,580.22","331,359,136.82","1,046,876,998.12","1,283,404,199.33","1,191,411,753.71","1,205,896,911.15","1,074,079,943.06","1,391,676,057.06","1,254,512,210.46"
短期借款,"10,000,000.00","35,000,000.00","59,000,000.00","93,900,000.00","134,000,000.00","48,000,000.00",,,,,,,,"8,178,000.00","98,880,900.00","273,826,420.00","344,494,960.00","434,561,230.00","471,661,400.00","459,931,256.00","846,445,676.00","468,814,640.00","370,714,640.00","411,576,240.00","419,464,300.00","399,264,300.00","365,564,300.00","273,334,300.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,"403,564.30","550,000.00","1,033,386.74","2,425,700.00","350,000.00","34,006,872.30","32,228,000.00","5,855,961.00","7,181,487.00","7,369,017.00","1,618,800.00","200,000.00","3,000,000.00","142,077,421.08","148,715,929.12","129,933,279.12","118,978,050.12","69,575,200.00","38,597,776.00","14,398,008.80","5,148,000.00","92,441,370.35","77,350,631.39","800,000.00","800,000.00","11,254,157.15","20,030,740.00"
应付票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收账款,"39,584,803.75","39,796,879.95","123,755,690.32","193,076,995.77","222,157,438.62","251,507,425.71","255,339,293.55","286,826,928.80","281,869,430.45","228,612,234.35","295,843,175.57","329,755,140.97","410,990,705.23","444,341,965.80","354,609,169.40","878,825,995.46","946,854,489.52","994,135,452.48","1,042,320,990.17","1,165,636,375.78","1,076,289,901.91","987,593,769.59","717,923,579.63","841,426,264.23","1,027,959,000.76","1,116,832,666.37","835,885,967.85","854,864,812.35"
应付账款,"33,582,443.68","10,953,050.31","36,653,000.07","60,606,401.59","55,574,407.14","58,089,431.77","63,731,624.77","83,874,018.36","64,163,659.74","62,798,044.94","73,547,895.77","81,127,169.74","154,603,367.26","138,055,163.30","149,279,376.62","213,840,142.46","233,468,398.75","294,178,254.01","226,603,815.18","227,345,610.58","191,718,925.74","197,990,925.98","85,480,316.76","98,864,603.13","111,205,035.62","143,443,592.28","108,708,031.91","69,278,393.60"
预付款项,"24,293,142.00","19,747,933.96","20,436,998.34","39,543,637.38","43,850,562.54","88,489,956.85","44,777,463.83","36,114,219.12","59,574,154.34","49,851,715.81","44,542,377.23","70,876,159.43","81,066,368.30","116,978,531.52","86,847,966.93","237,991,555.41","257,285,574.36","200,611,916.70","201,308,411.14","228,641,178.42","260,607,021.85","239,837,038.40","105,651,340.10","117,698,362.29","111,271,860.99","103,384,980.22","151,303,192.03","182,279,058.26"
预收款项,"6,123,838.29","85,767,000.28","117,376,523.20","112,205,118.40","134,211,964.90","161,767,051.56","91,318,281.28","114,488,800.00","110,622,200.00","138,550,000.00","119,757,735.86","90,667,618.20","21,504,888.39","37,776,226.26","24,746,940.85","93,634,684.28","111,747,295.47","101,251,929.69","79,908,081.89","113,433,542.73","58,476,715.52","80,139,346.88","63,020,228.33","57,776,670.67","35,274,825.37","62,071,860.74","94,847,342.21","102,466,952.91"
