科目,2010-12-31,2011-12-31,2012-12-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"52,839,456.14","62,816,981.34","61,181,894.70","39,309,927.96","33,684,361.94","50,605,977.47","111,326,712.15","114,456,236.06","67,740,029.98","78,253,962.59","71,255,862.70","154,932,741.05","104,430,838.66","209,324,056.66","381,951,289.70","151,214,796.79","139,988,641.55","188,198,056.83","148,730,366.24","165,883,140.11","97,292,308.10"
短期借款,"196,300,000.00","240,299,760.54","255,000,000.00","253,983,962.54","259,839,413.18","244,000,000.00","139,000,000.00","139,000,000.00","139,000,000.00","129,652,446.66","131,000,000.00","131,000,000.00","131,000,000.00","327,000,000.00","247,000,000.00","281,400,000.00","392,381,747.73","481,400,000.00","511,400,000.00","527,677,440.00","597,663,690.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,
应收票据,"22,949,451.03","43,820,082.07","74,204,039.17","53,576,300.71","64,422,004.56","100,635,337.69","73,635,384.83","46,059,317.48","51,453,484.89","111,045,439.14","84,879,250.17","52,228,157.10","62,375,786.49","141,785,677.07","91,407,411.76","47,384,410.82","57,773,175.54","157,779,818.61","120,277,365.03","82,869,708.23","117,937,484.13"
应付票据,,,,,,,,,,,,,,"78,000,000.00","51,000,000.00","59,000,000.00","46,000,000.00","50,000,000.00","50,000,000.00","46,000,000.00","46,000,000.00"
应收账款,"52,395,741.67","56,189,897.87","90,479,348.98","156,475,440.88","149,893,579.45","101,588,942.32","133,708,262.00","158,053,573.51","166,297,546.20","97,432,390.79","139,116,066.93","179,016,618.96","179,814,786.93","238,205,522.32","284,113,725.57","366,666,179.43","364,890,011.01","315,528,076.05","378,973,335.68","461,589,474.56","429,598,556.74"
应付账款,"15,984,543.22","20,626,784.70","16,888,458.28","16,659,403.15","13,734,603.17","15,343,725.00","14,596,233.99","14,477,238.96","15,499,028.50","13,992,431.33","19,457,251.49","28,912,497.09","28,660,374.86","48,128,573.24","35,746,176.12","37,065,666.34","33,351,370.50","45,248,221.12","41,408,519.62","50,746,641.98","48,698,203.89"
预付款项,"22,595,570.90","22,167,217.86","13,364,061.39","12,441,359.25","17,175,851.84","16,425,022.66","20,281,579.04","14,783,308.05","19,860,331.88","13,813,311.01","19,287,789.96","18,609,444.04","19,077,573.88","110,069,021.71","114,344,777.80","106,534,889.36","168,726,143.91","168,041,344.58","164,608,304.66","200,299,289.13","301,395,957.50"
预收款项,"4,168,559.27","3,950,097.91","2,221,121.02","1,916,664.88","2,665,174.33","3,502,217.17","1,772,722.41","1,881,032.15","5,166,610.32","2,220,364.58","6,369,753.17","3,575,077.56","4,251,444.07","6,195,050.17","29,841,479.62","36,455,465.62","26,848,648.88","25,321,490.60","32,697,244.54","27,271,119.87","68,866,697.00"
