科目,2010年度,2011年度,2012年度,2013年1-6月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"57,400,772.23","98,679,687.37","155,782,070.24","96,925,524.22","210,522,847.94","48,657,804.76","104,746,907.24","163,597,455.62","232,016,349.06","66,181,990.43","130,123,308.26","190,734,194.25","267,898,176.57","76,243,852.88","143,750,760.43","222,770,877.89","308,233,463.80","85,879,072.93","169,629,827.90","268,935,804.19","363,396,796.26","111,284,662.25","207,821,120.84"
取得子公司及其他营业单位支付的现金净额,,"32,349.34",,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,,,,,,,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,,"1,061,597.80","2,461,597.80",,,,,"330,000.00","330,000.00","630,000.00","630,000.00","470,000.00","470,000.00"
收到其他与经营活动有关的现金,"8,825,056.73","2,246,884.75","2,771,564.43","2,621,953.86","2,064,530.38","1,259,817.24","6,681,415.93","10,318,468.54","9,675,714.91","2,391,323.16","5,897,014.20","9,645,293.24","11,631,626.58","923,457.19","2,287,277.68","4,096,204.87","4,994,480.08","843,822.17","3,641,078.89","4,570,773.40","9,239,287.57","894,122.04","5,308,248.60"
投资活动现金流出小计,"10,562,025.75","4,025,839.02","7,246,082.40","5,309,261.36","17,528,626.20","2,571,865.18","39,862,032.63","135,043,247.01","202,665,622.67","7,534,915.93","15,961,193.51","125,504,703.24","173,972,712.02","109,090,277.35","241,600,529.54","353,652,020.25","531,928,785.37","217,614,206.09","505,134,027.22","794,723,028.24","1,034,356,481.35","236,269,919.57","350,887,926.87"
经营活动现金流入小计,"66,225,828.96","100,926,572.12","158,553,634.67","99,547,478.08","212,587,378.32","49,917,622.00","111,428,323.17","173,915,924.16","241,692,063.97","68,573,313.59","136,020,322.46","200,379,487.49","279,529,803.15","77,167,310.07","146,038,038.11","226,867,082.76","313,227,943.88","86,722,895.10","173,270,906.79","273,506,577.59","372,636,083.83","112,178,784.29","213,129,369.44"
投资活动产生的现金流量净额,"-737,880.99","-4,025,589.02","-7,245,582.40","-5,292,798.67","-15,510,653.51","-2,549,895.95","-39,839,769.17","-73,357,355.20","-78,780,065.48","55,629,048.00","49,602,773.33","-59,940,322.57","-70,028,984.06","-8,125,010.78","-39,816,671.76","-80,695,458.36","-102,571,715.25","-51,287,226.64","-125,761,247.08","-136,958,014.64","-168,360,243.36","26,878,573.59","164,649,312.88"
购买商品、接受劳务支付的现金,"2,312,894.55","2,702,414.99","3,789,577.96","1,403,472.22","6,598,270.72","1,125,844.86","2,522,842.20","3,860,197.83","5,123,112.95","1,466,924.85","2,477,644.68","3,727,928.94","5,356,562.80","943,745.79","2,491,956.06","4,204,968.24","5,701,722.03","1,714,454.76","3,344,548.75","4,576,083.53","5,555,321.01","940,154.71","3,321,870.86"
吸收投资收到的现金,"8,695,374.00",,,,,"202,916,336.63","202,916,336.63","202,916,336.63","202,916,336.63",,,,,,,,,,,,,,
支付给职工以及为职工支付的现金,"13,744,595.59","22,230,853.98","29,994,063.36","21,420,154.23","45,154,112.11","12,877,375.87","23,915,346.88","37,439,885.80","54,831,439.07","14,419,218.81","27,521,807.35","42,553,080.77","58,383,925.57","17,037,549.77","31,934,944.52","48,592,376.66","67,929,127.02","18,766,603.50","35,854,217.49","54,274,769.33","76,345,544.73","21,744,600.69","44,427,934.59"
取得借款收到的现金,"10,000,000.00","10,000,000.00",,,,,,,,,,,,,,,,,,,,,
支付的各项税费,"9,239,875.48","24,390,977.56","34,662,733.81","19,764,432.87","44,779,423.49","8,151,241.34","13,784,679.24","20,556,452.42","28,647,921.41","9,855,013.95","16,629,221.75","24,394,856.79","34,449,482.95","7,057,371.81","14,299,241.27","23,298,874.74","35,302,920.76","5,644,824.93","16,158,146.81","27,093,400.96","35,180,683.41","4,604,476.75","22,825,657.60"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"26,390,592.06","32,452,621.93","48,940,833.13","28,218,582.56","57,752,031.89","18,320,952.17","38,724,104.55","56,172,038.94","69,386,504.25","15,865,613.80","31,084,699.25","50,721,133.16","66,519,592.62","18,613,983.62","37,516,613.38","59,661,651.15","81,521,718.17","22,018,671.62","44,008,390.43","69,444,370.45","96,420,395.45","27,471,954.06","59,243,048.40"
