科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"209,764,754.03","276,434,475.95","302,611,971.72","74,876,547.80","139,251,019.11","214,901,970.57","306,117,183.06","87,595,207.17","160,582,407.66","304,939,873.53","429,883,306.70","122,982,811.89","220,061,406.83","321,800,912.16","452,427,551.08","151,790,470.16","314,026,166.09","465,073,185.93","621,015,401.68","151,183,612.63","285,737,106.51","419,710,424.88","552,320,990.85","178,948,048.79","382,214,993.29","578,019,321.90","794,178,279.55","184,514,648.39","394,908,030.72"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,"-3,530,480.04",,
收到的税费返还,"812,744.75","414,927.44","6,962,714.07","1,582,399.01","3,109,720.79","3,445,857.67","7,534,039.02","1,589,093.95","3,324,060.94","7,002,066.11","6,643,379.38","2,214,391.11","2,663,499.83","2,952,499.35","3,240,116.61","357,776.16","2,631,522.93","5,507,692.07","9,000,418.58","1,126,344.00","4,430,121.75","9,815,641.65","12,875,598.65","6,817,496.76","10,674,035.43","15,919,464.97","19,779,845.62","7,860,896.35","13,692,103.25"
支付其他与投资活动有关的现金,,"2,850,817.83",,,,,,,,,,,,,"39,000,000.00",,,"10,000,000.00","10,000,000.00",,,,,,,,"11,010,600.00",,
收到其他与经营活动有关的现金,"7,380,509.92","32,677,997.30","20,732,224.18","1,911,149.06","9,879,545.61","12,251,384.97","15,746,660.03","6,160,355.01","9,562,502.70","16,144,475.99","19,334,249.45","2,458,615.85","6,282,610.87","6,948,880.72","10,435,454.89","9,837,897.48","23,552,731.91","30,859,791.20","7,533,659.13","6,447,218.10","7,376,164.95","11,570,518.17","8,538,955.76","6,493,410.95","12,219,624.44","22,548,462.09","16,612,735.10","3,791,046.26","7,980,334.09"
投资活动现金流出小计,"6,490,269.16","47,690,290.25","47,727,674.70","16,854,572.38","33,454,781.64","53,880,442.27","69,399,873.44","68,606,162.43","120,198,094.32","185,685,206.12","261,128,213.60","26,302,595.17","49,762,464.07","82,709,466.75","112,975,181.32","25,334,326.35","42,051,766.73","63,428,918.06","85,314,352.75","19,489,528.63","39,285,845.48","48,243,191.92","68,543,286.41","61,777,848.69","158,194,519.74","258,244,686.94","285,840,097.62","40,128,758.01","428,876,814.34"
经营活动现金流入小计,"217,958,008.70","309,527,400.69","330,306,909.97","78,370,095.87","152,240,285.51","230,599,213.21","329,397,882.11","95,344,656.13","173,468,971.30","328,086,415.63","455,860,935.53","127,655,818.85","229,007,517.53","331,702,292.23","466,103,122.58","161,986,143.80","340,210,420.93","501,440,669.20","637,549,479.39","158,757,174.73","297,543,393.21","441,096,584.70","573,735,545.26","192,258,956.50","405,108,653.16","616,487,248.96","830,570,860.27","196,166,591.00","416,580,468.06"
投资活动产生的现金流量净额,"-6,391,708.82","-42,649,090.25","-43,798,774.70","-16,854,572.38","-33,431,181.64","-53,855,742.27","-68,738,473.44","-68,539,162.43","-120,066,344.32","-185,380,896.12","-260,720,903.60","-26,152,595.17","-43,279,440.67","-70,198,991.30","-85,922,892.17","-12,241,581.15","-27,679,021.53","-48,476,172.86","-57,652,050.55","-8,462,117.67","-20,309,070.52","-29,066,416.96","-46,814,071.04","-55,829,377.21","-150,381,048.26","-239,272,215.46","-262,778,832.83","-39,216,858.01","-323,884,967.76"
购买商品、接受劳务支付的现金,"118,118,746.90","162,291,923.66","185,867,242.16","41,576,398.34","93,319,760.92","143,390,530.73","204,937,888.54","46,260,742.24","95,674,868.90","183,651,219.78","235,144,128.87","54,742,750.22","111,849,843.16","182,856,518.68","252,500,009.95","76,819,609.76","152,388,302.31","250,261,515.42","297,166,209.07","88,611,093.55","163,124,630.46","263,086,710.06","320,212,708.10","97,250,587.32","182,978,322.63","319,306,378.98","432,149,897.04","155,706,311.10","308,324,634.48"
吸收投资收到的现金,"3,000.00",,,,"334,900,000.00","334,900,000.00","334,900,000.00",,,,,"500,000.00","500,000.00","500,000.00","500,000.00","2,225,000.00","2,225,000.00","2,225,000.00","2,225,000.00","3,300,000.00","3,300,000.00","6,600,000.00","41,048,100.00",,"8,700,000.00","15,366,000.00","34,962,020.00","434,333,333.34","474,200,000.01"
支付给职工以及为职工支付的现金,"42,604,765.24","56,182,859.78","67,562,938.08","15,586,512.81","34,045,745.18","52,779,730.39","71,321,461.12","18,153,069.70","41,998,621.39","75,329,801.95","105,365,646.46","24,643,830.12","56,912,921.00","87,837,947.37","125,571,707.30","35,950,076.94","74,998,167.94","110,259,911.92","151,451,780.45","29,199,914.39","64,921,258.00","103,034,283.54","146,773,611.91","36,884,266.04","76,897,694.82","117,875,436.08","166,523,036.94","41,419,439.15","90,258,093.38"
