科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"69,412,889.11","94,301,380.26","140,014,486.86","16,690,778.23","26,731,926.04","45,419,236.47","68,361,829.41","11,255,464.32","33,961,461.97","68,005,433.40","93,183,601.54","24,195,632.00","68,854,935.85","86,513,110.70","103,956,299.53","48,700,052.23","74,060,928.71","89,281,698.01","137,334,484.81","28,909,507.01","55,960,827.66","105,755,712.49","148,375,357.91","36,202,905.57","68,139,597.05","1,035,771,260.02","2,265,040,153.19","1,515,377,718.83","2,927,017,207.01"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,,,,,,,,,,,,,,"2,172,717.05","356,503.77","719,447.30","2,042,907.51","2,051,440.09",,"136,404.64","136,404.64","136,404.64",,"26,971.72","133,473,769.42","248,024,595.97","265,327,415.97","436,378,694.55"
支付其他与投资活动有关的现金,,,,,,,"216,000,000.00",,,,"126,631,799.07","24,807.87","117,500,000.00","117,500,000.00","108,000,000.00",,"84,000,000.00","84,000,000.00","26,000,000.00",,,,"325,000,000.00","20,000,000.00","80,000,000.00","220,000,000.00","230,000,000.00","150,000,000.00","150,000,000.00"
收到其他与经营活动有关的现金,"302,469.73","3,219,339.26","1,667,772.85","263,222.42","557,782.17","4,595,747.74","5,543,656.92","13,269,848.27","20,281,495.17","21,757,235.29","15,110,624.69","2,679,252.10","9,273,836.79","11,610,052.35","10,492,868.16","668,240.40","4,901,690.26","5,295,782.91","36,638,919.46","433,364.05","29,162,289.59","29,619,136.04","20,134,997.13","1,081,138.49","5,015,988.11","35,300,028.76","71,409,176.62","130,997,276.20","60,867,007.39"
投资活动现金流出小计,"12,532,919.95","47,203,137.08","49,970,612.96","8,679,769.37","17,986,813.84","19,520,902.15","243,023,413.62","3,379,327.06","53,207,907.47","63,001,684.97","222,334,282.20","41,151,521.23","163,491,008.79","172,856,571.84","198,432,897.78","8,289,482.59","98,847,522.51","110,915,364.05","98,825,992.36","26,007,930.27","15,437,232.88","17,556,110.66","360,425,238.59","23,896,285.36","84,313,092.76","391,237,454.37","650,778,278.73","263,392,453.28","453,194,123.40"
经营活动现金流入小计,"69,715,358.84","97,520,719.52","141,682,259.71","16,954,000.65","27,289,708.21","50,014,984.21","73,905,486.33","24,525,312.59","54,242,957.14","89,762,668.69","108,294,226.23","26,874,884.10","78,128,772.64","98,123,163.05","116,621,884.74","49,724,796.40","79,682,066.27","96,620,388.43","176,024,844.36","29,342,871.06","85,259,521.89","135,511,253.17","168,646,759.68","37,284,044.06","73,182,556.88","1,204,545,058.20","2,584,473,925.78","1,911,702,411.00","3,424,262,908.95"
投资活动产生的现金流量净额,"-12,532,919.95","-47,153,137.08","-49,472,612.96","-8,679,769.37","-17,986,813.84","-19,520,902.15","-242,210,422.92","-3,379,327.06","-53,207,907.47","-63,001,684.97","1,411,406.30","-38,966,521.23","-36,991,688.79","-46,357,251.84","-68,690,845.86","-6,960,587.48","18,899,996.63","58,971,393.70","68,377,390.26","-20,007,930.27","16,562,767.12","14,443,889.34","-80,651,638.60","36,288,207.84","25,686,907.24","-171,237,454.37","-146,350,106.26","-255,592,453.28","-282,998,015.71"
购买商品、接受劳务支付的现金,"10,798,852.76","27,896,527.07","64,400,227.46","16,153,531.79","27,139,663.11","31,973,250.33","41,048,319.67","8,684,023.20","11,907,907.69","18,293,701.43","23,899,501.69","9,128,462.11","27,895,217.24","49,322,421.64","63,086,146.76","14,765,986.33","36,303,551.56","51,499,899.37","76,671,357.88","14,843,497.40","26,253,318.41","48,509,081.20","63,704,239.64","18,836,952.95","33,133,964.20","840,786,633.41","2,182,644,842.11","1,569,289,412.25","2,826,922,727.32"
吸收投资收到的现金,,"47,855,290.98",,"305,652,900.00","305,652,900.00","305,652,900.00","305,652,900.00",,,,,,,,,,,,,,,,,,,"741,675,116.81","759,562,246.72",,
