科目,2013-12-31,2014-12-31,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"114,592,265.43","95,467,671.27","154,641,324.16","88,072,113.76","322,910,335.59","177,396,125.23","104,519,159.65","202,847,750.88","139,623,666.38","86,256,162.27","119,586,585.50","126,364,228.64","54,927,371.21","72,336,739.00","115,617,461.67","74,370,330.50"
短期借款,,,,,,,,,,,,,"39,000,000.00","29,000,000.00","29,000,000.00","29,000,000.00"
交易性金融资产,"1,616,150.00",,,,,,,,,,,"1,306,240.00",,,"17,934,357.95","568,589,896.45"
交易性金融负债,,"569,758.23","64,400.00",,,,,,,,,,"857,100.00","1,141,100.00",,
应收票据,"7,477,880.86","11,792,729.96","11,888,329.00","5,540,740.50","7,804,494.88","11,185,725.94","13,769,922.56","5,244,545.02","8,636,037.45","14,227,539.95","17,854,930.47","37,866,225.28","50,398,592.36","57,039,043.64","36,937,318.40","30,843,351.31"
应付票据,"14,205,000.00","6,030,000.00","9,300,000.00","17,951,091.30","22,386,491.30","18,743,550.00","12,639,250.00","14,722,400.00","40,238,184.88","35,215,532.00","30,453,300.00","22,336,300.00","40,114,059.20",,"23,654,862.40",
应收账款,"56,800,383.64","68,350,120.00","78,262,596.46","77,402,311.30","88,077,224.39","74,182,865.98","80,873,208.10","86,815,105.79","103,857,198.50","97,921,358.22","101,544,011.66","102,724,596.36","140,312,138.76","130,930,250.64","166,589,245.73","188,470,205.47"
应付账款,"33,091,608.63","34,850,659.90","48,419,732.53","47,717,889.88","49,881,880.82","45,295,327.70","54,826,806.85","56,780,546.34","54,603,362.57","53,821,197.31","62,003,339.05","55,982,517.64","86,873,862.65",,"96,538,697.82",
预付款项,"1,397,361.16","1,773,562.37","927,203.19","1,889,128.16","906,918.23","4,867,186.15","1,500,613.37","3,957,283.79","1,176,964.77","3,891,120.31","1,688,097.81","3,247,506.15","2,568,847.80","2,517,036.60","1,931,745.33","3,330,932.55"
预收款项,"5,574,743.00","3,983,043.77","4,041,809.35","6,571,403.93","5,812,774.98","6,601,465.36","8,265,368.79","12,635,951.87","9,110,170.57","7,245,609.99","7,910,272.29","8,307,279.60","8,418,494.55","13,656,958.59","9,368,858.49","11,800,183.88"
其他应收款,"3,820,357.44","3,621,417.36","3,200,314.75","3,133,927.22","1,605,569.08","2,596,251.17","3,394,875.54","3,720,060.79","1,068,183.16","1,616,471.73","3,083,720.27","2,214,191.49","8,629,513.30","5,468,081.96","4,618,204.87","6,830,742.53"
