科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"471,767,568.85","497,055,154.02","275,979,614.81","383,555,076.69","576,977,886.52","102,114,741.03","231,738,009.59","393,522,956.13","595,835,751.52","161,296,925.10","346,396,986.56","560,083,968.69","761,835,392.70","222,843,192.54","434,473,854.90","615,492,255.91","895,737,071.69","220,869,670.46","509,687,144.02","742,492,972.69","999,897,882.81","219,503,712.84","422,070,257.97","700,416,609.94","1,010,492,580.68","210,649,802.65","394,593,231.34","614,642,677.95","1,129,153,426.37","344,511,936.31","759,247,684.92","1,273,397,255.50","1,829,923,623.68","393,532,271.35","734,043,692.31","1,144,820,135.38"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,"95,764,730.14","95,764,730.14",,,"531,595,255.63","786,268,814.41","5,568,143.24","5,568,143.24","5,568,143.24","25,430,596.63",,,
收到的税费返还,"337,626.90","499,938.10",,,"31,565.25",,,,,,,,,,,,,,,,,,,,,,,"42,196.75",,"3,399,104.09","3,922,434.01","4,752,354.01","8,397,484.25",,"1,720,529.16","2,924,689.16"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"7,366,219.06","287,725.22","1,268,195.21","1,268,195.21","2,025,202.00",,"32,577,254.29","840,903.57","4,813,184.00","220,000.00","570,000.00","1,761,844.57","4,830,441.89","31,318.95","380,000.00","4,915,148.00","5,447,970.90","33,198,077.00","47,277,083.38","58,947,185.47","70,450,964.39","6,097,800.69","19,371,710.09","19,935,498.89","53,908,688.01","3,569,764.08","17,522,139.51","21,066,107.11","38,679,820.28","24,368,057.67","24,487,673.63","39,803,062.08","56,895,458.69","13,421,213.48","49,876,791.36","60,703,830.24"
投资活动现金流出小计,"30,272,453.13","24,203,499.79","155,481.62","1,506,319.04","3,552,080.59","2,859,925.21","18,697,831.16","42,895,836.16","65,749,937.73","35,399,271.36","76,212,061.70","145,353,207.47","154,407,258.24","5,126,800.00","26,113,032.01","30,552,918.27","60,310,821.47","51,408,446.53","76,017,608.84","117,427,331.53","150,887,139.23","20,474,156.22","28,117,599.89","137,289,232.11","154,552,907.96","12,896,806.49","13,053,569.74","545,361,749.48","832,390,784.46","66,261,515.41","34,831,810.35","129,653,715.77","228,327,628.27","60,711,733.91","41,602,396.78","35,868,738.29"
经营活动现金流入小计,"479,471,414.81","497,842,817.34","277,247,810.02","384,823,271.90","579,034,653.77","102,114,741.03","264,315,263.88","394,363,859.70","600,648,935.52","161,516,925.10","346,966,986.56","561,845,813.26","766,665,834.59","222,874,511.49","434,853,854.90","620,407,403.91","901,185,042.59","254,067,747.46","556,964,227.40","801,440,158.16","1,070,348,847.20","225,601,513.53","441,441,968.06","720,352,108.83","1,064,401,268.69","214,219,566.73","412,115,370.85","635,750,981.81","1,167,833,246.65","372,279,098.07","787,657,792.56","1,317,952,671.59","1,895,216,566.62","406,953,484.83","785,641,012.83","1,208,448,654.78"
投资活动产生的现金流量净额,"-27,330,453.13","-20,528,227.15","4,518.38","-1,321,319.04","-3,367,080.59","140,074.79","-15,477,555.16","-39,675,560.16","-62,469,741.73","-35,147,926.79","-75,916,917.13","-145,058,062.90","-154,064,213.67","-5,126,800.00","-26,092,032.01","-30,385,495.07","-60,043,319.05","-51,402,112.58","-75,995,338.84","-117,259,061.53","-150,631,789.80","-20,474,156.22","-27,968,063.89","-137,120,932.11","-153,294,636.98","-12,812,806.49","-12,334,201.59","-543,192,209.48","-828,013,216.27","-65,653,803.30","-428,127.34","-97,865,796.22","-61,951,860.37","-58,437,620.14","-38,071,083.78","-31,719,156.17"
购买商品、接受劳务支付的现金,"351,148,570.66","344,864,545.21","180,880,997.36","271,579,174.27","413,729,506.64","92,945,151.31","294,860,900.68","451,593,465.29","601,189,109.45","127,988,966.56","193,669,402.59","347,004,005.37","513,040,265.01","122,443,515.01","280,941,870.78","394,279,049.04","576,177,780.36","145,593,999.09","382,271,359.35","590,854,301.82","836,481,963.58","208,899,409.09","456,249,414.42","610,336,181.20","739,731,141.52","87,170,215.20","190,772,047.17","363,091,479.59","629,528,747.18","283,185,771.19","535,211,813.86","862,419,559.82","1,199,650,179.36","338,100,803.55","643,143,173.06","1,028,853,111.73"
吸收投资收到的现金,,,,"240,139,715.94","240,139,715.94",,,,,,,"4,600,000.00","4,600,000.00",,"517,399,686.40","517,399,686.40","517,399,686.40",,"37,992,059.00","37,992,059.00","37,992,059.00",,,,,,"57,918,760.00","487,918,760.00","478,518,760.00",,"1,750,000.00","1,048,999,282.00","1,050,899,282.00",,,
支付给职工以及为职工支付的现金,"19,737,160.20","26,358,532.13","13,588,115.48","20,171,502.21","28,388,439.06","6,203,549.45","17,747,313.66","28,619,030.02","43,815,837.15","13,784,447.62","29,659,399.09","46,814,384.62","67,412,348.12","17,432,436.02","36,290,921.78","52,790,206.07","69,792,564.44","19,527,537.13","40,578,810.84","64,053,832.26","87,500,615.08","25,668,775.64","49,195,933.25","74,794,022.60","106,533,485.85","30,724,809.47","51,736,652.93","73,603,168.98","105,346,196.50","36,695,690.43","64,384,256.77","91,560,509.75","124,879,778.72","40,810,949.14","69,907,719.21","100,842,902.41"
取得借款收到的现金,"251,831,375.50","246,171,794.86","142,000,000.00","256,800,000.00","291,800,000.00",,"163,800,000.00","264,800,000.00","366,800,000.00","70,200,000.00","228,000,000.00","438,800,000.00","545,600,000.00","115,000,000.00","305,000,000.00","417,000,000.00","689,012,950.00","130,000,000.00","198,000,000.00","358,000,000.00","608,000,000.00","130,000,000.00","415,000,000.00","528,000,000.00","698,000,000.00","52,000,000.00","163,000,000.00","433,000,000.00","953,000,000.00","160,000,000.00","430,000,000.00","550,583,554.00","566,000,000.00",,"439,500,000.00","799,500,000.00"
支付的各项税费,"25,507,074.56","28,982,151.05","13,266,833.12","26,179,610.54","35,453,764.17","9,749,657.55","17,546,025.76","26,825,418.43","33,492,585.38","10,384,216.32","24,359,102.91","46,301,881.51","64,789,809.37","21,559,428.38","46,343,404.71","78,938,609.04","90,270,010.97","26,149,218.33","44,734,777.09","62,103,851.20","81,405,601.23","21,895,331.06","38,197,092.47","54,005,741.65","76,789,840.97","16,394,472.70","35,610,836.56","52,457,838.12","99,655,775.48","45,637,306.17","82,427,098.90","109,399,746.49","151,250,141.84","40,153,069.70","75,461,515.28","118,153,759.35"
收到其他与筹资活动有关的现金,"7,400,819.98","1,229,996.45","404,720.49","739,164.66","1,270,401.66",,"645,585.40","4,888,916.46","1,214,264.83","263,652.39","553,179.00","962,237.83","1,513,406.20","282,140.37","615,190.34","4,367,602.38","2,273,619.15","2,436,786.17","3,272,168.28","7,446,991.04","5,613,777.97","275,213.80","389,511.09","5,402,416.86",,,,,,,,,,,,
支付其他与经营活动有关的现金,"62,928,200.26","69,453,085.76","40,311,926.93","53,913,046.81","85,732,303.84","24,354,992.28","54,398,079.04","55,235,795.07","74,790,007.47","42,971,348.69","83,989,582.63","102,480,944.78","110,714,870.70","16,307,483.28","53,104,113.19","84,912,426.32","118,768,192.13","41,892,460.72","72,233,782.61","98,485,067.32","148,808,856.54","21,789,609.97","51,711,510.36","76,449,302.80","119,224,730.87","30,020,425.95","73,138,672.36","118,100,382.59","88,670,197.41","29,649,128.20","75,499,554.31","107,886,167.84","124,776,450.08","25,746,800.13","49,544,661.09","83,629,270.42"
