科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"844,821,811.80","1,127,664,085.24","1,545,825,746.51","740,701,520.22","1,105,452,252.71","1,605,287,303.56","292,122,261.06","785,180,718.13","1,188,316,134.51","1,736,763,931.98","284,493,163.96","798,576,683.38","1,219,261,502.72","1,656,337,992.15","376,191,706.65","871,923,095.36","1,316,668,976.21","1,713,117,336.46","324,798,525.15","683,798,164.32","996,256,982.53","1,343,418,988.73","326,685,119.20","764,065,230.04","1,229,626,417.85","2,040,669,597.35","360,374,567.59"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"978,003.31","2,965,034.44","1,713,372.95",,,,,,,"4,542,900.00",,,,,,,"543,429.11",,,,,,,,"89,285.22",,"490,522.00"
支付其他与投资活动有关的现金,,,,,,,15.50,15.50,"75,985.83",,,,,,,,,"80,300,000.00",,"22,664,657.51","22,664,657.51","43,200,000.00","105,402.60","78,000,402.60","78,000,402.60","60,000,000.00",
收到其他与经营活动有关的现金,"27,661,687.73","27,586,342.03","54,918,127.34","29,421,174.78","270,801,886.67","52,572,289.53","30,370,197.00","29,858,854.44","350,472,431.99","61,850,086.29","42,439,636.82","30,406,784.59","55,501,140.17","32,320,714.26","149,522,377.76","178,112,209.85","190,383,306.22","239,834,580.69","42,859,237.41","58,598,075.39","55,582,278.39","69,569,836.93","31,341,298.21","31,547,381.28","317,756,316.26","98,995,288.82","188,320,487.69"
投资活动现金流出小计,"42,407,491.17","98,848,386.06","169,997,083.93","82,557,913.44","153,643,368.83","211,963,452.15","107,055,741.68","119,851,525.73","171,516,729.82","240,170,770.66","84,575,636.80","91,117,879.83","124,796,129.66","139,300,020.53","28,730,650.86","103,032,159.00","118,372,618.97","158,942,847.16","13,956,472.93","42,268,371.24","103,455,634.63","163,781,646.63","14,012,864.82","98,630,310.16","507,331,392.54","517,592,960.57","8,067,118.93"
经营活动现金流入小计,"873,461,502.84","1,158,215,461.71","1,602,457,246.80","770,122,695.00","1,376,254,139.38","1,657,859,593.09","322,492,458.06","815,039,572.57","1,538,788,566.50","1,803,156,918.27","326,932,800.78","828,983,467.97","1,274,762,642.89","1,688,658,706.41","525,714,084.41","1,050,035,305.21","1,507,595,711.54","1,952,951,917.15","367,657,762.56","742,396,239.71","1,051,839,260.92","1,412,988,825.66","358,026,417.41","795,612,611.32","1,547,472,019.33","2,139,664,886.17","549,185,577.28"
投资活动产生的现金流量净额,"-42,035,674.02","-98,845,586.06","-169,946,083.93","-82,543,201.90","-124,642,568.83","-211,962,652.15","-107,054,903.47","-119,848,960.07","-171,502,504.16","-240,143,830.66","-84,575,636.80","-91,117,879.83","-124,796,129.66","-138,108,728.53","-28,730,650.86","-102,994,159.00","-116,373,281.95","-157,353,219.84","-13,596,894.34","38,409,607.35","-20,826,656.04","-91,336,517.27","17,235,335.69","-61,421,563.98","-449,478,347.83","-417,935,680.06","22,954,885.04"
购买商品、接受劳务支付的现金,"715,817,009.66","975,852,123.98","1,238,429,861.65","558,046,661.71","947,033,475.29","1,339,718,554.94","244,163,043.22","639,542,449.62","1,089,725,573.39","1,366,343,632.26","342,088,659.89","702,715,566.50","1,129,772,770.78","1,242,641,658.05","406,119,328.10","794,338,968.11","1,161,048,653.32","1,379,479,581.81","233,792,752.40","434,233,101.38","727,002,313.17","891,140,514.59","279,881,303.47","587,256,059.89","1,022,205,001.64","1,416,706,976.45","369,051,103.97"
吸收投资收到的现金,"41,000,000.00","44,315,000.00","2,400,000.00",,"443,460,000.00","443,460,000.00",,,,,,"6,000,000.00","6,000,000.00",,,,,,,,,"25,000,000.00","540,996,363.87","540,886,880.00","540,886,880.00","540,886,880.00",
