科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"895,954,952.77","1,108,417,543.21","1,613,031,861.82","999,340,486.46","1,614,134,523.22","2,625,711,959.08","694,851,906.36","1,529,549,435.80","2,487,079,941.37","3,531,687,658.36","616,278,431.31","1,568,239,491.50","2,598,805,746.50","3,741,820,700.27","865,294,127.67","2,062,582,385.12","3,290,159,529.74","4,930,106,813.13","822,940,829.37","2,076,045,011.15","3,063,781,033.87","4,225,150,946.48","685,244,800.09","1,500,277,987.71","2,132,325,288.67","3,192,632,391.06","665,080,353.16","1,549,461,754.37","2,367,738,680.43","3,621,402,981.29","787,070,279.52","1,836,825,177.31","3,497,481,566.29"
二、营业利润,"53,006,295.71","58,539,906.62","92,550,873.56","59,771,084.88","97,865,912.85","180,167,702.45","34,871,863.76","96,041,540.33","144,483,424.09","241,593,327.48","24,031,801.43","82,187,221.40","123,960,353.10","165,703,262.94","29,399,497.53","94,557,446.05","130,321,901.73","165,240,187.47","33,131,302.35","103,097,620.54","141,159,608.49","156,127,483.19","35,300,271.84","100,634,889.96","133,063,751.67","70,081,037.70","37,349,903.27","109,055,806.17","143,707,239.79","176,603,673.78","6,198,510.56","60,192,539.09","109,696,228.25"
减:营业成本,"786,977,392.60","956,345,587.32","1,404,301,895.33","870,865,027.72","1,409,583,247.82","2,279,853,873.99","606,501,053.69","1,322,929,275.68","2,158,828,302.94","3,032,168,544.03","540,579,894.50","1,364,572,285.17","2,271,653,454.76","3,262,277,633.25","767,648,917.51","1,806,346,009.40","2,888,568,959.71","4,312,975,305.83","700,766,522.92","1,759,132,897.48","2,581,755,816.14","3,494,256,562.28","544,783,713.12","1,195,516,894.15","1,693,322,818.84","2,612,498,081.53","543,317,195.58","1,267,328,559.56","1,930,646,544.61","2,955,233,083.18","688,850,725.15","1,593,425,671.64","3,007,005,540.77"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"2,732,389.01","3,089,692.62","8,371,613.95","4,735,613.19","6,311,380.94","12,619,318.96","1,834,124.74","4,084,185.02","7,069,180.51","14,103,059.30","1,901,233.58","7,914,280.32","12,958,755.41","18,696,597.22","3,472,009.97","8,096,092.60","14,346,445.10","27,419,297.19","6,273,440.55","14,629,704.41","23,660,576.68","38,718,169.10","6,978,702.29","14,231,879.25","23,426,422.71","35,834,768.50","5,429,662.93","6,736,862.36","7,485,089.80","28,235,098.89","6,046,829.91","15,741,407.73","37,722,532.02"
营业外收入,"3,294,118.53","2,597,247.40","17,994,925.74","8,018,259.20","11,903,943.66","16,634,814.29","438,573.69","20,031,373.44","24,533,289.58","29,160,470.45","11,103,128.35","27,779,386.35","29,517,557.89","33,492,625.82","9,460,252.08","16,867,874.23","19,641,340.69","45,418,061.15","5,453,568.71","7,125,469.15","12,022,434.16","16,390,537.17","4,838,457.19","6,473,958.39","9,453,111.37","149,975,018.95","6,924,834.11","7,692,715.44","9,541,708.09","37,212,104.85","67,294,550.72","93,842,355.58","149,638,165.64"
销售费用,"18,326,946.52","21,727,426.87","25,304,604.90","14,300,828.34","22,721,862.70","37,529,080.94","10,584,686.23","27,712,989.73","47,941,451.41","64,941,548.76","10,757,010.59","23,224,061.48","37,514,844.38","57,500,561.48","10,711,965.31","26,816,794.27","54,205,334.45","88,362,233.19","22,363,466.67","45,551,893.19","71,206,639.41","104,142,357.47","30,901,620.36","57,926,013.44","80,767,441.72","104,252,028.59","28,174,275.54","51,651,385.15","78,007,029.35","104,293,223.01","32,592,744.39","54,058,743.93","93,969,707.29"
减:营业外支出,"282,068.11","3,589,920.92","14,003,495.83","399,375.00","459,629.00","464,029.00",100.00,"629,897.52","2,273,676.32","937,782.13",28.42,"675,246.02","1,409,537.81","3,992,479.19","147,309.38","383,278.59","311,002.62","1,117,011.97","57,387.26","63,089.01","262,308.58","1,788,870.86","381,237.16","1,013,031.95","1,702,141.10","9,079,655.06","30,747.32","136,545.28","655,533.19","13,009,891.64","3,721,876.54","5,246,795.60","13,718,420.20"
管理费用,"22,982,978.69","34,649,261.52","39,115,871.51","26,711,620.99","42,855,153.40","61,044,158.90","21,933,091.00","40,758,922.05","80,877,386.47","115,346,183.91","27,158,190.75","54,657,573.46","90,489,237.54","126,448,856.06","34,113,460.29","77,964,226.86","121,903,390.81","156,839,590.99","33,567,044.42","75,525,863.30","126,291,019.01","165,490,899.75","42,777,928.68","76,731,026.04","122,200,626.89","177,357,523.86","30,982,205.38","77,647,297.05","145,218,961.83","189,914,906.08","41,092,273.17","75,808,237.90","135,818,269.74"
其中:非流动资产处置净损失,,,,,,,,,,,,,,25.70,,,,"93,921.38",,,,"526,399.94",,,,"131,568.47",,,,"258,939.52",,"1,100,418.12","1,100,418.12"
