科目,2008-12-31,2009-12-31,2010-12-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"79,549,552.28","156,940,896.22","174,731,107.17","968,312,538.17","771,588,786.65","742,762,469.07","651,939,737.13","736,993,849.60","572,306,510.62","615,251,399.12","582,404,086.13","584,276,478.25","414,610,406.02","421,809,158.89","435,418,129.43","415,666,285.59","352,977,021.54","346,063,450.37","296,244,557.50","246,957,150.76","213,980,146.69","248,257,749.57","205,619,908.57","201,722,295.98","197,680,170.21","318,031,185.83","283,225,822.12","290,153,562.38","276,131,738.28","408,207,477.85","291,508,543.67","223,941,195.42"
短期借款,"70,000,000.00","118,000,000.00","120,000,000.00","120,000,000.00","130,000,000.00","105,000,000.00","145,000,000.00","245,000,000.00","226,000,000.00","280,000,000.00","291,420,000.00","265,000,000.00","240,000,000.00","255,000,000.00","140,000,000.00","140,000,000.00","135,000,000.00","100,000,000.00","220,000,000.00","220,000,000.00","220,000,000.00","260,000,000.00","270,000,000.00","310,000,000.00","310,000,000.00","550,000,000.00","450,000,000.00","510,000,000.00","540,000,000.00","400,000,000.00","330,000,000.00","270,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"3,798,610.10","21,276,000.00","33,945,637.50","14,556,337.50","12,558,300.00","37,717,450.00","22,585,300.00","24,519,984.00","33,439,774.00","80,433,411.00","58,650,219.25","28,451,098.00","10,263,000.00","37,662,055.48","43,195,319.18","40,119,520.00","23,034,824.15","29,727,883.15","76,943,544.14","69,762,028.38","54,237,611.14","80,788,209.84","66,921,953.38","80,658,145.20","78,250,899.30","99,473,445.75","109,976,493.25","119,280,121.52","126,294,399.32","164,870,896.63","170,185,111.62","168,611,082.12"
应付票据,"71,690,896.84","60,062,508.19","29,164,282.74","53,502,013.11","27,687,440.71","64,705,270.67","88,578,334.76","63,168,676.74","64,034,277.13","129,033,160.83","170,221,232.47","131,424,805.12","109,109,946.59","129,608,611.19","104,851,615.53","74,431,534.45","61,787,670.00","53,326,686.19","52,638,465.50","72,277,657.37","76,118,241.74","111,525,619.91","94,584,500.47","84,944,804.37","93,247,752.16","127,637,142.10","170,129,386.83","162,855,245.56","157,148,423.24","171,287,076.74","221,309,339.01","279,383,524.53"
应收账款,"242,643,454.04","283,168,020.56","437,570,342.48","443,802,246.01","475,807,541.43","531,345,944.64","489,840,444.01","515,832,973.15","615,628,651.76","628,049,381.89","557,772,297.52","704,851,273.08","719,900,720.44","712,004,090.23","673,497,110.66","690,206,602.08","687,717,244.00","717,395,625.43","646,512,707.26","793,742,323.54","746,552,388.17","791,888,026.89","758,267,065.42","773,301,399.26","782,282,671.86","733,920,149.69","691,852,694.55","735,777,322.92","645,484,075.07","758,217,707.32","694,973,906.40","695,140,620.11"
应付账款,"141,113,085.37","171,859,008.09","164,477,880.37","142,279,391.09","151,498,055.41","159,483,222.73","189,580,601.31","185,622,814.11","201,823,135.16","202,297,107.35","225,266,595.16","182,626,182.69","155,745,208.92","182,099,508.28","141,922,311.89","132,951,921.14","136,260,810.49","213,161,353.59","193,568,484.93","184,059,297.01","185,674,906.50","197,363,310.77","183,757,091.33","175,966,431.33","183,134,297.01","237,052,703.62","197,955,195.78","207,468,337.52","193,486,282.59","218,959,651.94","199,139,071.99","215,939,446.53"
预付款项,"41,864,353.45","24,679,048.46","42,485,063.19","72,799,761.38","113,433,122.59","86,986,838.13","123,325,089.69","133,883,267.26","160,505,706.87","94,630,643.55","189,753,395.08","126,435,242.77","114,067,313.24","88,111,104.34","106,303,471.55","98,689,392.19","121,278,350.20","71,874,368.74","98,871,727.42","52,909,042.78","45,427,588.94","46,000,015.57","56,367,152.06","55,782,078.13","55,242,706.31","70,984,292.38","86,599,952.40","106,687,307.20","105,188,035.25","49,657,402.14","95,794,412.79","74,487,914.49"
预收款项,"180,066,298.78","88,387,050.40","96,782,777.47","99,588,099.01","114,686,995.87","77,860,141.38","142,597,668.43","132,357,455.71","148,949,382.30","195,323,477.67","242,581,317.96","293,518,978.15","249,646,204.96","179,207,733.90","243,072,416.17","177,549,639.07","176,165,929.82","103,513,687.53","132,661,416.82","153,113,127.14","165,508,861.07","106,571,241.49","107,858,807.79","90,036,105.70","140,768,712.04","155,234,589.19","152,271,379.66","191,092,241.08","142,766,961.60","109,629,247.01","138,392,399.78","165,539,110.55"
