科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"76,456,913.72","100,725,722.72","108,552,278.16","66,203,233.33","109,160,711.02","140,159,088.35","35,372,041.07","87,878,997.13","154,098,043.83","219,161,405.35","67,321,353.57","161,548,179.82","243,637,314.27","308,129,764.43","79,046,488.37","155,602,781.03","235,025,469.03","279,731,403.50","70,186,554.09","153,283,226.48","241,318,290.54","314,180,649.59","94,624,143.22","258,699,708.33","393,434,644.87","522,819,251.73","129,807,584.20","275,777,745.98","407,940,773.45","580,178,368.87","146,595,237.04","318,463,855.61","520,321,624.10"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,"35,919,881.32",,"33,304,639.44","33,306,238.62","33,304,639.44",,"1,000,000.00","1,000,000.00","1,000,000.00",,,,,,,,"17,870,000.00",,,"132,592,582.43","226,992,582.43",,"17,500,000.00","17,500,000.00"
收到的税费返还,"4,703,969.65","7,271,402.08","5,567,675.36","3,322,190.93","4,784,667.88","7,251,996.64","345,905.87","345,905.87","345,905.87","345,905.87",,"8,641,303.83","11,701,753.04","11,701,753.04","2,535,975.17","7,570,023.05","9,914,520.22","10,052,149.02","5,258,827.98","7,505,855.22","9,829,056.25","11,421,184.00","10,488,440.98","19,662,253.94","21,912,915.84","24,919,858.35","9,966,672.24","19,481,578.67","21,323,202.10","31,049,254.67","1,496,301.97","8,117,507.59","19,794,260.73"
支付其他与投资活动有关的现金,"9,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"19,881.47","877,334.91","563,495.90","885,239.30","1,114,818.71","1,754,904.25","838,316.63","2,966,647.47","5,490,763.64","7,176,959.84","1,947,901.38","2,760,180.67","3,849,437.72","8,102,295.65","1,860,161.99","2,853,114.24","3,238,483.34","6,670,154.56","4,071,829.25","7,104,512.58","7,639,045.21","10,333,637.48","3,383,898.85","7,318,144.92","8,734,585.38","15,600,063.38","1,302,975.36","3,136,529.34","3,701,018.33","7,090,136.39","772,159.10","6,449,769.75","8,671,754.35"
投资活动现金流出小计,"14,071,671.81","25,276,444.14","21,508,805.00","5,152,432.96","11,789,424.42","19,915,935.27","15,725,468.53","33,517,172.64","55,395,936.99","119,382,233.15","44,807,268.40","71,686,075.10","88,992,932.14","115,005,659.59","15,074,962.25","23,931,315.13","28,414,317.67","30,356,174.02","5,113,326.51","8,966,747.99","13,575,595.49","18,167,092.04","6,274,109.42","40,443,091.59","47,930,980.97","49,118,739.70","6,917,623.88","23,931,141.96","162,321,021.29","263,722,467.68","7,729,026.07","59,761,027.25","68,273,088.31"
经营活动现金流入小计,"81,180,764.84","108,874,459.71","114,683,449.42","70,410,663.56","115,060,197.61","149,165,989.24","36,556,263.57","91,191,550.47","159,934,713.34","226,684,271.06","69,269,254.95","172,949,664.32","259,188,505.03","327,933,813.12","83,442,625.53","166,025,918.32","248,178,472.59","296,453,707.08","79,517,211.32","167,893,594.28","258,786,392.00","335,935,471.07","108,496,483.05","285,680,107.19","424,082,146.09","563,339,173.46","141,077,231.80","298,395,853.99","432,964,993.88","618,317,759.93","148,863,698.11","333,031,132.95","548,787,639.18"
投资活动产生的现金流量净额,"-13,571,671.81","-13,493,429.14","-18,781,059.21","-5,152,432.96","-11,789,424.42","-19,915,935.27","-15,725,468.53","-33,517,172.64","-55,395,936.99","-119,381,419.11","-44,807,118.40","-71,685,925.10","-88,972,782.14","-114,874,452.75","-15,027,962.25","-23,884,315.13","-28,367,317.67","-30,228,219.21","-5,109,326.51","-8,943,171.07","-13,522,018.57","-17,974,194.18","-6,273,709.42","-8,281,972.80","-15,728,862.18","-16,683,251.91","10,329,476.46","-6,643,541.62","-145,033,420.95","-231,065,367.34","10,535,982.32","-37,409,576.50","-31,141,428.99"
购买商品、接受劳务支付的现金,"53,128,623.17","69,326,447.25","67,126,488.12","43,404,061.06","81,004,245.91","95,008,794.87","35,831,723.83","85,981,381.31","132,058,616.08","171,057,797.43","65,797,788.99","136,459,012.10","193,113,385.30","225,478,132.33","56,756,884.81","111,894,762.10","169,097,436.79","175,197,044.23","51,329,136.23","95,931,166.33","149,049,822.85","172,267,799.04","72,646,798.62","182,778,907.10","266,533,584.66","349,068,339.47","71,458,193.65","158,052,654.58","245,959,298.53","330,205,384.28","83,409,481.62","176,352,753.39","267,913,290.11"
吸收投资收到的现金,"10,000,000.00",,"6,000,000.00",,,,"383,260,000.00","383,260,000.00","383,260,000.00","383,260,000.00",,,,,,,,,,,,,,,,,,,,,,,"240,000.00"
