科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"1,475,203,980.12","1,737,802,484.60","1,589,966,693.57","489,005,485.44","984,581,618.59","1,482,672,261.98","2,050,401,523.64","518,848,324.08","1,025,935,438.43","1,574,197,014.45","2,202,699,229.43","416,323,026.22","871,896,031.33","1,383,985,273.65","1,937,630,382.97","506,772,476.93","970,095,125.05","1,539,512,497.77","2,134,693,672.79","501,552,526.84","1,036,034,853.45","1,617,188,946.42","2,206,531,493.49","505,363,292.69","1,000,686,913.34","1,611,289,937.30","2,242,019,425.13","630,784,159.71","1,177,328,260.70","1,811,913,250.44","2,547,537,745.54","749,543,979.74","1,418,283,801.12","2,146,840,495.83"
二、营业利润,"96,819,751.35","99,126,862.46","102,636,514.92","28,414,235.45","43,956,577.97","60,321,714.24","72,602,280.54","30,556,246.40","42,015,121.37","40,108,670.59","26,893,983.59","18,793,628.29","17,483,028.76","16,241,787.45","33,070,049.95","17,288,185.18","15,487,730.00","20,319,395.95","43,558,332.46","18,647,940.19","47,386,967.03","66,701,491.67","98,555,372.87","41,077,123.11","72,025,538.68","85,515,037.17","130,832,524.74","53,838,031.53","87,505,141.09","114,810,520.29","157,693,451.00","57,474,034.72","88,113,623.18","122,576,397.66"
减:营业成本,"1,104,857,501.90","1,279,034,169.35","1,099,292,091.66","345,598,569.91","704,407,517.52","1,069,052,910.97","1,461,851,772.36","370,590,916.93","735,504,248.88","1,144,321,589.56","1,565,835,494.50","272,737,284.02","579,934,448.10","919,767,819.48","1,288,143,498.60","336,573,889.36","655,747,949.43","1,059,311,469.09","1,446,429,251.65","324,938,310.40","667,279,811.59","1,037,963,599.39","1,420,562,485.47","298,664,730.20","605,835,297.28","989,974,203.62","1,375,196,429.86","362,896,112.85","680,157,701.13","1,068,888,530.08","1,518,354,122.86","432,506,456.43","839,652,469.86","1,289,952,558.71"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"4,381,654.89","11,725,423.32","10,897,769.76","4,848,648.94","7,582,865.56","10,425,747.88","13,047,141.43","4,494,669.57","6,858,488.45","10,596,500.01","15,784,725.60","4,597,023.81","8,363,281.53","12,903,702.85","15,953,743.34","4,269,728.04","7,685,905.68","11,045,777.58","16,653,970.71","3,911,391.67","8,371,960.88","12,700,808.78","18,145,146.92","5,236,252.71","9,749,005.40","12,947,640.58","17,124,815.76","7,168,166.73","12,645,697.13","16,895,220.20","31,623,925.60","9,491,403.89","17,254,190.01","25,627,400.26"
营业外收入,"2,995,345.75","4,791,528.24","1,381,886.94","366,135.48","1,317,703.99","5,215,016.58","5,808,116.75","359,111.20","708,886.35","1,594,815.26","59,298,583.38","841,341.57","2,274,314.14","3,395,331.30","4,290,554.97","768,929.24","6,683,784.18","8,785,372.26","62,813,508.28","4,999,270.95","10,884,164.38","16,897,046.87","24,188,524.22","5,838,501.38","9,641,602.20","15,143,597.57","23,067,966.44","4,554,772.95","9,124,152.42","17,591,192.29","23,728,476.22","7,646,884.44","16,394,899.92","15,829,939.40"
销售费用,"181,289,892.17","227,702,854.53","264,018,225.82","78,404,500.24","160,584,293.57","245,887,729.58","367,817,134.60","79,759,485.08","158,437,081.23","249,607,220.35","395,641,511.32","80,635,089.40","169,515,753.52","277,767,708.27","378,244,681.15","92,713,433.24","174,892,533.47","277,149,954.23","388,424,525.69","99,137,721.75","206,408,286.49","328,651,278.52","440,720,380.33","113,584,608.61","205,431,622.33","342,234,040.20","502,752,087.25","149,230,323.64","282,867,061.90","432,169,047.05","595,695,478.65","171,284,882.79","321,275,548.10","485,384,667.30"
减:营业外支出,"3,969,926.98","3,949,866.25","2,200,753.88","687,783.02","1,183,690.62","2,285,227.85","3,685,638.50","529,892.23","1,882,879.88","2,525,526.83","3,188,959.36","435,542.92","1,379,955.20","1,975,094.46","2,417,169.34","546,912.53","1,163,828.87","1,829,458.34","52,346,312.74","4,682,226.45","10,128,003.53","16,433,493.76","20,563,481.09","3,938,150.80","6,702,488.21","10,886,337.25","17,364,861.73","4,562,990.30","9,559,748.72","13,237,947.70","20,206,790.63","3,179,439.62","7,438,948.60","12,343,449.35"
管理费用,"66,126,739.05","73,847,838.10","87,328,160.88","23,561,225.84","48,128,625.87","72,021,995.73","111,232,768.95","35,500,620.48","86,733,370.38","141,368,905.53","210,755,307.09","38,102,431.16","92,999,492.45","146,086,869.05","205,081,248.82","47,203,287.20","96,452,260.00","146,135,126.86","206,309,519.23","50,244,272.29","102,545,775.15","160,878,698.39","217,709,175.28","49,510,117.27","109,679,079.06","176,853,369.30","236,241,838.01","54,786,940.29","117,757,818.30","183,172,768.23","258,112,376.40","61,297,579.34","130,748,517.63","197,530,314.00"
其中:非流动资产处置净损失,"1,284,253.17","1,687,110.99","368,392.15",,,,"466,416.65",,,,"23,646.47",,288.46,,"18,873.37",,"4,590.77","4,590.77","36,414,947.90",,"13,890.93","789,010.95","1,107,588.57",,"69,892.03","189,502.48","1,241,048.65","259,542.59","263,781.14","263,781.14","336,225.82","6,528.26","260,035.29","477,375.20"
