科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"743,395,364.27","827,249,140.79","781,010,889.57","221,819,662.26","508,636,908.40","750,227,037.19","1,021,885,615.05","272,551,538.11","807,437,431.37","1,363,934,225.19","1,791,372,430.55","428,386,111.47","990,669,992.17","1,519,456,109.64","2,058,138,787.46","517,210,485.05","1,144,962,199.64","1,808,015,955.96","2,412,688,790.66","568,179,350.01","1,185,336,744.40","1,759,381,713.19","2,039,062,154.60","416,974,029.74","892,196,580.09","1,190,697,337.80","1,528,245,617.40","185,066,884.90","421,607,619.04","671,214,191.82","977,120,506.01","301,334,848.76","692,824,252.50","1,077,080,020.34","1,446,495,313.47"
二、营业利润,"47,407,407.96","42,183,187.01","43,563,177.38","12,421,346.27","23,851,014.92","32,706,023.02","47,568,963.00","13,358,373.06","14,101,259.93","21,565,536.67","11,160,916.96","-23,510,519.02","-9,168,799.67","6,135,307.47","23,594,706.27","9,477,376.20","7,499,000.21","6,696,946.86","7,341,471.31","-5,818,261.75","-24,935,828.00","-55,496,407.38","-405,838,095.24","-46,203,157.19","-79,398,543.33","-68,906,262.50","-125,929,564.08","-4,028,433.34","7,377,553.71","7,608,421.78","14,203,142.20","23,228,018.17","28,490,701.86","35,521,956.29","39,454,458.06"
减:营业成本,"633,909,931.12","710,110,451.38","651,938,064.27","188,595,710.87","443,436,572.49","654,116,072.66","881,631,273.28","231,604,482.07","717,725,653.72","1,216,165,032.77","1,599,072,323.85","395,176,063.76","882,861,409.07","1,341,487,685.65","1,805,164,666.16","436,638,467.25","1,009,130,001.21","1,613,115,940.94","2,113,316,167.92","500,160,848.46","1,069,421,042.04","1,626,096,271.20","2,070,479,838.21","419,523,947.83","862,255,558.91","1,209,211,274.81","1,524,447,922.31","180,975,526.00","416,540,366.14","659,089,494.07","954,804,307.58","291,508,911.93","670,124,455.61","1,033,289,855.23","1,393,349,977.36"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,412,293.17","688,816.56","1,764,839.68","333,974.20","595,909.47","1,190,558.44","2,388,895.54","1,247,484.60","2,151,253.27","2,826,049.97","3,966,686.72","1,240,296.43","2,892,939.16","3,800,990.21","5,501,422.52","1,234,625.74","3,860,050.70","5,723,557.86","7,796,780.23","2,817,098.28","4,061,130.05","6,043,676.23","6,630,505.38","201,829.66","2,318,768.16","3,085,750.59","5,038,140.66","1,904,305.76","2,456,519.25","2,507,644.55","4,714,353.38","1,005,867.12","2,166,630.62","3,638,536.08","5,023,593.78"
营业外收入,"20,308.37",,"1,158,641.24","47,905.09","416,958.30","1,839,893.85","2,391,420.61","349,348.26","1,528,320.96","2,279,707.81","5,815,979.79","5,409,698.60","6,632,850.94","7,081,370.90","8,673,915.58","6,495.67","2,981,887.13","4,729,313.96","5,652,590.71","1,000.00","176,233.09","923,986.37","1,482,119.88","88,784.69","347,505.12","657,004.54","27,268,510.27",,,,"67,403.50","1,930.75","3,297.75","39,103.05","77,084.04"
销售费用,"21,454,992.63","26,413,688.60","24,708,346.87","4,399,446.83","11,830,422.55","18,103,285.46","24,466,095.93","5,191,616.71","11,830,741.66","17,529,141.29","26,746,855.80","7,136,253.59","18,179,594.11","27,583,409.37","46,080,075.87","10,926,933.80","26,531,531.26","43,054,078.70","59,910,981.59","14,668,620.33","28,683,808.09","43,627,827.85","78,337,422.12","6,318,565.51","23,136,096.24","26,142,350.23","25,871,225.90","407,956.12","1,237,333.52","1,664,318.41","2,168,423.01","453,490.43","861,291.73","1,351,184.04","2,016,579.65"
减:营业外支出,"135,900.80","429,000.00","544,823.59",,,"10,220.00","84,334.36","2,720.03","49,986.41","50,036.41","54,781.27","2,000.00","107,000.00","131,400.00","131,492.39",,"190,000.00","252,000.00","282,000.00",,"144,761.03","291,248.37","985,187.95","132,638.45","379,722.07","379,722.07","484,136.48",,"118,988.57","118,988.57","119,938.38",,,"100,000.00","100,117.38"
管理费用,"15,873,922.93","21,897,342.02","24,474,690.15","5,843,081.89","12,177,343.48","18,927,203.81","30,069,562.71","7,090,535.52","16,281,930.45","27,568,433.03","38,240,486.95","12,081,817.91","25,530,111.03","38,628,183.37","52,299,752.92","12,661,280.16","25,583,302.62","37,422,118.42","70,504,121.34","16,748,712.24","33,083,448.81","53,829,026.54","82,255,937.14","22,798,219.53","36,467,387.80","49,135,386.16","63,464,424.74","5,308,425.80","14,547,510.95","20,283,131.51","23,035,664.48","3,628,337.92","8,161,156.52","12,805,636.07","18,870,050.55"
其中:非流动资产处置净损失,"-13,832.77",,"4,740.75",,,,,,"19,986.41",,"24,731.27",,,,,,,,,,,,"29,507.04","122,631.35","369,452.10","369,452.10","126,161.54",,"118,988.57","118,988.57","119,938.38",,,,
