科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"152,479,715.26","187,850,942.70","406,493,515.42","352,418,582.88","501,786,538.72","690,447,983.28","221,537,153.50","422,070,210.68","700,460,960.09","860,049,415.84","161,676,969.02","346,836,025.17","572,371,936.97","1,023,681,466.99","282,534,798.97","620,480,449.83","920,669,710.12","1,398,432,549.15","281,849,949.32","647,744,718.27","1,210,097,728.68","1,852,693,759.07","482,987,328.96","1,196,186,836.34","1,850,685,706.65","3,011,586,650.28","932,055,654.17","1,644,957,128.99","2,233,466,377.19","2,855,035,873.58","551,114,630.66"
取得子公司及其他营业单位支付的现金净额,,"8,426,655.36",,,,"14,143.18",,,,,,,"29,996,180.00","9,991,361.83","69,677,716.18","71,409,264.41","82,908,632.52","85,875,132.52",,,,,,"39,043,048.86","39,157,732.13","39,513,917.67",,"6,901,600.00","6,901,600.00",,
收到的税费返还,,,,,,,,,,,,,,,,,,,,,,,,,,"2,202,867.13","4,982,439.30","6,111,467.10","6,929,637.30","3,323,175.13","4,324,753.36"
支付其他与投资活动有关的现金,"106,999.78",,,,,,,,,,"420,000.00",,,,,,,"800,000.00",,"15,170,000.00","700,000.00","100,700,000.00","779,000,000.00","166,000,000.00","201,000,000.00",,"62,500,000.00","300,852,328.00","425,852,328.00",,
收到其他与经营活动有关的现金,"962,784.75","660,301.06","2,405,141.57","2,399,225.76","5,181,072.92","9,024,965.69","3,238,963.18","8,193,924.72","21,892,451.60","18,822,088.93","883,935.51","7,092,216.53","8,335,593.48","12,251,530.38","5,285,957.54","6,266,598.37","11,853,092.12","13,157,838.60","18,368,124.28","19,101,298.83","17,697,918.54","29,369,162.00","28,824,464.86","39,673,862.17","62,324,191.34","96,087,694.23","71,830,342.36","99,544,028.04","106,375,117.75","238,785,744.92","3,988,602.91"
投资活动现金流出小计,"12,726,012.73","28,061,411.00","65,551,579.34","6,957,990.75","11,937,702.61","43,881,456.64","84,863,777.35","75,994,164.60","136,901,140.12","231,283,642.13","32,277,260.10","65,782,493.93","137,752,570.69","233,965,526.38","149,027,607.66","198,146,563.47","344,330,207.07","614,098,682.54","153,507,540.29","254,537,510.79","319,377,919.23","671,234,781.36","1,015,627,538.35","602,249,800.30","935,224,149.17","1,425,254,614.47","241,298,965.97","558,970,662.90","721,646,649.66","4,890,520,475.48","1,686,987,086.35"
经营活动现金流入小计,"153,442,500.01","188,511,243.76","408,898,656.99","354,817,808.64","506,967,611.64","699,472,948.97","224,776,116.68","430,264,135.40","722,353,411.69","878,871,504.77","162,560,904.53","353,928,241.70","580,707,530.45","1,035,932,997.37","287,820,756.51","626,747,048.20","932,522,802.24","1,411,590,387.75","300,218,073.60","666,846,017.10","1,227,795,647.22","1,882,062,921.07","511,811,793.82","1,235,860,698.51","1,913,009,897.99","3,109,877,211.64","1,008,868,435.83","1,750,612,624.13","2,346,771,132.24","3,097,144,793.63","559,427,986.93"
投资活动产生的现金流量净额,"-12,637,688.90","-27,519,000.69","-65,551,579.34","-5,457,990.75","-11,937,702.61","-40,181,456.64","-84,863,777.35","-75,994,164.60","-136,901,140.12","-218,157,553.76","-32,277,260.10","-65,782,493.93","-137,752,570.69","-230,839,126.38","-149,027,607.66","-197,683,963.47","-343,867,607.07","-611,375,527.84","-153,364,040.29","-242,094,010.79","-302,434,419.23","-649,486,222.99","-1,013,091,337.15","-590,648,827.57","-820,161,535.66","-1,287,569,491.45","-239,176,915.24","-553,162,390.24","-711,961,100.40","-152,476,321.08","-577,999,667.97"
购买商品、接受劳务支付的现金,"110,304,997.06","130,038,363.94","280,721,543.51","239,913,543.28","332,775,504.54","466,702,709.13","170,753,288.32","323,678,221.36","529,717,505.68","575,002,195.51","121,395,127.56","213,741,424.08","421,595,186.98","658,698,612.59","257,148,566.24","506,608,955.19","681,190,706.41","899,100,991.16","197,575,766.91","452,779,164.68","764,496,999.03","952,687,421.68","568,010,819.26","947,515,008.13","1,312,768,999.85","2,053,041,272.83","817,574,601.93","1,118,529,753.08","1,336,589,595.81","1,806,354,211.01","252,898,116.12"
吸收投资收到的现金,"12,500,000.00","25,000,000.00",,,"766,649,941.06","777,020,000.00",,,"3,000,000.00","3,000,000.00",,,,,"13,500,000.00","13,500,000.00","13,500,000.00","13,500,000.00","3,068,650.00","47,497,239.21","47,658,616.70","1,989,447,977.68",,,"15,539,384.00","15,539,384.00",,,"9,580,411.12","9,580,411.12",
支付给职工以及为职工支付的现金,"6,852,914.87","6,476,124.50","19,254,704.80","12,814,443.21","20,121,232.07","28,484,371.99","11,049,732.66","21,580,756.70","32,325,714.94","42,371,279.89","13,591,445.72","25,255,142.06","36,904,159.27","49,555,219.11","15,510,261.91","34,590,447.53","51,921,599.57","71,614,350.32","25,239,126.36","49,388,967.44","73,949,663.48","101,399,493.28","25,324,530.94","53,187,046.52","80,238,975.27","106,636,924.61","28,187,929.91","50,920,699.28","71,316,860.98","97,958,844.97","29,896,941.84"
取得借款收到的现金,"25,000,000.00","38,000,000.00","60,000,000.00","48,000,000.00","48,000,000.00","48,000,000.00","60,000,000.00","60,000,000.00","60,000,000.00","60,000,000.00",,,,,,"50,000,000.00","111,500,000.00","374,612,000.00","100,000,000.00","383,861,000.00","385,214,000.00","428,511,200.00",,,,,"275,880,000.00","275,880,000.00","275,880,000.00","275,880,000.00",
