科目,2013-12-31,2014-12-31,2015-12-31,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"104,732,385.60","102,200,459.66","146,216,033.87","177,898,789.48","828,849,212.17","334,245,082.73","315,396,834.93","357,108,963.59","469,778,624.49","814,901,358.26","536,507,509.88","581,666,449.36","552,972,951.47","764,933,295.86"
短期借款,,,,,,,,,,,,,,
交易性金融资产,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,
应收票据,"1,894,342.77","11,850,043.99","15,089,407.18","4,136,529.78","2,621,630.26","1,882,183.35","4,062,212.24","520,000.00","748,957.25","1,482,657.71","4,838,593.69","2,358,723.50","651,373.20","530,000.00"
应付票据,,,,,,,,,"10,127,981.11","29,096,471.99","42,563,681.37",,"28,777,005.51",
应收账款,"59,869,604.04","69,201,083.37","96,947,817.72","83,635,669.35","73,642,333.05","84,132,865.30","70,889,485.49","68,097,189.21","66,425,746.53","85,997,201.92","117,208,039.13","121,315,993.44","218,597,596.69","121,212,579.16"
应付账款,"23,727,780.34","40,514,260.39","31,663,095.98","34,839,014.45","36,252,291.09","43,525,744.41","43,376,152.34","49,816,386.69","57,244,978.43","65,727,727.78","88,191,412.49",,"121,029,586.10",
预付款项,"216,235.58","1,104,349.79","6,156,510.90","1,786,056.40","2,066,372.12","1,453,023.73","2,479,452.03","2,815,553.91","1,157,379.98","4,302,295.05","4,201,657.79","4,842,944.71","1,129,214.18","7,914,660.66"
预收款项,,,,,,,,"1,192,132.57","3,426,416.71","535,659.47","538,034.13",,"1,022,983.26",
其他应收款,"1,323,804.06","1,242,021.80","1,403,806.77","1,644,060.50","1,925,862.73","7,834,715.00","1,784,083.24","2,189,191.07","2,110,840.81","9,362,504.31","2,577,807.98","5,554,105.75","1,229,411.80","8,014,628.63"
应付职工薪酬,"28,513,290.37","32,984,599.37","41,578,298.17","22,418,855.17","30,831,849.07","36,052,960.67","19,894,701.07","25,213,983.90","30,419,472.63","35,004,023.83","26,519,583.41","39,305,535.78","60,210,626.03","70,428,901.03"
应收关联公司款,,,,,,,,,,,,,,
应交税费,"5,314,230.65","5,938,712.33","7,059,041.78","6,338,290.63","5,405,075.38","5,359,395.56","4,841,281.48","6,886,998.58","5,661,707.78","6,165,065.53","8,287,528.39","10,326,499.75","11,955,468.64","14,443,336.04"
