科目,2013-12-31,2014-12-31,2015-12-31,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"249,555,080.26","150,297,464.55","240,839,902.89","479,903,959.66","712,566,026.52","326,725,999.12","307,681,854.92","306,934,963.19","350,982,128.74"
短期借款,,,,,,,,,
交易性金融资产,,,,,,,,,
交易性金融负债,,,,,,,,,
应收票据,"3,716,124.02","50,675,836.68","11,344,597.32","22,237,869.28","19,147,010.10","24,401,010.10","20,600,218.84","8,555,630.44","26,737,538.21"
应付票据,,,"17,691,780.97",,,,,,
应收账款,"406,490,592.56","368,852,379.50","385,000,664.79","317,030,304.74","313,911,316.52","417,496,688.57","574,886,178.17","542,019,118.89","608,549,727.15"
应付账款,"242,151,914.63","236,329,044.90","553,375,647.29","421,858,767.17","462,854,941.29","475,157,544.60","534,147,326.45","442,964,212.26","561,618,928.29"
预付款项,"2,618,553.71","1,862,810.71","111,334,577.82","23,497,861.21","32,273,093.36","26,785,865.17","23,965,622.02","45,904,965.07","48,787,755.01"
预收款项,"2,365,500.00","2,570,631.00","4,937,626.54","18,535,180.34","13,321,564.76","2,756,550.74","5,792,000.00","1,340,000.00","16,102,492.57"
其他应收款,"8,502,943.29","9,207,512.50","5,074,523.62","9,841,867.07","8,894,006.81","9,001,897.99","16,140,099.31","22,032,801.99","17,835,756.91"
应付职工薪酬,"3,109,824.19","3,543,009.78","4,342,768.86","6,478,454.98","15,446,226.96","4,888,394.42","4,901,308.98","5,476,562.70","17,001,138.47"
应收关联公司款,,,,,,,,,
应交税费,"39,232,715.12","29,697,331.02","48,296,841.82","4,696,925.08","4,761,617.22","5,656,007.26","21,877,611.24","24,348,568.22","23,412,489.55"
应收利息,,,,,,,,,
应付利息,,,,,,,,,
应收股利,,,,,,,,,
应付股利,,,,,,,,,"691,200.00"
存货,"38,426,218.07","133,755,989.20","366,438,443.69","243,401,902.42","263,171,786.68","365,904,177.28","314,298,425.79","239,698,346.58","273,234,362.54"
其他应付款,"677,658.54","231,269.81","734,438.40","532,747.09","1,312,912.96","499,909.14","1,223,502.61","1,220,180.04","7,007,625.90"
其中:消耗性生物资产,,,,,,,,,
应付关联公司款,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,
