科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"393,291,513.25","592,538,348.86","595,702,228.01","224,714,669.91","392,801,548.70","576,786,397.11","737,972,252.50","270,488,655.95","456,548,761.22","605,515,619.42","763,641,607.21","252,157,407.14","615,866,805.89","883,556,339.51","479,256,678.82","308,615,368.84","598,382,219.84","824,147,926.42","1,044,397,823.10","280,429,187.36","478,788,900.13","630,408,572.93","773,725,673.74","232,142,207.76","463,636,353.34","618,805,264.76","774,782,192.71","236,155,554.61","457,528,993.43","635,706,447.79","846,853,223.73","284,987,842.98","525,457,468.36","763,616,828.29","1,029,433,431.40","393,833,564.95","769,517,941.45","1,100,062,945.72","1,503,607,407.43","434,462,480.17"
二、营业利润,"154,737,836.10","172,369,294.31","195,275,369.09","95,205,564.26","162,756,791.95","225,605,356.63","261,516,539.29","205,315,594.53","290,544,358.02","345,141,298.93","386,005,823.21","115,026,257.52","231,749,573.70","320,553,654.20","214,393,484.07","125,416,133.36","244,288,152.84","315,650,100.41","347,969,471.51","76,949,042.55","110,570,299.10","121,039,142.79","107,781,134.18","54,485,743.74","120,929,467.92","135,242,304.77","133,623,866.17","47,974,723.88","78,703,095.49","90,767,755.23","131,285,327.96","47,212,907.10","92,124,012.70","116,780,722.88","130,626,137.05","48,372,482.35","81,724,844.21","123,798,325.95","215,011,157.86","52,706,641.05"
减:营业成本,"119,926,199.91","241,409,395.65","218,284,554.20","73,986,569.20","134,606,731.16","216,338,251.33","295,386,225.28","112,255,246.67","177,238,834.52","240,164,799.22","299,495,851.34","88,607,041.26","231,650,547.20","332,178,651.10","166,948,275.33","98,652,408.64","191,728,474.38","277,064,464.23","369,382,498.12","105,127,836.35","190,930,834.62","271,798,759.22","347,123,088.88","99,996,060.10","188,805,069.46","268,673,236.70","346,505,042.55","107,536,966.00","200,599,943.67","280,595,757.30","365,428,096.97","119,736,233.27","207,690,149.36","292,318,768.15","378,746,354.77","129,671,138.87","234,512,804.82","320,554,108.10","427,120,904.73","135,547,512.00"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"5,499,753.57","13,471,396.01","15,265,324.81","3,159,675.10","5,388,850.16","9,313,749.01","21,642,888.79","7,208,844.65","9,725,573.99","11,862,528.40","14,197,472.28","3,995,965.71","9,037,698.71","14,581,086.29","7,363,533.05","3,771,982.59","8,226,850.66","11,834,163.15","14,865,154.92","4,155,405.68","6,557,239.74","8,107,396.96","9,889,138.56","2,318,358.46","5,451,420.18","7,353,063.74","9,200,282.71","2,974,258.87","6,004,552.92","8,375,611.06","17,109,098.21","5,070,915.76","12,879,665.68","18,672,314.80","27,512,283.46","8,459,409.64","17,702,404.85","25,930,253.70","35,272,036.46","9,503,568.36"
营业外收入,"1,014,233.88","1,157,094.86","8,530,669.92","884,510.57","3,079,380.59","3,552,803.72","3,754,826.72","356,756.64","386,826.64","448,080.64","1,046,804.48","40,356.41","3,905,912.78","4,158,778.03","74,557.18",570.02,"1,228,158.91","3,235,778.04","6,630,378.68","100,280.00","336,055.33","3,653,408.67","4,754,251.62","12,330.21","1,078,766.79","1,111,565.78","2,156,109.01","2,026,354.24","2,158,424.01","2,519,462.57","2,803,464.21",586.38,"634,043.05","1,284,704.46","1,584,902.96","62,894.55","284,723.64","795,790.77","638,025.45","178,259.50"
销售费用,"64,442,405.51","86,801,300.23","84,837,150.75","31,605,422.95","50,580,034.69","71,830,739.77","96,987,085.19","30,670,312.96","52,141,528.79","70,929,229.25","114,053,869.55","30,620,675.18","100,812,871.61","151,687,729.20","57,298,603.90","52,867,130.53","123,756,502.27","166,745,712.66","228,420,491.15","64,952,264.58","113,188,535.36","153,199,869.90","195,801,582.11","48,187,412.68","101,718,559.88","133,362,855.77","173,280,231.97","51,894,465.31","110,045,913.70","163,209,146.89","193,373,074.84","68,792,308.68","121,029,489.26","192,976,315.97","307,954,458.92","144,762,343.12","304,172,352.35","459,098,761.69","660,393,215.91","179,248,747.60"
减:营业外支出,"55,046.08","1,009,613.01","2,252,387.02","9,848.80","52,040.03","151,546.49","203,732.83","114,968.83","120,751.39","151,277.94","279,939.84","6,810.00","84,591.68","506,637.35","11,805.00","194,678.24","195,078.24","402,111.69","1,422,913.40","411,981.75","413,035.85","424,347.72","462,311.15","130,639.74","48,813.50","64,622.81","396,179.88",,"250,205.58","250,205.58","805,381.16","15,038.89","1,354,239.64","1,383,126.03","1,384,715.01","16,289.88","232,827.03","335,231.29","1,660,029.63","326,588.29"
管理费用,"48,751,036.32","65,361,001.52","65,473,611.98","21,103,832.91","37,839,589.49","53,911,140.32","81,013,103.79","24,614,329.74","43,450,908.32","63,644,939.24","94,005,580.62","19,339,522.96","54,690,032.66","79,932,001.32","39,324,222.39","30,907,593.25","60,319,483.11","89,913,352.95","126,883,341.92","33,301,232.80","64,185,287.81","89,685,929.17","132,653,038.87","28,199,512.26","59,749,962.14","88,305,310.14","117,358,161.62","27,808,097.43","64,267,069.28","94,549,033.50","155,723,778.40","46,539,086.91","93,429,888.08","147,978,412.47","217,273,434.42","73,869,381.94","143,272,911.90","83,912,254.31","116,865,853.14","24,807,571.46"
其中:非流动资产处置净损失,"45,222.92","108,527.13","109,790.38",,,,"22,362.28",,,,"123,119.36",,"4,905.00",,"4,905.00",,,,"248,343.11","57,408.26",,,"120,757.05",,"18,375.21","19,767.44","278,586.01",,205.58,205.58,381.16,"15,038.89","33,784.64","42,667.20",,,,,,
