科目,2007-12-31,2008-12-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"13,278,467.13","28,282,561.39","38,590,961.55","25,476,344.40","469,626,780.94","395,340,077.61","390,385,822.74","382,884,404.30","387,328,201.60","353,644,063.22","333,162,810.88","312,216,126.94","331,142,603.13","289,384,471.07","272,454,993.18","245,916,066.41","290,402,715.67","178,482,083.44","197,880,943.43","202,878,573.38","299,647,334.22","251,012,914.44","228,593,965.46","116,850,368.04","138,619,351.37","82,010,724.19","83,298,259.09","81,910,953.48","167,835,777.14","116,781,264.05","100,773,830.51","117,108,513.78","128,265,403.92","180,085,567.46","364,951,247.41","326,501,523.24","271,401,629.72","164,953,014.66","176,366,247.25","189,618,568.96","234,086,442.97","237,641,321.67"
短期借款,,"10,000,000.00","12,000,000.00","7,000,000.00","12,000,000.00",,,,,,,,,,,,,,,,,,"10,000,000.00","52,017,150.00","110,165,776.16","177,718,626.16","203,500,491.29","200,906,634.10","200,011,326.40","158,588,541.72","205,770,539.24","240,370,957.78","240,827,647.04","273,605,463.07","191,800,292.20","174,340,625.72","107,456,852.23","69,056,852.23","93,755,871.07","100,872,236.41","98,475,061.79","100,708,992.36"
交易性金融资产,,,,,,,,,,,,,,,,,,"100,000,000.00","49,000,000.00","49,000,000.00",,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,,,,,,,"90,100.00","90,100.00",,,,"100,000.00","100,000.00",,,,,"678,684.70","200,000.00","543,990.08","877,432.48","722,621.40",,,,,"2,700,000.00","1,710,000.00",,,"98,900.00",,,,,
应付票据,"2,020,000.00",,"3,614,424.34","6,658,787.34","4,262,813.00","3,473,958.00","4,689,665.60","10,217,567.40","12,485,492.75","2,175,051.25","4,174,560.00","5,719,488.00","13,051,634.61","5,859,674.90","5,940,033.50","10,038,788.70","18,129,462.24","12,521,051.00","6,129,060.00","11,884,218.80","23,244,966.27","14,338,306.00","12,933,770.00","17,638,439.31","10,118,197.57",,,"9,513,357.56","4,727,250.00","2,050,000.00",,,"3,000,000.00",,,,"6,721,634.99","5,095,970.78",,,"1,000,000.00",
应收账款,"22,387,700.91","22,122,602.53","31,963,868.01","34,930,650.02","38,414,176.88","35,447,680.27","44,883,715.34","50,039,813.07","51,412,589.74","54,722,424.06","65,262,891.02","77,486,415.72","71,867,994.27","85,361,484.98","96,422,153.39","109,107,965.03","94,509,916.69","116,027,395.59","129,737,352.31","128,212,588.59","129,825,556.94","130,816,293.40","147,981,342.86","172,726,507.25","154,721,323.25","150,021,982.00","155,416,213.23","188,837,960.98","187,725,273.90","166,558,524.82","165,466,406.87","177,235,665.12","183,157,510.83","183,389,074.88","172,378,225.70","181,852,183.46","202,666,472.28","201,958,745.89","207,800,298.27","207,995,318.35","211,847,226.96","203,379,706.40"
应付账款,"8,324,039.43","27,987,628.08","28,406,473.90","31,800,172.55","39,160,126.07","40,506,404.98","39,802,570.89","43,694,184.67","35,175,639.35","34,055,444.54","35,571,330.07","34,894,828.56","34,736,979.32","33,106,364.07","38,008,196.81","40,980,222.94","36,335,725.70","29,648,995.56","32,138,304.14","39,195,106.15","31,325,322.64","29,871,657.34","37,256,460.96","36,239,504.92","50,463,197.07","37,920,640.50","51,611,116.54","49,713,771.22","66,176,151.41","58,349,417.41","59,980,962.71","62,279,601.26","76,578,030.27","64,745,331.25","64,601,821.81","75,154,010.50","63,747,643.05","68,938,819.91","71,580,996.52",,"75,089,132.46",
预付款项,"3,545,299.25","4,163,269.33","13,983,144.31","23,416,470.57","15,853,846.81","27,523,031.56","25,190,631.18","45,297,187.71","26,225,156.95","37,194,058.86","45,359,210.62","40,625,470.41","28,099,768.07","37,361,695.53","29,450,980.47","45,062,007.95","31,274,083.27","41,290,153.02","49,016,895.63","43,230,570.81","23,771,384.83","46,271,898.48","46,520,556.67","57,287,569.06","31,160,237.65","72,481,546.06","79,902,911.48","71,972,736.74","19,313,400.57","35,376,996.14","25,082,202.21","26,145,219.23","16,800,612.98","20,994,102.95","20,924,648.28","18,599,524.29","20,129,302.88","25,819,094.11","33,071,330.51","30,036,612.11","12,806,874.72","20,023,024.35"
预收款项,"1,097,238.78","1,661,924.18","1,584,701.10","2,180,823.82","1,436,704.29","1,868,271.98","1,385,444.00","1,317,798.79","2,083,955.98","4,499,483.75","5,057,526.31","3,683,122.35","2,980,874.56","2,793,003.08","3,564,987.78","7,325,074.13","5,111,205.07","10,237,801.98","21,648,146.48","22,740,290.11","19,270,122.11","19,703,251.43","38,710,730.71","22,249,069.01","11,263,139.45","21,144,280.43","20,187,460.66","24,006,490.64","15,290,716.16","18,105,303.68","10,231,983.38","10,607,187.71","13,207,621.64","11,745,609.25","25,096,348.28","11,830,670.44","10,096,487.38","9,161,725.53","10,371,767.89","10,702,914.86","9,958,499.47","11,830,639.69"
