科目,2008年度,2009年度,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"138,320,485.52","183,314,344.04","237,612,571.67","59,442,598.77","130,107,106.41","209,457,659.07","296,075,138.96","69,844,382.17","143,825,418.32","277,318,657.94","396,282,040.00","112,215,373.92","228,916,686.09","352,055,358.45","488,664,671.36","112,748,645.86","245,281,584.05","376,809,134.48","521,021,678.03","111,184,704.37","238,608,342.36","362,787,047.41","495,078,529.84","108,332,630.51","227,597,398.46","351,098,401.40","489,739,738.93","100,878,664.17","220,530,107.90","344,129,179.00","472,130,925.91","236,302,444.22","471,680,900.58"
二、营业利润,"17,349,417.18","34,830,991.23","40,146,248.07","8,595,716.89","17,675,951.04","29,249,817.03","41,859,615.14","11,138,725.17","21,874,514.68","40,054,659.42","48,283,464.35","8,776,200.49","21,182,419.55","31,960,985.12","39,864,297.58","8,806,855.60","18,229,239.89","27,031,034.52","39,332,257.17","7,332,408.63","13,846,724.52","23,788,723.93","36,781,045.70","10,238,794.76","20,823,418.19","32,175,782.78","39,551,890.19","8,464,981.98","10,342,712.57","16,198,816.48","5,915,958.80","28,091,671.08","110,612,419.00"
减:营业成本,"106,944,885.97","131,007,304.10","178,211,857.48","46,659,635.90","102,907,488.43","167,710,430.99","237,132,777.80","55,257,546.89","113,083,669.51","209,992,054.61","296,154,134.63","89,518,604.51","175,627,411.91","272,175,112.05","381,304,041.42","86,527,639.09","191,357,027.13","297,050,542.32","408,622,880.84","87,926,205.97","190,823,430.47","288,198,986.98","387,982,400.90","82,223,023.61","171,940,372.06","267,053,244.97","374,842,959.53","78,128,654.18","176,445,869.29","276,454,947.19","383,471,962.89","152,092,788.42","304,522,478.92"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"773,334.74","852,975.36","626,177.06","194,680.59","472,549.43","878,935.40","1,347,589.65","320,476.22","641,480.27","1,335,614.91","1,956,241.78","623,303.23","1,244,710.47","1,860,683.82","3,355,641.69","900,758.61","1,338,153.87","2,098,063.72","2,064,828.18","469,567.51","1,191,658.78","1,737,350.99","2,358,738.01","570,512.45","1,248,965.74","1,993,319.98","4,515,039.39","830,262.90","1,975,435.79","3,144,995.61","4,312,452.39","2,084,113.89","3,834,777.18"
营业外收入,"171,349.10","1,863,843.46","1,667,830.47",200.00,"2,670,200.00","3,748,481.56","3,798,481.56","25,875.00","335,508.83","1,647,730.63","1,901,666.13","52,847.80","236,642.87","1,402,422.51","5,886,629.20","594,616.80","3,923,473.62","4,816,578.71","6,964,513.67","184,670.96","1,659,721.87","2,477,508.81","4,086,390.95","1,422,777.17","1,677,762.15","2,962,885.44","4,373,924.05","2,675,376.56","2,705,164.32","3,051,547.93","3,245,051.24","566,400.33","735,058.08"
销售费用,"4,560,482.22","6,237,042.59","6,998,936.60","1,795,478.86","3,841,784.46","6,227,643.06","9,077,421.89","1,936,263.60","4,218,155.28","11,816,691.03","20,035,563.94","6,099,215.32","14,667,848.72","21,818,858.49","31,166,937.99","7,962,281.87","16,635,974.64","23,607,124.53","33,290,093.67","6,890,911.94","14,460,770.35","21,492,402.94","29,600,196.81","6,951,004.04","14,858,281.93","22,415,343.65","33,601,447.46","6,626,164.13","13,786,192.50","21,176,049.57","29,234,990.71","23,430,333.28","47,118,450.90"
减:营业外支出,"171,648.00","440,864.07","438,370.76",,"55,201.26","55,201.26","142,306.61",,"29,607.51","79,607.51","861,202.94",17.64,"45,612.38","49,395.93","489,429.09",,"92,728.41","176,777.15","102,345.08","65,466.84","77,469.34","85,811.33","143,377.91","10,400.62","12,360.25","12,429.49","96,368.33","213,748.94","592,697.48","642,383.88","413,279.14","21,219.37","90,207.69"
管理费用,"6,687,611.77","8,379,691.22","9,128,791.79","2,616,982.15","5,593,893.36","8,489,546.26","12,744,506.62","3,430,371.38","8,515,496.57","19,439,158.49","34,871,589.80","7,823,656.56","17,281,844.44","26,738,112.53","34,995,235.07","9,897,928.33","19,364,988.47","29,268,074.54","38,727,066.01","9,274,781.12","19,763,746.71","30,268,040.83","40,511,596.54","10,109,044.10","20,341,920.78","29,354,646.41","38,198,679.91","9,105,608.40","19,899,317.47","29,481,376.57","46,230,655.37","24,344,458.99","47,153,766.21"
其中:非流动资产处置净损失,,,,,,,"87,105.35",,,,"721,195.43",,,,"409,415.61",,"2,615.19",,,,,,"51,076.40",,"7,349.51","7,349.51","28,373.17",,"224,326.80","234,694.02",,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"1,952,524.30","726,100.53","623,673.40","225,849.35","-155,235.71","-3,857,930.03","-7,224,947.01","-2,364,548.76","-5,348,194.88","-6,754,849.58","-8,622,343.46","-785,882.23","-2,237,724.28","-3,454,270.61","-5,272,051.05","-1,063,907.35","-1,689,642.76","-2,697,131.38","-3,205,296.67","-273,970.46","-845,880.18","-2,139,703.67","-2,909,751.24","-236,783.02","-1,068,181.22","-1,460,881.44","-2,583,753.79","-192,148.92","-391,891.09","-654,138.25","5,014,758.97","8,397,900.16","14,674,238.49"
