科目,2011年度,2012年度,2013年度,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"3,442,405,682.54","3,775,518,359.82","3,816,859,707.02","3,159,591,431.38","4,593,490,212.13","969,367,457.58","2,139,890,391.44","3,553,381,783.11","4,954,265,913.41","1,867,637,535.64","2,938,038,214.59","4,219,544,056.11","5,922,484,547.19","1,421,940,828.94","2,919,538,483.06","4,322,516,524.60","5,899,425,093.53","1,837,894,334.36"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,"89,729.33","61,100.00","6,260,003.13","6,260,003.13","6,260,003.13",,,,,
收到的税费返还,"132,753,158.33","102,326,563.36","243,561,872.52","219,129,441.79","262,879,692.43","51,179,486.37","146,293,562.29","235,199,463.04","281,000,177.72","127,361,590.75","220,288,440.15","312,628,717.79","416,937,320.44","93,384,087.94","167,058,009.88","283,382,383.35","378,208,723.92","136,395,119.84"
支付其他与投资活动有关的现金,"300,000.00",,,,,,,,,,,,,,,"4,092,620.00",,
收到其他与经营活动有关的现金,"16,694,586.30","30,805,863.26","43,268,608.61","25,254,798.92","39,281,086.46","11,171,503.83","22,584,656.73","35,887,166.30","57,035,805.17","11,132,359.97","22,452,908.98","37,546,268.40","59,194,641.71","69,192,552.99","102,971,403.51","214,218,412.18","144,663,602.89","23,648,827.27"
投资活动现金流出小计,"171,222,226.01","267,413,074.54","191,436,876.57","144,983,433.89","191,649,812.79","86,841,025.47","2,645,281,720.63","3,481,522,957.62","4,868,928,187.50","758,630,646.32","2,061,186,343.40","3,501,978,608.66","5,859,942,543.17","555,883,040.66","2,533,026,407.93","3,513,345,189.55","5,427,702,966.23","1,077,668,722.83"
经营活动现金流入小计,"3,591,853,427.17","3,908,650,786.44","4,103,690,188.15","3,403,975,672.09","4,895,650,991.02","1,031,718,447.78","2,308,768,610.46","3,824,468,412.45","5,292,301,896.30","2,006,131,486.36","3,180,779,563.72","4,569,719,042.30","6,398,616,509.34","1,584,517,469.87","3,189,567,896.45","4,820,117,320.13","6,422,297,420.34","1,997,938,281.47"
投资活动产生的现金流量净额,"-170,977,786.01","-265,899,674.55","-190,529,139.42","-144,151,829.72","-190,178,435.13","-86,768,025.47","-718,569,718.73","-469,686,685.50","-520,181,686.60","-211,585,516.33","-1,310,912,882.13","-1,445,644,861.05","-1,926,177,218.39","187,725,657.98","-22,296,132.09","-216,864,303.89","194,226,063.36","-183,531,433.92"
购买商品、接受劳务支付的现金,"2,533,200,360.04","3,036,338,916.55","3,029,373,978.48","2,508,140,114.97","3,603,393,512.94","1,055,830,118.48","2,055,179,354.06","3,161,181,102.19","4,268,478,736.09","1,336,733,862.54","2,284,758,552.98","3,143,224,345.02","4,322,396,838.94","1,115,220,896.28","2,255,594,536.19","3,496,118,438.04","4,898,146,680.90","1,510,971,557.97"
吸收投资收到的现金,"275,968,131.00",,,,,"846,242,000.00","846,242,000.00","846,242,000.00","1,004,404,840.00",,"1,562,386,631.74","1,562,386,631.74","1,577,185,871.74",,,"2,000,000.00","2,000,000.00",
支付给职工以及为职工支付的现金,"383,307,336.90","531,458,653.35","620,213,554.86","507,452,112.64","668,857,451.36","218,088,131.75","391,156,267.92","565,229,378.64","763,744,333.12","224,835,423.58","391,628,061.35","566,518,793.61","749,900,412.41","217,529,723.08","401,930,313.67","602,406,743.88","830,665,240.61","215,773,350.57"
取得借款收到的现金,"1,889,069,296.81","1,077,820,214.86","1,249,288,487.58","1,339,149,037.61","1,458,856,589.11","710,076,348.25","1,066,340,589.23","1,676,409,436.12","1,841,509,948.85","196,358,589.02","776,790,539.12","1,128,873,536.18","1,222,682,933.21","309,901,404.99","565,792,081.64","935,053,702.04","1,389,412,891.03","356,607,800.30"
支付的各项税费,"33,415,581.68","80,870,500.48","117,891,676.69","61,346,554.83","94,996,034.63","22,203,387.22","54,167,501.91","95,910,142.33","129,935,374.78","34,486,354.83","80,102,650.68","113,563,661.54","152,758,242.61","33,813,438.99","72,112,434.68","98,135,405.11","125,043,813.45","16,307,329.89"
收到其他与筹资活动有关的现金,"503,699,291.63","157,900,106.80","49,569,844.85","10,149,294.04","11,076,248.44","17,370,940.60","24,076,226.14","37,597,340.25","35,729,076.52",,"2,214,240.00","2,214,240.00","3,834,329.05","259,378,551.73","574,461,341.66","1,026,520,025.27","1,031,944,508.66","68,798,623.51"
支付其他与经营活动有关的现金,"168,498,700.85","196,828,118.87","198,269,599.73","157,484,400.59","216,044,147.06","54,706,404.01","112,025,913.53","180,159,593.60","234,935,427.73","71,670,064.43","120,316,091.83","202,647,067.82","279,513,250.23","98,249,945.38","227,564,811.47","391,778,463.49","364,229,684.94","95,557,669.76"
