科目,2010年度,2011年度,2012年度,2013年1-6月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"1,210,808,166.91","1,773,569,392.52","2,329,503,376.07","1,080,942,594.07","2,328,222,566.57","620,901,431.12","1,185,628,632.26","1,706,969,245.89","2,599,484,917.12","560,417,593.16","1,201,052,008.25","1,695,381,416.66","2,432,871,385.44","489,328,313.56","1,049,054,098.11","1,602,267,909.57","2,213,014,112.59","511,596,559.48","1,080,398,465.46","1,550,151,967.60","2,230,011,909.33","554,318,258.32","1,129,498,723.70","1,741,621,963.19","2,508,507,478.67","568,714,261.23"
取得子公司及其他营业单位支付的现金净额,"38,384.00","140,361,853.12","35,742,300.00",,,,,,,,,,"16,295,692.57",,,,,,,,"691,072.40",,,,,
收到的税费返还,"41,082,047.04","98,211,849.97","97,553,802.06","33,197,550.45","67,387,851.81","15,330,543.42","41,054,879.78","64,682,452.78","71,380,232.16","28,718,411.96","55,224,765.15","61,634,656.41","90,621,363.09","30,471,575.19","56,449,834.34","82,486,156.80","102,003,342.82","19,408,919.91","59,395,048.52","81,957,567.50","93,581,061.86","34,737,962.04","55,031,644.39","77,158,515.04","104,071,618.81","24,677,252.10"
支付其他与投资活动有关的现金,,"2,646,378.00",,,,,"500,000,000.00","500,000,000.00",,,,,"7,904,838.18",,"20,000,000.00","50,000,000.00","50,000,000.00",,,"542,550.00",,,,,,"293,324.87"
收到其他与经营活动有关的现金,"4,181,027.90","8,284,107.84","20,153,128.18","11,288,428.95","28,230,450.67","28,341,778.79","24,994,306.79","45,869,195.63","24,523,518.78","28,054,748.56","54,439,280.24","107,082,190.78","71,762,301.83","24,726,403.22","48,361,474.87","83,249,924.71","33,288,208.27","28,859,802.10","57,885,543.07","88,152,328.17","27,883,768.51","32,545,718.63","58,586,142.96","85,272,648.61","38,390,839.93","80,900,183.66"
投资活动现金流出小计,"36,770,077.95","218,257,033.90","96,430,703.95","43,561,159.43","135,237,464.46","15,149,205.58","552,505,510.69","580,721,500.65","3,970,847,157.67","440,885,550.91","1,278,707,336.49","1,804,645,660.03","2,241,945,703.50","536,430,610.17","700,317,987.88","1,416,235,703.27","1,652,304,581.06","495,326,183.62","712,026,790.80","1,412,794,861.00","1,919,419,125.33","375,605,556.49","859,239,761.98","1,359,061,004.56","2,017,634,138.42","431,302,710.80"
经营活动现金流入小计,"1,256,071,241.85","1,880,065,350.33","2,447,210,306.31","1,125,428,573.47","2,423,840,869.05","664,573,753.33","1,251,677,818.83","1,817,520,894.30","2,695,388,668.06","617,190,753.68","1,310,716,053.64","1,864,098,263.85","2,595,255,050.36","544,526,291.97","1,153,865,407.32","1,768,003,991.08","2,348,305,663.68","559,865,281.49","1,197,679,057.05","1,720,261,863.27","2,351,476,739.70","621,601,938.99","1,243,116,511.05","1,904,053,126.84","2,650,969,937.41","674,291,696.99"
投资活动产生的现金流量净额,"382,794.21","-213,241,006.62","-94,123,355.15","-38,207,742.12","-96,419,250.86","-15,145,042.78","-517,411,163.09","-545,623,353.05","-961,602,004.66","-110,642,804.89","-72,462,468.18","177,032,521.25","227,403,614.42","-30,294,501.86","-42,989,873.86","-100,540,511.60","-142,423,280.98","-38,482,527.09","-17,642,078.49","-345,399,544.55","-325,182,856.80","121,092,017.84","93,269,276.61","-45,878,112.67","-114,255,050.49","169,983,081.82"
购买商品、接受劳务支付的现金,"876,568,413.75","1,277,097,581.29","1,352,973,419.23","695,748,804.74","1,303,331,928.57","282,457,999.99","638,664,073.79","1,001,687,331.24","1,374,907,770.43","174,759,206.29","647,002,225.12","899,307,163.56","1,408,488,400.46","281,955,137.08","503,794,733.12","795,283,119.64","1,273,232,389.21","287,732,152.99","584,969,052.71","856,737,850.99","1,332,965,662.75","253,235,116.75","630,731,860.66","1,073,744,244.52","1,441,626,762.90","417,274,098.74"
吸收投资收到的现金,"95,652.20",,"676,558.88","680,226.06","680,226.06","851,607,137.60","851,595,000.00","851,595,000.00","839,195,910.63",,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金,"165,103,307.73","234,424,799.97","289,458,422.08","158,507,696.23","317,552,413.59","98,735,754.71","176,990,324.68","274,796,635.29","381,138,756.98","114,930,826.92","216,842,245.51","310,433,224.32","433,355,111.17","113,871,597.26","212,069,317.13","313,678,358.06","439,419,626.02","110,416,777.65","206,479,807.29","307,093,019.53","433,749,090.40","117,701,889.86","236,000,040.23","349,198,504.33","475,182,216.23","141,041,311.25"
取得借款收到的现金,"613,927,905.59","1,442,640,563.54","1,870,151,387.30","858,716,335.70","1,535,487,900.00","265,142,745.50","779,810,095.50","1,388,447,365.50","1,826,909,655.00","347,121,050.00","548,206,390.00","1,114,162,570.00","1,208,647,540.00","269,691,246.12","725,496,400.00","725,496,400.00","1,210,231,083.63","263,112,400.00","688,049,100.00","1,137,252,200.00","1,283,174,500.00","493,804,400.00","685,198,800.00","1,237,678,400.00","1,397,462,000.00","317,585,700.00"
支付的各项税费,"73,764,494.78","96,366,903.63","149,105,717.40","80,527,654.43","168,618,845.69","41,558,534.27","127,193,399.39","174,607,308.40","224,441,312.98","53,733,028.12","112,337,380.56","184,562,203.41","198,955,603.57","39,455,119.42","98,407,106.11","141,515,217.24","180,659,433.10","29,382,238.92","63,987,336.55","108,685,368.81","122,062,915.08","46,549,911.64","85,361,520.68","123,287,667.37","138,379,029.17","44,545,560.43"
收到其他与筹资活动有关的现金,"17,002,700.00","6,000,000.00",,"170,086,510.70","163,423,000.00","48,417,127.10",,,,,,,,,,,,,,,,,"15,600,000.00","15,600,000.00",,
支付其他与经营活动有关的现金,"168,823,293.95","216,921,509.81","213,002,001.63","108,787,288.40","222,368,574.57","78,435,929.58","133,415,507.74","143,335,777.40","288,454,810.92","106,545,073.98","175,634,612.02","307,395,791.89","272,284,463.24","94,509,955.48","192,219,293.48","290,212,414.51","181,899,150.91","86,508,102.69","169,511,722.58","246,208,007.81","166,741,281.32","126,044,045.40","192,192,300.65","255,039,408.70","261,087,533.86","124,568,117.59"
筹资活动现金流入小计,"631,026,257.79","1,448,640,563.54","1,870,827,946.18","1,029,483,072.46","1,699,591,126.06","1,165,167,010.20","1,631,405,095.50","2,240,042,365.50","2,666,105,565.63","347,121,050.00","548,206,390.00","1,114,162,570.00","1,208,647,540.00","269,691,246.12","725,496,400.00","725,496,400.00","1,210,231,083.63","263,112,400.00","688,049,100.00","1,137,252,200.00","1,283,174,500.00","493,804,400.00","700,798,800.00","1,253,278,400.00","1,397,462,000.00","317,585,700.00"
