科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"41,056,818.88","99,028,199.89","90,221,420.33","92,353,154.44",,"319,902,598.40","266,281,933.31","110,018,320.62","46,238,832.34","149,303,384.48","179,916,893.22","187,481,514.46"
短期借款,,,,,,,,"31,067,088.88","26,547,600.00","29,077,190.00","27,982,045.00","19,849,800.00"
交易性金融资产,"2,084,250.00","1,922,150.00",,,,,,,,"934,600.00","1,335,100.00",
交易性金融负债,,,,,,,,,,,,"3,443,450.00"
应收票据,,,,,,,,,,,"30,000.00","30,000.00"
应付票据,,,,,,,,,,"92,854,607.65","143,114,159.04","129,729,607.39"
应收账款,"48,136,285.51","49,727,863.85","72,686,254.51","86,385,813.72",,"89,176,337.22","75,484,516.58","92,514,159.13","106,033,545.90","133,467,262.63","88,584,733.36","114,747,908.31"
应付账款,"70,082,957.05","65,162,429.16","77,952,271.87","95,669,860.92",,"97,370,914.43","91,687,434.37","114,790,064.77","129,947,629.96","62,877,100.89","48,078,220.01","71,615,502.17"
预付款项,"5,300,863.38","6,306,995.43","10,032,662.07","8,803,052.46",,"4,901,709.14","22,708,004.16","9,725,321.09","7,494,914.27","10,053,516.50","12,700,377.74","14,304,547.28"
预收款项,"4,435,657.99","10,431,205.08","4,960,112.34","6,466,361.73",,"10,618,764.04","16,730,091.34","16,467,199.01","17,203,542.57","16,020,610.36","23,105,466.68","20,514,065.16"
其他应收款,"5,823,550.28","8,060,704.06","8,934,949.60","12,022,531.17",,"12,483,432.34","7,056,352.68","8,646,780.35","12,667,776.91","10,964,899.03","12,688,590.16","7,218,248.92"
应付职工薪酬,"10,256,982.48","18,412,468.15","20,012,595.12","19,511,560.20",,"26,266,790.00","13,733,553.11","17,305,949.83","13,911,359.59","14,215,683.81","9,613,554.02","10,684,895.84"
应收关联公司款,,,,,,,,,,,,
应交税费,"9,902,877.31","4,974,814.48","10,372,585.74","9,216,095.71",,"12,159,095.65","8,631,517.70","3,775,222.81","6,917,026.62","8,691,710.85","4,489,016.18","4,391,371.31"
