科目,2010-12-31,2011-12-31,2012-12-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"53,684,178.21","41,537,518.26","58,860,367.57","36,115,210.14","27,479,952.87","43,804,121.69","421,173,388.80","164,193,283.03","154,094,405.15","219,112,057.26","349,843,975.40","180,610,756.98","177,672,775.79","217,557,649.71","611,706,174.88","333,253,110.15","116,431,827.31","196,066,195.32","203,549,578.71","213,865,854.06","142,333,791.46","125,504,172.51","240,660,185.66","198,251,403.31"
短期借款,,"69,975,964.12","30,826,078.50","15,103,350.00","40,665,091.71","50,509,050.91","34,800,000.00",,,,,,"12,508,509.49",,,,,,,,,,,
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"34,781,859.04","132,061,720.28","148,124,285.06","132,088,986.97","146,565,021.08","166,183,955.92","133,266,050.62","155,205,253.92","211,978,304.85","193,336,875.10","186,237,941.68","173,723,494.57","185,611,147.92","202,694,264.34","208,032,559.87","240,736,284.31","276,411,146.15","244,727,212.35","233,269,807.52","291,878,440.94","299,068,288.22","273,283,917.80","230,901,351.28","277,508,492.29"
应付票据,,,,,,,,,,,,,,,,,,,,,,,,
应收账款,"58,227,573.16","55,719,900.69","68,711,283.29","63,791,253.20","78,937,710.40","77,310,364.91","100,181,560.76","116,909,230.34","98,316,296.69","94,099,832.10","98,407,199.23","108,578,383.89","105,173,788.05","80,321,703.21","93,390,505.88","97,523,726.29","108,274,811.39","78,454,462.53","80,658,880.67","113,946,934.17","102,346,342.68","104,618,311.82","109,340,006.90","146,819,739.01"
应付账款,"73,336,330.70","93,726,648.93","120,611,284.08","137,257,284.97","134,255,262.73","124,944,992.43","123,892,586.65","165,739,947.86","172,006,638.27","130,121,406.09","137,596,010.87","206,034,588.59","195,129,374.63","200,507,764.28","214,398,418.08","234,555,815.02","233,400,483.11","238,983,752.72","216,484,803.87","337,416,903.56","260,801,908.86","209,805,105.35","244,032,768.88","279,618,723.21"
预付款项,"16,490,052.25","11,282,167.54","14,554,058.45","57,947,249.04","37,227,970.61","23,735,081.44","17,640,667.66","17,550,332.62","1,065,139.91","1,268,044.44","822,272.51","1,415,559.93","527,952.71","1,268,047.43","2,667,685.22","1,272,707.63","2,370,224.76","1,007,810.18","3,174,863.04","2,128,032.04","2,061,634.21","827,872.11","1,637,500.43","2,106,618.62"
预收款项,"8,642,120.86","16,770,006.67","14,194,378.83","6,042,580.33","7,959,676.45","8,907,527.13","18,107,998.83","9,332,242.75","9,164,426.30","8,611,094.55","14,070,044.10","10,582,307.45","11,833,166.89","13,631,745.11","23,521,509.32","22,098,820.58","17,803,575.41","19,834,804.31","27,421,929.96","46,521,825.03","33,078,242.16","19,196,694.24","27,786,697.31","22,205,392.22"
其他应收款,"3,628,524.83","4,564,845.83","3,626,657.73","3,274,633.25","3,462,079.70","2,359,352.05","5,911,334.81","4,839,682.63","5,451,413.26","3,823,601.82","6,498,787.88","5,335,466.14","7,124,405.61","3,304,294.26","6,708,728.66","7,998,840.23","8,010,508.70","3,934,341.52","8,100,387.07","7,705,911.51","8,454,709.15","5,602,699.14","10,106,407.27","29,093,367.30"
应付职工薪酬,"11,258,705.61","12,771,597.75","13,784,215.66","12,615,984.72","14,900,141.67","11,738,667.31","18,700,970.10","17,210,493.52","23,055,511.70","28,323,120.44","18,562,571.16","29,540,777.68","34,291,788.86","35,452,233.28","26,953,137.73","38,864,374.12","44,020,745.69","47,835,733.84","39,584,900.89","53,826,751.29","55,127,353.53","54,937,777.18","46,092,748.96","50,757,139.45"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"7,857,267.67","13,222,293.63","15,174,852.70","9,248,720.02","9,985,759.60","8,050,531.53","7,969,815.23","10,068,034.21","13,599,389.86","14,236,016.08","14,152,843.13","16,769,976.84","19,051,851.60","8,354,616.07","16,905,908.86","22,944,725.82","20,758,742.12","12,512,685.65","22,767,754.03","31,009,528.15","23,731,504.51","11,316,834.18","22,241,769.85","38,438,568.72"
应收利息,,,,,,,,"1,342,182.22","2,724,073.32","428,721.28","97,106.04","1,727,699.99","3,395,550.01","657,575.01","870,125.58","1,637,083.34","5,997,332.59","4,268,562.04","4,638,698.68","5,202,397.27","6,470,424.68","6,773,041.12","7,850,698.63","4,614,655.31"
应付利息,,"248,391.07","30,340.69","7,777.77","13,999.98","60,292.55","60,821.43",,,,,,,,,,,,,,,,,
应收股利,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,"770,402.50","770,402.50","770,402.50","460,244.50","1,491,924.50","1,491,924.50","735,618.75","735,618.75","1,549,202.75","1,549,202.75","100,587.50",,"1,675,375.00"
存货,"48,240,026.02","67,662,218.78","71,807,692.81","95,742,494.65","96,202,079.26","98,607,992.73","115,735,169.58","121,032,240.15","126,756,510.26","108,028,887.49","119,650,603.60","149,522,908.10","164,838,106.52","158,611,979.66","180,879,132.86","154,139,340.39","149,414,670.48","153,636,561.17","166,382,371.52","205,984,911.76","197,133,539.91","188,696,937.24","226,226,431.48","211,013,053.66"
其他应付款,"666,729.57","646,901.77","1,542,922.86","1,632,715.62","3,468,700.44","2,695,279.56","3,955,186.11","3,599,417.78","2,026,065.05","1,710,705.28","1,468,413.77","2,748,557.41","2,777,299.81","33,924,171.97","32,682,026.86","33,842,297.61","41,441,884.29","17,930,094.95","19,738,084.98","18,280,246.34","19,185,858.63","43,124,945.13","44,814,620.88","45,019,164.37"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,,,,,,,,,,
其他流动资产,,,,,,,,"160,000,000.00","160,000,000.00","140,000,000.00",,"180,000,000.00","180,000,000.00","90,000,000.00","150,000,000.00","400,000,000.00","630,000,000.00","630,887,612.74","610,522,431.64","600,568,534.61","651,670,256.73","672,633,374.70","593,001,171.75","534,057,033.74"
其他流动负债,,,,,,,,,,"40,408,480.00","40,408,480.00","40,408,480.00","40,408,480.00",,,,,,,,,,,
流动资产合计,"215,052,213.51","312,828,371.38","365,684,344.91","388,959,827.25","389,874,813.92","412,000,868.74","793,908,172.23","741,072,204.91","760,386,143.44","760,098,019.49","761,557,886.34","800,914,269.60","824,343,726.61","754,415,513.62","1,254,254,912.95","1,236,561,092.34","1,296,910,521.38","1,312,982,757.85","1,310,297,018.85","1,441,281,016.36","1,409,538,987.04","1,377,940,326.44","1,419,723,753.40","1,403,464,363.24"
流动负债合计,"101,761,154.41","207,361,803.94","196,164,073.32","181,908,413.43","211,248,632.58","206,906,341.42","207,487,378.35","205,950,136.12","219,852,031.18","223,410,822.44","226,258,363.03","306,855,090.47","316,770,873.78","292,640,933.21","314,921,245.35","353,797,957.65","358,917,355.12","337,832,690.22","326,733,092.48","488,604,457.12","393,474,070.44","338,481,943.58","384,968,605.88","437,714,362.97"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,,,,
长期借款,,,,,,,,,,,,,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,,,,,,,
长期股权投资,,,,,,,,,"2,100,000.00","1,841,049.33","1,841,049.33","1,416,886.82","2,816,886.82","2,197,874.75","2,197,874.75","1,667,565.79","1,667,565.79","3,691,875.48","3,691,875.48","3,440,856.76",,,,
专项应付款,,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,"42,194,025.12","41,499,248.74","40,804,472.36","40,109,695.98","39,414,919.60","38,720,143.22","38,025,366.84"
