科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"349,861,493.35","407,721,506.66","571,545,441.13","135,176,750.32","279,561,209.57","430,335,001.03","608,573,681.13","161,302,236.31","383,658,070.57","581,778,037.80","813,484,819.21","226,664,973.70","511,969,698.73","794,185,763.74","1,149,730,176.65","342,271,684.56"
取得子公司及其他营业单位支付的现金净额,"1,673,520.54","897,070.00","500,000.00",,,,,,,"4,877,690.48","12,101,190.48",,,,"28,879,734.32",
收到的税费返还,,"139,999.96","90,032.17","149,774.70","220,054.52","220,054.52","333,269.98","51,066.06","51,066.06","51,066.06","217,086.02","59,122.97","110,981.37","264,574.67","381,111.01","61,466.06"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"19,336,681.42","30,990,132.99","18,190,936.90","4,862,453.36","8,202,351.45","15,103,820.07","17,808,660.35","8,974,643.02","23,301,517.36","29,327,774.52","43,001,933.97","8,986,501.47","35,299,804.47","56,851,831.84","40,642,676.88","14,234,951.40"
投资活动现金流出小计,"64,816,963.49","65,186,952.88","61,902,648.53","8,903,751.61","19,017,091.06","223,035,564.59","328,655,036.09","404,321,456.66","965,041,655.88","2,308,442,665.28","2,479,829,818.88","815,344,028.56","2,012,600,460.47","2,718,239,796.16","3,818,606,514.43","846,597,522.16"
经营活动现金流入小计,"369,198,174.77","438,851,639.61","589,826,410.20","140,188,978.38","287,983,615.54","445,658,875.62","626,715,611.46","170,327,945.39","407,010,653.99","611,156,878.38","856,703,839.20","235,710,598.14","547,380,484.57","851,302,170.25","1,190,753,964.54","356,568,102.02"
投资活动产生的现金流量净额,"-60,989,251.49","-65,123,018.88","-61,901,225.72","-8,903,241.61","-18,899,076.21","-222,915,564.59","-126,440,582.42","-303,573,511.45","45,002,864.69","-795,801,624.17","-59,334,901.83","390,500.88","-106,677,445.86","-190,044,732.48","-254,928,453.92","-37,682,002.19"
购买商品、接受劳务支付的现金,"47,528,772.28","52,123,454.48","64,895,019.23","23,022,367.17","44,283,146.68","70,229,699.60","83,859,822.70","15,506,479.48","33,648,144.77","59,109,634.86","90,864,836.08","31,882,053.53","63,459,005.34","116,175,611.24","162,925,345.14","55,574,143.57"
吸收投资收到的现金,,,,,,"429,600,000.00","420,561,582.18","138,856,640.00","138,856,640.00","138,856,640.00","138,856,640.00","16,550,000.00","16,550,000.00","16,550,000.00","40,614,000.00","2,256,000.00"
支付给职工以及为职工支付的现金,"62,774,501.65","79,973,791.51","109,282,979.37","33,631,480.95","70,040,669.19","99,697,603.64","133,683,550.72","31,847,341.81","71,659,340.61","116,202,386.55","154,203,125.26","55,032,699.24","111,621,982.61","171,743,204.25","226,237,411.71","76,616,098.06"
取得借款收到的现金,,,,,,,,,,,,,,,,
支付的各项税费,"69,951,549.94","93,018,306.37","112,032,331.19","34,039,053.53","67,088,271.41","97,719,079.16","124,626,371.82","39,641,226.33","80,489,057.25","122,736,535.40","168,830,911.92","48,577,758.47","104,151,967.04","162,808,149.67","223,644,902.40","57,920,118.19"
收到其他与筹资活动有关的现金,,,,,,,,,,,"1,317,491.08",,,,,
支付其他与经营活动有关的现金,"55,617,538.82","76,381,870.87","98,437,968.53","25,359,266.32","49,750,036.54","85,078,067.53","105,910,408.93","32,920,799.89","60,364,349.67","106,087,900.78","138,709,377.01","46,351,045.11","94,671,154.39","176,269,840.92","193,869,519.15","73,795,367.39"
筹资活动现金流入小计,,,,,,"429,600,000.00","420,561,582.18","138,856,640.00","138,856,640.00","138,856,640.00","140,174,131.08","16,550,000.00","16,550,000.00","16,550,000.00","40,614,000.00","2,256,000.00"
经营活动现金流出小计,"235,872,362.69","301,497,423.23","384,648,298.32","116,052,167.97","231,162,123.82","352,724,449.93","448,080,154.17","119,915,847.51","246,160,892.30","404,136,457.59","552,608,250.27","181,843,556.35","373,904,109.38","626,996,806.08","806,677,178.40","263,905,727.21"
偿还债务支付的现金,,,,,,,,,,,,,,,,
经营活动产生的现金流量净额,"133,325,812.08","137,354,216.38","205,178,111.88","24,136,810.41","56,821,491.72","92,934,425.69","178,635,457.29","50,412,097.88","160,849,761.69","207,020,420.79","304,095,588.93","53,867,041.79","173,476,375.19","224,305,364.17","384,076,786.14","92,662,374.81"
分配股利、利润或偿还利息支付的现金,"37,500,000.00","87,750,000.00","88,800,000.00",,,,,,"76,361,339.84","76,364,939.84","83,320,800.00",,"125,777,882.75","125,777,882.75","146,155,100.00",
收回投资收到的现金,,,,,,,"200,000,000.00","100,000,000.00","1,000,000,000.00","1,500,000,000.00","2,390,000,000.00","806,000,000.00","1,885,000,000.00","2,497,000,000.00","3,525,000,000.00","800,000,000.00"
支付其他与筹资活动有关的现金,,,,,,"7,492,497.70",,,,"539,280.00","539,280.00",,"8,428,521.60","8,428,521.60","8,967,801.60",
取得投资收益收到的现金,,,,,,,"2,038,538.82","747,945.21","10,044,520.57","12,639,041.11","30,424,569.80","9,734,529.44","20,923,014.61","31,157,217.74","38,677,680.51","8,915,519.97"
筹资活动现金流出小计,"37,500,000.00","87,750,000.00","88,800,000.00",,,"7,492,497.70",,,"76,361,339.84","76,904,219.84","83,860,080.00",,"134,206,404.35","134,206,404.35","155,122,901.60",
处置固定资产、无形资产和其他长期资产收回的现金净额,"3,960.00","63,934.00","1,422.81",510.00,"118,014.85","120,000.00","175,914.85",,,"2,000.00","70,347.25",,,"21,200.00",380.00,
筹资活动产生的现金流量净额,"-37,500,000.00","-87,750,000.00","-88,800,000.00",,,"422,107,502.30","420,561,582.18","138,856,640.00","62,495,300.16","61,952,420.16","56,314,051.08","16,550,000.00","-117,656,404.35","-117,656,404.35","-114,508,901.60","2,256,000.00"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,-30.15,0.03,0.50,-0.05,0.21,,0.55,,,,192.58,,,"2,204.31","4,156.13","7,722.89"
收到其他与投资活动有关的现金,"3,823,752.00",,,,,,,,,,,,,"16,645.94",,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,
投资活动现金流入小计,"3,827,712.00","63,934.00","1,422.81",510.00,"118,014.85","120,000.00","202,214,453.67","100,747,945.21","1,010,044,520.57","1,512,641,041.11","2,420,494,917.05","815,734,529.44","1,905,923,014.61","2,528,195,063.68","3,563,678,060.51","808,915,519.97"
五、现金及现金等价物净增加额,"34,836,530.44","-15,518,802.47","54,476,886.66","15,233,568.75","37,922,415.72","292,126,363.40","472,756,457.60","-114,304,773.57","268,347,926.54","-526,828,783.22","301,074,930.76","70,807,542.67","-50,857,475.02","-83,393,568.35","14,643,586.75","57,244,095.51"
购建固定资产、无形资产和其他长期资产支付的现金,"63,143,442.95","64,289,882.88","61,402,648.53","8,903,751.61","19,017,091.06","23,035,564.59","28,655,036.09","4,318,706.66","58,201,655.88","113,564,974.80","177,728,628.40","9,322,153.56","36,400,460.47","130,039,796.16","173,526,780.11","43,623,322.16"
期初现金及现金等价物余额,"213,532,544.63","248,369,075.07","232,850,272.60","287,327,159.26","287,327,159.26","287,327,159.26","287,327,159.26","660,083,616.86","760,083,616.86","760,083,616.86","760,083,616.86","1,061,158,547.62","1,061,158,547.62","1,061,158,547.62","1,061,158,547.62","1,080,802,134.37"
投资支付的现金,,,,,,"200,000,000.00","300,000,000.00","400,002,750.00","906,840,000.00","2,190,000,000.00","2,290,000,000.00","806,021,875.00","1,976,200,000.00","2,588,200,000.00","3,616,200,000.00","802,974,200.00"
期末现金及现金等价物余额,"248,369,075.07","232,850,272.60","287,327,159.26","302,560,728.01","325,249,574.98","579,453,522.66","760,083,616.86","545,778,843.29","1,028,431,543.40","233,254,833.64","1,061,158,547.62","1,131,966,090.29","1,010,301,072.60","977,764,979.27","1,075,802,134.37","1,138,046,229.88"
