科目,2011年度,2012年度,2013年度,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"336,930,206.98","370,828,702.71","437,766,902.85","355,785,360.43","451,726,886.75","95,142,442.39","221,553,642.09","313,756,673.94","370,208,822.27","89,525,985.22","184,342,741.03","295,766,952.27","396,692,193.60","134,277,593.10","283,168,093.13","427,971,724.37","618,528,154.08","141,143,017.92","277,654,320.95"
取得子公司及其他营业单位支付的现金净额,"880,000.00",,,,,,,,,,,,,,,,,,
收到的税费返还,,,"2,351,919.33","3,964,547.33","3,964,547.33","4,220,474.16","4,572,332.84","4,572,332.84","4,571,332.84","1,517,614.37","1,517,614.37","3,003,927.74","5,181,974.93","3,678,427.81","8,020,480.96","8,879,077.47","16,893,625.44","5,358,159.53","5,359,260.81"
支付其他与投资活动有关的现金,,,,"67,810,000.00","159,810,000.00",,"428,760,000.00","734,210,000.00","1,140,251,890.75","375,520,000.00","908,670,000.00","1,370,270,000.00","724,880,000.00","181,500,000.00","380,500,000.00","509,074,000.00","90,574,000.00","53,000,000.00","314,000,000.00"
收到其他与经营活动有关的现金,"2,524,640.36","82,634,008.28","144,007,307.52","138,491,759.03","197,452,951.70","33,448,399.63","71,941,205.78","129,336,882.27","135,950,854.28","10,926,783.75","29,664,490.94","91,202,115.45","110,523,988.07","23,956,325.94","72,788,512.81","111,353,658.30","122,269,940.91","19,761,847.70","47,976,903.37"
投资活动现金流出小计,"10,435,941.05","3,896,075.62","6,695,183.24","69,241,469.80","161,560,259.15","470,498.09","429,482,048.09","735,320,748.09","1,158,344,148.98","375,969,666.75","909,260,706.75","1,371,537,431.95","732,257,069.43","182,952,174.00","383,088,940.60","513,181,596.90","102,571,910.99","54,564,227.00","318,843,767.00"
经营活动现金流入小计,"339,454,847.34","453,462,710.99","584,126,129.70","498,241,666.79","653,144,385.78","132,811,316.18","298,067,180.71","447,665,889.05","510,731,009.39","101,970,383.34","215,524,846.34","389,972,995.46","512,398,156.60","161,912,346.85","363,977,086.90","548,204,460.14","757,691,720.43","166,263,025.15","330,990,485.13"
投资活动产生的现金流量净额,"-10,435,941.05","-3,731,883.80","-6,695,183.24","-30,858,303.69","-11,530,676.69","-470,498.09","-205,493,289.47","-176,869,716.44","-175,862,385.66","62,013,933.01","20,856,606.73","89,022,664.42","81,950,394.48","43,021,185.60","14,141,520.36","16,223,965.47","37,290,125.19","-29,959,461.24","4,638,396.02"
购买商品、接受劳务支付的现金,"217,972,721.66","331,610,486.95","341,057,883.91","278,210,906.80","376,716,825.34","80,518,293.25","176,049,494.59","308,580,741.09","301,023,357.77","15,025,461.23","56,573,852.89","186,713,636.08","305,141,238.38","114,671,070.03","261,123,327.79","415,042,958.08","482,388,126.07","100,335,713.29","230,421,558.25"
吸收投资收到的现金,"80,045,760.00",,,,,"237,600,000.00","237,600,000.00","237,600,000.00","225,832,224.06",,,,,,,,,,
支付给职工以及为职工支付的现金,"11,980,902.80","12,451,612.23","15,722,363.99","14,437,759.71","18,939,651.27","6,623,708.71","13,369,142.15","19,886,890.71","23,324,244.84","7,146,204.37","13,047,830.25","20,618,844.51","26,056,273.91","8,332,297.73","13,042,920.22","20,405,762.43","26,119,706.25","9,882,225.21","16,200,866.98"
取得借款收到的现金,"101,649,849.72","240,841,636.24","135,847,955.57","35,000,000.00","90,000,000.00",,,"10,000,000.00","10,000,000.00",,,,,,,,,,
支付的各项税费,"20,645,457.83","18,314,779.72","12,113,521.07","12,941,291.55","15,803,166.27","1,784,002.75","13,882,759.85","20,409,630.47","22,265,700.84","6,567,965.84","15,330,649.89","18,915,274.26","19,599,944.18","5,626,803.48","13,232,774.47","18,173,297.12","18,265,024.45","7,427,748.61","15,151,996.43"
收到其他与筹资活动有关的现金,"26,152,640.56",,"3,000,000.00",,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"77,158,740.44","70,794,929.89","178,367,377.53","183,244,522.32","214,838,848.10","42,906,128.69","93,443,371.21","106,921,190.51","113,414,396.79","37,382,564.09","50,789,312.73","148,446,024.46","189,607,007.44","41,424,381.17","56,813,686.10","99,135,289.52","126,388,463.73","27,654,951.74","42,335,887.30"
筹资活动现金流入小计,"207,848,250.28","240,841,636.24","138,847,955.57","35,000,000.00","90,000,000.00","237,600,000.00","237,600,000.00","247,600,000.00","235,832,224.06",,,,,,,,,,
经营活动现金流出小计,"327,757,822.73","433,171,808.79","547,261,146.50","488,834,480.38","626,298,490.98","131,832,133.40","296,744,767.80","455,798,452.78","460,027,700.24","66,122,195.53","135,741,645.76","374,693,779.31","540,404,463.91","170,054,552.41","344,212,708.58","552,757,307.15","653,161,320.50","145,300,638.85","304,110,308.96"
偿还债务支付的现金,"104,306,146.85","202,632,841.53","176,706,600.00","35,000,000.00","75,000,000.00","30,000,000.00","65,000,000.00","75,000,000.00","75,000,000.00",,,,,,,,,,
经营活动产生的现金流量净额,"11,697,024.61","20,290,902.20","36,864,983.20","9,407,186.41","26,845,894.80","979,182.78","1,322,412.91","-8,132,563.73","50,703,309.15","35,848,187.81","79,783,200.58","15,279,216.15","-28,006,307.31","-8,142,205.56","19,764,378.32","-4,552,847.01","104,530,399.93","20,962,386.30","26,880,176.17"
分配股利、利润或偿还利息支付的现金,"5,004,441.34","6,196,705.47","5,538,579.99","2,644,484.15","3,350,222.30","553,666.71","688,311.70","11,123,542.26","11,909,867.26",,"37,972,108.00","37,972,108.00","40,000,000.00",,"48,000,000.00","48,000,000.00","48,000,000.00",,"71,337,814.20"
收回投资收到的现金,,,,,"161,291.19",,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,"91,560,000.00","5,307,545.06",,"1,282,000.00","1,582,000.00",,"93,199.99","93,199.99",,,,,,,,,,"14,551,312.18","30,153,009.41"
取得投资收益收到的现金,,,,"33,166.11","58,291.27",,"448,758.62","1,971,231.65","3,196,532.57","1,447,599.76","3,121,313.48","4,274,096.37","3,260,492.54","473,359.60","588,888.40","1,049,189.81","788,036.18","92,765.76","2,946,763.02"
筹资活动现金流出小计,"200,870,588.19","214,137,092.06","182,245,179.99","38,926,484.15","79,932,222.30","30,553,666.71","65,781,511.69","86,216,742.25","86,909,867.26",,"37,972,108.00","37,972,108.00","40,000,000.00",,"48,000,000.00","48,000,000.00","48,000,000.00","14,551,312.18","101,490,823.61"
处置固定资产、无形资产和其他长期资产收回的现金净额,,"164,191.82",,,,,,"39,800.00","33,340.00","16,000.00","16,000.00","16,000.00","66,971.37",,,,,"12,000.00","35,400.00"
筹资活动产生的现金流量净额,"6,977,662.09","26,704,544.18","-43,397,224.42","-3,926,484.15","10,067,777.70","207,046,333.29","171,818,488.31","161,383,257.75","148,922,356.80",,"-37,972,108.00","-37,972,108.00","-40,000,000.00",,"-48,000,000.00","-48,000,000.00","-48,000,000.00","-14,551,312.18","-101,490,823.61"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-45,382.69","-121,423.25","-973,622.75","302,512.44","331,513.51","518,834.61","809,108.84","1,401,803.11","1,558,643.76","-226,070.91","264,002.89","250,497.50","1,095,462.14","415,247.45","-913,931.85","-1,712,020.72","-4,008,238.31","-4,451,884.47","-3,202,233.47"
收到其他与投资活动有关的现金,,,,"38,350,000.00","149,810,000.00",,"223,540,000.00","556,440,000.00","979,251,890.75","436,520,000.00","926,980,000.00","1,456,270,000.00","810,880,000.00","225,500,000.00","396,641,572.56","528,356,372.56","139,074,000.00","24,500,000.00","320,500,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,,"164,191.82",,"38,383,166.11","150,029,582.46",,"223,988,758.62","558,451,031.65","982,481,763.32","437,983,599.76","930,117,313.48","1,460,560,096.37","814,207,463.91","225,973,359.60","397,230,460.96","529,405,562.37","139,862,036.18","24,604,765.76","323,482,163.02"
五、现金及现金等价物净增加额,"8,193,362.96","43,142,139.33","-14,201,047.21","-25,075,088.99","25,714,509.32","208,073,852.59","-31,543,279.41","-22,217,219.31","25,321,924.05","97,636,049.91","62,931,702.20","66,580,270.07","15,039,549.31","35,294,227.49","-15,008,033.17","-38,040,902.26","89,812,286.81","-28,000,271.59","-73,174,484.89"
购建固定资产、无形资产和其他长期资产支付的现金,"9,555,941.05","3,896,075.62","6,695,183.24","1,431,469.80","1,750,259.15","470,498.09","722,048.09","1,110,748.09","18,092,258.23","449,666.75","590,706.75","1,267,431.95","7,377,069.43","1,452,174.00","2,588,940.60","4,107,596.90","11,997,910.99","1,564,227.00","4,843,767.00"
期初现金及现金等价物余额,"2,574,174.37","10,767,537.33","53,909,676.66","39,708,629.45","39,708,629.45","65,423,138.77","65,423,138.77","65,423,138.77","65,423,138.77","90,745,062.82","90,745,062.82","90,745,062.82","90,745,062.82","105,784,612.13","105,784,612.13","105,784,612.13","105,784,612.13","195,596,898.94","195,596,898.94"
投资支付的现金,,,,,,,,,,,,,,,,,,,
期末现金及现金等价物余额,"10,767,537.33","53,909,676.66","39,708,629.45","14,633,540.46","65,423,138.77","273,496,991.36","33,879,859.36","43,205,919.46","90,745,062.82","188,381,112.73","153,676,765.02","157,325,332.89","105,784,612.13","141,078,839.62","90,776,578.96","67,743,709.87","195,596,898.94","167,596,627.35","122,422,414.05"
