科目,2009-12-31,2010-12-31,2011-12-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"29,911,474.62","30,469,642.89","37,713,402.29","11,823,918.54","321,766,612.32","317,719,303.42","331,053,906.51","280,218,844.03","265,764,839.50","240,059,981.07","243,011,356.72","230,511,368.61","250,098,463.36","221,630,338.19","193,299,874.82","239,543,689.78","197,260,659.33","334,362,995.07","214,993,305.23","158,070,367.69","186,065,017.70","145,629,051.36","112,773,598.26","122,091,183.36","116,191,564.02","80,766,483.92","54,304,945.21","49,872,114.19"
短期借款,"16,980,000.00","70,665,600.00","109,965,580.00","140,342,400.00","90,000,000.00","125,000,000.00","140,000,000.00","140,000,000.00","155,000,000.00","145,000,000.00","145,000,000.00","135,000,000.00","130,000,000.00","130,000,000.00","130,000,000.00","140,000,000.00","140,000,000.00","140,000,000.00","140,000,000.00","160,000,000.00","170,000,000.00","192,606,116.00","168,348,719.56","143,000,000.00","193,500,000.00","139,000,000.00","119,000,000.00","105,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,"4,814,644.89","5,824,586.00","5,816,620.00",,"262,080.00",,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"15,580,244.20","33,948,338.76","53,699,115.80","27,791,660.80","30,419,390.65","21,315,970.80","12,149,610.00","12,116,314.00","34,169,110.68","71,798,511.59","40,614,700.00","10,556,401.50","20,905,000.00","33,539,703.16","17,480,681.00","17,883,089.13","11,021,012.93","6,689,200.00","1,790,000.00","27,111,286.35","16,928,883.60","38,915,392.60","35,035,612.69","24,175,387.20","35,090,622.00","29,935,185.67","31,760,847.46","33,745,842.55"
应付票据,"6,168,000.00",,,,,,,,,,,,"1,353,200.00","1,353,200.00","500,000.00","7,278,326.40","14,311,062.60","14,686,587.97","18,759,492.85","15,884,243.62","9,884,067.94","605,465.40","605,465.40","10,321,936.72","13,401,171.64","6,128,289.52","8,837,959.00","9,826,911.40"
应收账款,"39,223,655.33","56,451,907.24","113,140,167.61","176,794,248.91","188,990,972.66","213,048,494.11","239,005,499.12","252,807,648.75","240,572,466.99","176,981,396.16","195,378,739.41","205,173,650.86","202,433,460.22","177,537,389.48","190,137,206.91","179,391,776.92","234,763,061.07","232,088,422.66","272,092,525.55","291,606,078.68","263,843,329.80","244,130,768.09","257,172,739.23","220,915,723.06","312,358,789.50","150,352,299.66","139,479,965.35","141,691,317.28"
应付账款,"4,397,600.77","19,129,498.73","11,758,776.42","12,419,251.65","14,766,691.50","11,166,483.66","11,561,032.25","17,153,866.47","10,253,739.64","30,122,816.27","22,712,558.55","18,958,474.86","16,047,239.34","30,148,128.49","33,754,023.57","41,022,267.04","62,331,663.31","45,830,397.44","42,822,830.88","37,529,008.88","55,186,070.39","47,739,153.83","38,323,574.18","41,694,175.70","188,225,541.33","24,410,137.90","28,037,057.54","23,331,165.30"
预付款项,"2,757,007.45","1,598,218.88","6,433,363.03","22,947,661.73","15,426,309.29","10,499,451.75","14,063,888.04","20,004,975.10","35,603,327.24","21,634,548.83","20,407,846.95","21,321,892.70","11,511,839.76","4,800,164.37","4,489,825.65","12,645,712.25","18,167,708.97","11,131,668.51","53,375,393.06","65,528,177.50","59,638,290.55","14,577,434.93","26,238,971.25","17,982,285.17","23,721,629.37","14,368,713.80","3,880,956.13","8,296,915.90"
预收款项,"13,958.60","16,577.60","13,865.60","13,667.60","13,667.60","1,062,695.20","34,687.40","56,325.61","214,843.41","427,885.89","215,286.65","666,795.12","51,495,549.38","704,947.25","289,034.67","1,162,360.80","545,678.83","676,776.50","467,708.50","453,342.70","582,243.70","195,430.43","449,813.33","239,606.74","79,893,492.50","4,138,462.43","174,945.08","119,245.16"
