科目,2008年度,2009年度,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"368,741,435.70","444,266,869.36","722,361,347.82","234,905,497.99","467,754,033.01","701,596,657.29","936,157,674.21","191,621,500.89","417,670,236.04","642,125,796.81","860,800,457.80","194,655,614.73","461,665,695.11","735,262,754.78","994,147,516.32","198,365,928.32","472,276,397.39","726,626,943.43","989,296,583.74","195,749,607.12","475,642,798.62","752,827,413.00","995,111,443.81","231,962,460.47","533,143,700.84","859,227,141.65","1,258,862,634.30","285,245,715.32","665,170,546.39","1,099,787,807.89","927,359,933.94","170,528,405.24","446,932,631.57"
取得子公司及其他营业单位支付的现金净额,,,"24,990,252.42",,,,,,,,"569,376.00",,,,,,,,,,,"31,896,570.96","21,896,570.96",,,,,,"17,697,067.34","17,697,067.34","17,697,067.34",,
收到的税费返还,"6,667,361.13","9,251,448.56",,"3,914,727.35","4,663,304.13","6,884,419.17","12,025,966.20","1,950,024.25","2,585,350.99","2,585,350.99","6,973,026.99",,,,"965,215.72",,,"1,753,599.03","1,928,895.80","175,296.77","175,296.77","175,296.77","6,060,654.61","960,963.81","1,629,817.72","3,906,244.78","6,251,431.30","4,268,824.89","4,553,225.33","5,417,415.88","8,468,985.88","7,534,077.66","11,776,350.79"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,"30,000,000.00",,,,,,,"30,000,000.00",,"3,960,000.00",,,"4,316,582.99",,
收到其他与经营活动有关的现金,"14,067,790.38","10,306,176.03","16,333,119.00","2,537,944.90","4,439,851.94","5,566,697.58","31,365,353.03","2,251,065.00","5,791,548.08","7,353,450.13","17,926,512.08","5,441,096.24","10,117,492.64","13,829,370.41","77,315,431.22","4,962,401.42","8,809,206.71","11,323,201.63","22,693,317.32","4,214,959.44","9,792,256.40","30,437,656.03","170,663,818.97","2,259,856.95","10,011,926.19","20,064,797.44","35,418,996.29","34,781,928.68","38,486,500.09","56,125,892.00","60,372,519.36","4,502,893.19","9,865,308.21"
投资活动现金流出小计,"27,083,117.71","46,178,159.36","121,882,973.45","31,883,628.08","96,618,227.74","123,618,062.41","160,855,544.26","39,806,663.57","60,256,796.47","79,799,759.17","96,247,462.97","14,719,015.89","15,494,598.45","20,419,735.79","32,543,493.81","16,853,285.04","39,929,704.14","82,757,234.48","148,194,923.61","34,351,198.24","49,314,875.98","99,218,139.31","114,035,109.37","164,946,125.74","239,689,967.51","313,656,702.09","304,058,275.50","139,171,961.86","164,904,814.16","188,271,270.97","274,710,475.93","13,081,534.13","94,417,771.75"
经营活动现金流入小计,"389,476,587.21","463,824,493.95","738,694,466.82","241,358,170.24","476,857,189.08","714,047,774.04","979,548,993.44","195,822,590.14","426,047,135.11","652,064,597.93","885,699,996.87","200,096,710.97","471,783,187.75","749,092,125.19","1,072,428,163.26","203,328,329.74","481,085,604.10","739,703,744.09","1,013,918,796.86","200,139,863.33","485,610,351.79","783,440,365.80","1,171,835,917.39","235,183,281.23","544,785,444.75","883,198,183.87","1,300,533,061.89","324,296,468.89","708,210,271.81","1,161,331,115.77","996,201,439.18","182,565,376.09","468,574,290.57"
投资活动产生的现金流量净额,"-27,083,117.71","-45,478,159.36","-121,733,521.33","-31,883,628.08","-96,618,227.74","-123,531,062.41","-160,768,544.26","-39,806,663.57","-59,381,796.47","-78,848,759.17","-95,296,462.97","-14,719,015.89","-15,267,598.45","-20,107,735.79","-4,332,493.81","-16,853,285.04","-39,811,704.14","-82,639,234.48","-147,809,723.61","-33,244,198.24","-47,625,689.98","-97,472,316.31","-112,269,286.37","-164,946,125.74","-209,297,478.06","-227,346,201.68","-156,666,193.17","-116,805,260.49","-42,573,619.64","-7,759,870.97","-86,440,444.70","-13,046,534.13","-86,867,271.75"
购买商品、接受劳务支付的现金,"289,072,379.48","329,355,438.85","547,144,297.41","201,999,135.70","411,766,284.87","636,236,263.68","766,445,342.16","211,673,614.94","358,089,637.00","497,838,864.93","628,265,081.67","137,553,726.76","341,099,151.89","529,320,568.85","709,613,024.88","140,352,646.39","322,594,673.98","517,161,590.99","673,568,713.68","121,536,359.06","335,222,571.49","514,132,608.48","693,980,215.34","157,087,064.23","369,314,726.36","622,746,190.56","888,158,416.59","209,051,977.57","475,765,049.76","853,823,567.40","538,363,225.57","94,625,884.00","303,915,944.32"
吸收投资收到的现金,"11,641,680.00",,,"839,450,000.00","839,450,000.00","839,450,000.00","839,450,000.00",,,,,,,"721,082.70","721,082.70","1,429,435.80","1,429,435.80","1,429,435.80","20,543,845.80",,"239,257.20","29,911,522.15","29,911,522.15",,,,"46,068,750.00",,"699,600.00","5,199,600.00","5,258,779.50",,
