科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"1,108,957,141.70","1,092,227,405.93","1,212,769,040.28","605,730,746.03","1,120,452,815.01","1,251,471,566.00","269,655,284.23","650,565,346.02","979,401,381.33","1,160,159,182.34","287,934,140.76","656,611,390.20","903,262,291.73","1,098,660,273.93","183,029,397.17","349,108,014.40","798,119,441.79","1,193,905,550.35","363,970,597.08"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,"26,000,000.00","26,000,000.00",,
收到的税费返还,,,,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"86,211,767.11","23,907,587.03","122,095,932.98","4,728,710.75","6,693,174.37","12,701,541.89","782,755.74","32,219,793.69","32,913,847.78","33,459,478.47","632,700.00","1,962,046.23","2,778,517.23","63,272,570.47","22,526,098.14","16,268,130.58","44,293,199.30","67,116,518.92","9,497,664.34"
投资活动现金流出小计,"436,836,437.81","166,774,701.68","112,656,151.84","103,175,444.12","190,576,063.16","179,375,804.11","36,968,755.22","72,904,140.76","105,429,109.14","263,413,490.86","667,756,655.37","849,053,646.36","883,101,567.54","1,135,523,890.66","534,371,985.65","467,256,790.43","711,281,637.51","857,614,335.30","171,986,106.62"
经营活动现金流入小计,"1,195,168,908.81","1,116,134,992.96","1,334,864,973.26","610,459,456.78","1,127,145,989.38","1,264,173,107.89","270,438,039.97","682,785,139.71","1,012,315,229.11","1,193,618,660.81","288,566,840.76","658,573,436.43","906,040,808.96","1,161,932,844.40","205,555,495.31","365,376,144.98","842,412,641.09","1,261,022,069.27","373,468,261.42"
投资活动产生的现金流量净额,"-209,761,407.64","-161,013,487.76","-109,002,228.11","-101,360,183.59","-188,349,923.13","-175,342,618.68","-35,345,636.10","-67,578,724.18","-99,660,230.76","-248,709,821.45","-484,781,118.18","-609,344,945.50","-385,771,547.80","-106,583,736.59","22,726,425.22","-4,710,758.15","-57,628,882.82","-27,857,114.56","11,165,397.84"
购买商品、接受劳务支付的现金,"1,085,223,871.18","721,936,107.63","801,553,867.49","263,561,644.81","655,877,645.47","835,676,456.11","243,008,392.85","517,094,340.35","701,199,328.40","804,823,053.79","236,139,261.57","457,330,512.70","597,974,148.12","674,013,928.18","150,111,360.05","208,377,687.13","406,817,017.36","947,498,532.84","167,755,412.78"
吸收投资收到的现金,,,,,,"230,363,700.00",,,,"1,018,699,999.26",,,,,,,,,"26,163,000.00"
支付给职工以及为职工支付的现金,"125,453,092.50","131,641,931.74","154,140,829.84","78,393,334.34","112,453,948.32","147,418,295.18","42,932,583.38","77,207,177.88","108,525,239.51","152,755,663.11","50,159,551.58","92,247,690.80","128,641,945.18","172,932,008.82","53,079,589.88","100,003,807.33","150,057,885.76","199,038,268.97","53,636,185.74"
取得借款收到的现金,"1,093,807,888.47","1,119,701,004.82","1,271,602,442.50","598,205,402.50","773,205,402.50","1,176,440,651.25","470,441,606.00","627,328,119.00","931,226,779.00","1,187,226,779.00","513,500,000.00","592,000,000.00","648,000,000.00","1,209,500,000.00","244,000,000.00","339,000,000.00","439,000,000.00","692,000,000.00","18,000,000.00"
支付的各项税费,"62,753,072.50","78,278,405.13","90,337,967.32","31,924,080.53","51,871,766.01","64,407,382.20","8,023,145.93","24,258,522.64","37,170,383.16","47,437,928.86","11,685,182.71","29,431,715.06","43,005,634.97","45,551,422.67","20,822,474.84","46,381,837.17","62,645,946.68","76,610,978.90","26,903,794.51"
收到其他与筹资活动有关的现金,,,,,,,,"33,396,190.00","33,396,190.00",,"4,929,052.12","99,916,000.00",,,,,,,"3,094,026.08"
支付其他与经营活动有关的现金,"27,455,888.66","79,583,797.79","25,452,858.63","54,477,104.04","56,656,740.83","67,714,565.50","22,704,374.28","31,249,124.68","39,495,672.70","24,603,712.50","14,336,098.39","21,817,270.12","44,010,230.46","22,647,201.17","10,587,028.86","22,676,056.66","31,365,860.75","29,300,353.33","9,234,131.43"
筹资活动现金流入小计,"1,093,807,888.47","1,119,701,004.82","1,271,602,442.50","598,205,402.50","773,205,402.50","1,406,804,351.25","470,441,606.00","660,724,309.00","964,622,969.00","2,205,926,778.26","518,429,052.12","691,916,000.00","648,000,000.00","1,209,500,000.00","244,000,000.00","339,000,000.00","439,000,000.00","692,000,000.00","47,257,026.08"
经营活动现金流出小计,"1,300,885,924.84","1,011,440,242.29","1,071,485,523.28","428,356,163.72","876,860,100.63","1,115,216,698.99","316,668,496.44","649,809,165.55","886,390,623.77","1,029,620,358.26","312,320,094.25","600,827,188.68","813,631,958.73","915,144,560.84","234,600,453.63","377,439,388.29","650,886,710.55","1,252,448,134.04","257,529,524.46"
偿还债务支付的现金,"769,770,888.47","1,045,028,004.82","1,192,792,442.50","589,599,371.04","839,612,777.46","1,359,493,471.50","337,864,821.50","527,902,937.50","882,589,450.50","1,364,754,165.76","437,250,891.67","557,250,891.67","809,250,891.67","1,385,500,000.00","194,000,000.00","375,500,000.00","642,500,000.00","959,000,000.00","128,000,000.00"
经营活动产生的现金流量净额,"-105,717,016.03","104,694,750.67","263,379,449.98","182,103,293.06","250,285,888.75","148,956,408.90","-46,230,456.47","32,975,974.16","125,924,605.34","163,998,302.55","-23,753,253.49","57,746,247.75","92,408,850.23","246,788,283.56","-29,044,958.32","-12,063,243.31","191,525,930.54","8,573,935.23","115,938,736.96"
分配股利、利润或偿还利息支付的现金,"31,489,753.43","45,135,311.81","172,960,591.82","39,950,305.61","58,445,579.22","77,153,679.06","16,905,589.42","98,738,526.04","115,438,444.45","132,150,815.36","11,552,800.48","49,379,865.11","65,947,855.78","70,151,246.23","9,095,194.57","134,103,963.38","142,161,036.65","151,352,344.15","5,896,997.97"
收回投资收到的现金,"750,293.15",,,,,,,,,,"179,000,000.00","232,010,032.88","478,700,000.00","1,000,250,000.00","549,350,000.00","449,475,800.00","637,975,800.00","775,950,000.00","182,000,000.00"
支付其他与筹资活动有关的现金,"2,500,000.00","2,788,500.00","1,226,415.09","471,698.11","943,396.22","6,700,466.63",,,,"1,273,584.87",,,"93,242,777.88","1,278,034.01","58,706,559.70","78,131,186.79","173,593,807.96",,
取得投资收益收到的现金,,,,,,,,,,,"4,778.09","186,010.96","3,973,718.40","8,165,122.48","2,188,503.15","3,733,772.29","4,001,306.54","5,045,514.61","355,706.86"
筹资活动现金流出小计,"803,760,641.90","1,092,951,816.63","1,366,979,449.41","630,021,374.76","899,001,752.90","1,443,347,617.19","354,770,410.92","626,641,463.54","998,027,894.95","1,498,178,565.99","448,803,692.15","606,630,756.78","968,441,525.33","1,456,929,280.24","261,801,754.27","587,735,150.17","958,254,844.61","1,110,352,344.15","133,896,997.97"
处置固定资产、无形资产和其他长期资产收回的现金净额,"13,684,598.18","1,561.70","287,559.14","136,217.09","150,679.00","141,956.06","242,366.67","2,567,543.61","2,569,008.61","10,847,874.46","299,050.00","299,050.00","299,050.00","310,423.07","1,760.68","26,760.68","41,760.68","15,472.65","3,600.00"
筹资活动产生的现金流量净额,"290,047,246.57","26,749,188.19","-95,377,006.91","-31,815,972.26","-125,796,350.40","-36,543,265.94","115,671,195.08","34,082,845.46","-33,404,925.95","707,748,212.27","69,625,359.97","85,285,243.22","-320,441,525.33","-247,429,280.24","-17,801,754.27","-248,735,150.17","-519,254,844.61","-418,352,344.15","-86,639,971.89"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,"35,525,800.00",
四、汇率变动对现金的影响,"53,890.81","-57,695.51","37,704.61","4,932.15","4,932.15","27,033.09",,,,"-2,161.57",95.19,95.19,95.19,"18,036.22","-2,110.73","-2,110.73","-2,110.73","262,440.71",-4.85
收到其他与投资活动有关的现金,"212,640,138.84","5,759,652.22","3,366,364.59","1,679,043.44","2,075,461.03","3,891,229.37","1,380,752.45","2,757,872.97","3,199,869.77","3,855,794.95","3,671,709.10","7,213,607.02","14,357,251.34","20,214,608.52","5,558,147.04","9,309,699.31","11,633,887.47","13,220,433.48","792,197.60"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"227,075,030.17","5,761,213.92","3,653,923.73","1,815,260.53","2,226,140.03","4,033,185.43","1,623,119.12","5,325,416.58","5,768,878.38","14,703,669.41","182,975,537.19","239,708,700.86","497,330,019.74","1,028,940,154.07","557,098,410.87","462,546,032.28","653,652,754.69","829,757,220.74","183,151,504.46"
五、现金及现金等价物净增加额,"-25,377,286.29","-29,627,244.41","59,037,919.57","48,932,069.36","-63,855,452.63","-62,902,442.63","34,095,102.51","-519,904.56","-7,140,551.37","623,034,531.80","-438,908,916.51","-466,313,359.34","-613,804,127.71","-107,206,697.05","-24,122,398.10","-265,511,262.36","-385,359,907.62","-437,373,082.77","40,464,158.06"
购建固定资产、无形资产和其他长期资产支付的现金,"421,250,737.81","166,774,701.68","112,656,151.84","103,175,444.12","190,576,063.16","179,375,804.11","36,968,755.22","72,904,140.76","105,429,109.14","96,413,490.86","25,756,655.37","50,553,646.36","72,901,567.54","73,323,890.66","63,871,985.65","140,756,790.43","195,281,637.51","242,614,335.30","57,986,106.62"
期初现金及现金等价物余额,"102,025,554.93","76,648,268.64","47,021,024.23","106,058,943.80","106,058,943.80","106,058,943.80","43,156,501.17","43,156,501.17","43,156,501.17","43,156,501.17","666,162,649.22","666,162,649.22","666,162,649.22","666,191,032.97","558,984,335.92","558,984,335.92","558,984,335.92","558,984,335.92","121,611,253.15"
投资支付的现金,"15,585,700.00",,,,,,,,,"167,000,000.00","642,000,000.00","798,500,000.00","810,200,000.00","1,062,200,000.00","470,500,000.00","300,500,000.00","490,000,000.00","615,000,000.00","114,000,000.00"
期末现金及现金等价物余额,"76,648,268.64","47,021,024.23","106,058,943.80","154,991,013.16","42,203,491.17","43,156,501.17","77,251,603.68","42,636,596.61","36,015,949.80","666,191,032.97","227,253,732.71","199,849,289.88","52,358,521.51","558,984,335.92","534,861,937.82","293,473,073.56","173,624,428.30","121,611,253.15","162,075,411.21"
