科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"1,101,360,170.62","1,149,395,864.37","481,158,844.90","757,303,540.86","1,103,527,458.89","285,611,289.14","655,348,605.54","1,005,419,308.93","1,377,630,305.93","326,477,191.48","710,562,887.26","1,095,890,469.35","1,441,635,269.66","303,442,876.72","643,367,126.69","999,853,445.09","1,355,880,826.61","296,198,957.51","675,814,132.77","1,066,401,649.35","1,458,865,106.30","322,532,294.73","753,634,582.47","1,167,059,495.50","1,613,207,735.04","370,929,029.14","848,228,069.56","293,907,516.07","855,999,005.91","124,604,001.71","428,973,653.82","852,694,581.92","1,826,189,606.67","111,041,692.78","333,173,282.49","562,237,412.84","1,665,603,140.64","286,285,147.29","757,541,659.46"
二、营业利润,"81,428,942.13","67,672,775.56","62,522,315.95","95,712,218.43","126,919,559.62","21,773,946.80","68,553,200.91","102,898,872.48","139,499,868.50","28,051,863.97","61,210,058.73","83,278,366.89","106,393,508.92","21,869,638.56","44,930,161.26","75,423,586.84","89,627,195.08","15,744,664.83","55,940,508.19","69,309,129.21","84,590,248.28","10,687,087.70","44,533,885.67","47,621,428.68","80,690,509.84","20,886,022.28","71,005,711.06","66,785,911.48","251,718,619.19","25,735,374.21","117,949,997.32","180,838,202.23","378,081,249.95","24,254,285.24","81,681,115.11","152,454,594.19","418,844,312.87","102,758,675.30","236,715,291.97"
减:营业成本,"921,836,368.81","950,656,238.27","355,880,841.26","561,031,744.81","835,809,372.35","228,070,062.37","516,406,454.70","800,047,945.98","1,090,868,070.71","264,122,281.14","575,481,305.65","897,662,589.84","1,165,260,034.03","244,104,115.26","511,442,291.92","794,910,415.59","1,085,647,523.24","237,135,088.12","522,831,771.89","847,085,623.60","1,173,502,976.33","263,183,705.15","600,477,868.52","947,027,738.37","1,303,825,091.61","288,921,574.38","652,061,885.29","155,090,951.98","433,251,431.44","75,118,084.64","266,597,347.05","575,232,493.36","1,212,387,879.19","61,208,037.80","200,081,932.15","300,757,499.24","918,523,566.71","230,695,022.58","604,795,782.26"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"3,217,917.99","3,627,551.92","1,566,572.62","2,338,615.63","3,099,844.72","449,783.39","1,115,734.70","2,126,784.80","3,390,206.57","511,279.83","1,885,106.17","3,156,170.40","4,469,578.60","906,868.14","2,261,350.95","3,634,085.18","5,142,179.20","1,175,755.25","2,833,021.78","3,954,508.69","5,704,215.29","1,445,278.16","3,864,654.40","6,507,796.62","7,926,016.07","2,077,861.86","4,164,377.41","1,399,053.01","3,850,496.90","737,772.22","2,427,663.72","2,880,248.86","6,104,500.26","617,001.08","1,662,427.07","2,451,813.41","10,271,735.15","1,208,157.26","1,860,563.45"
营业外收入,"6,863,526.77","8,599,009.92","6,278,888.78","7,256,976.65","8,915,807.19","2,444.40","125,943.56","3,866,072.96","5,945,774.57","768,023.50","895,897.67","8,423,697.73","10,141,282.96","2,345,916.81","2,627,073.29","3,845,422.34","15,300,208.78","178,622.25","2,450,959.95","3,930,072.37","5,127,838.71","881,169.77","1,461,236.32","2,657,948.90","5,145,787.04","607,337.48","1,598,737.02","8,335,166.02","17,797,657.06","978,602.38","3,076,145.07","9,838,656.29","13,405,136.45","9,722,211.29","12,044,558.56","25,660,114.50","860,206.81","1,723.15","35,605.78"
销售费用,"27,914,214.37","37,266,308.67","16,560,700.68","27,971,607.37","40,818,132.44","9,361,265.44","20,809,105.26","32,503,374.18","41,569,737.75","11,119,344.21","22,720,490.34","33,794,994.38","43,434,213.95","10,945,031.48","22,113,934.46","34,393,537.62","47,443,857.32","11,914,882.21","26,221,944.26","41,872,170.23","57,363,869.81","14,129,902.74","29,210,079.07","47,187,755.49","66,897,340.55","14,485,399.36","34,671,251.14","13,734,545.49","25,899,414.47","3,968,373.39","14,613,664.17","21,511,972.50","49,318,417.01","10,770,079.56","22,783,520.88","62,443,178.46","97,450,795.21","4,965,791.01","9,319,114.76"
减:营业外支出,"1,671,826.73","2,179,483.34","708,117.22","1,145,120.75","1,615,300.63","364,738.01","865,782.03","1,671,924.77","2,460,299.49","581,623.29","1,431,071.97","2,772,861.56","3,312,808.78","537,814.70","1,069,358.11","1,668,718.17","4,393,436.13","359,290.76","911,056.42","1,449,822.85","2,571,828.57","41,332.81","75,153.56","89,129.58","3,145,922.61","237,419.27","683,140.36",794.70,794.70,"43,238.12","50,466.33","87,173.94","87,173.94",,38.67,38.67,"51,526.56",241.19,"64,704.64"
管理费用,"59,288,255.73","70,204,307.59","36,548,771.31","58,608,995.30","81,810,155.25","23,945,032.68","44,617,226.63","67,780,799.99","105,772,874.70","22,656,683.31","49,391,081.61","78,182,422.53","122,721,968.16","27,177,427.29","58,690,861.46","90,198,986.14","126,062,930.88","31,153,074.22","66,082,890.44","104,328,197.97","146,520,126.57","33,458,274.62","70,409,908.99","113,081,649.79","154,484,689.11","43,892,666.77","88,412,500.74","27,598,197.67","70,738,861.65","13,795,454.34","30,167,013.56","51,537,537.83","57,397,915.21","12,572,646.02","27,076,803.71","40,881,444.76","67,760,098.52","14,849,341.71","33,561,227.22"
其中:非流动资产处置净损失,"166,632.32","437,248.86","84,438.00",,"90,767.08",,,,"166,215.99",,,,"1,199,966.13",,"107,619.14","107,619.14","1,783,007.07",,"26,191.53","124,127.87","511,080.60","7,096.30","7,096.30","7,096.30","287,310.09","96,648.59","166,207.61",694.70,,,"43,238.12","79,351.95",,,,,,,
