科目,2008年度,2009年度,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"99,258,819.20","115,872,651.68","117,705,049.90","26,268,862.54","59,920,227.30","89,790,592.71","130,118,463.18","40,812,592.78","83,746,061.81","142,267,016.35","187,642,275.89","31,120,852.30","70,719,292.09","119,031,810.83","160,475,725.49","42,159,892.29","78,557,868.73","127,793,558.17","169,697,208.56","47,347,069.62","2,354,998,620.55","2,874,159,172.34","3,285,817,018.68","242,998,900.12","441,657,039.65","742,158,130.33","1,120,361,557.15","339,325,994.99","633,949,935.16","959,590,489.20","1,524,800,856.66","356,971,721.32","692,579,842.91"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,,,,,,,,,,,,,,,,,,,,,,"6,352.62",,,,,,,,,,
支付其他与投资活动有关的现金,,"18,556,833.93","1,073,880.00",,"10,000.00","1,250,003.36",,,,,,,,,,,,,,,"5,880,000.00","15,922,461.06","1,893,120.00",,,,,,,,,,
收到其他与经营活动有关的现金,"1,723,825.68","1,644,276.82","3,228,501.90","3,222,152.67","4,592,258.73","6,401,915.50","5,786,485.33","926,931.94","12,149,074.83","16,000,556.14","21,875,690.43","3,888,989.49","7,962,357.92","9,912,228.03","13,177,839.71","6,677,640.29","7,610,503.28","13,455,994.29","15,695,681.74","5,286,055.57","25,812,171.70","49,031,165.70","66,423,133.58","41,311,226.29","43,976,099.24","82,628,364.27","77,736,846.87","45,233,394.08","85,661,474.82","84,901,067.04","31,600,197.00","17,213,702.78","36,616,765.32"
投资活动现金流出小计,"1,249,748.67","22,931,965.03","77,249,686.90","345,832.98","1,061,041.64","6,945,731.94","9,441,531.31","10,808,388.23","16,604,700.90","20,591,394.96","22,926,280.86","9,361,368.65","23,289,287.84","34,580,525.56","45,338,877.95","5,203,029.00","17,921,567.86","20,267,071.08","21,171,639.20","618,443.50","180,673,984.13","371,579,255.26","491,183,532.46","92,049,464.22","178,732,150.66","256,011,207.66","305,983,464.96","64,985,359.42","86,458,256.50","125,829,157.51","186,180,944.99","28,825,243.47","109,858,951.71"
经营活动现金流入小计,"100,982,644.88","117,516,928.50","120,933,551.80","29,491,015.21","64,512,486.03","96,192,508.21","135,904,948.51","41,739,524.72","95,895,136.64","158,267,572.49","209,517,966.32","35,009,841.79","78,681,650.01","128,944,038.86","173,653,565.20","48,837,532.58","86,168,372.01","141,249,552.46","185,392,890.30","52,633,125.19","2,380,810,792.25","2,923,190,338.04","3,352,246,504.88","284,310,126.41","485,633,138.89","824,786,494.60","1,198,098,404.02","384,559,389.07","719,611,409.98","1,044,491,556.24","1,556,401,053.66","374,185,424.10","729,196,608.23"
投资活动产生的现金流量净额,"-1,127,624.93","-22,016,170.69","-76,422,150.06","-304,832.98","-1,020,041.64","-5,611,728.58","-9,364,050.55","-10,808,388.23","-16,604,700.90","-20,531,394.96","-22,867,434.71","-9,350,955.65","-23,212,874.84","-34,504,112.56","-42,355,247.19","-5,203,029.00","-17,921,567.86","-20,293,811.08","-21,171,639.20","-618,443.50","-179,123,984.13","-354,029,255.26","-489,633,532.46","-92,015,885.12","-178,555,645.81","-255,810,188.25","-304,532,445.55","-64,985,359.42","-86,267,417.49","-125,336,299.08","-137,988,086.56","-28,825,243.47","-109,858,951.71"
购买商品、接受劳务支付的现金,"35,745,150.81","31,063,267.83","32,564,466.72","7,854,796.16","18,531,764.22","29,762,457.38","39,114,631.45","10,204,563.20","28,734,547.98","37,531,119.59","51,133,896.03","8,240,838.65","18,233,213.10","29,260,104.89","40,349,310.16","10,948,196.23","25,865,593.58","35,708,842.90","49,669,452.26","11,501,286.78","1,047,329,242.74","1,403,610,261.28","1,790,823,026.41","238,982,952.36","390,190,517.46","553,580,315.08","821,583,738.59","157,734,814.61","286,066,843.36","440,420,211.02","780,601,082.46","211,851,737.82","389,761,065.67"
吸收投资收到的现金,,,,"484,500,000.00","484,500,000.00","484,500,000.00","476,184,000.40",,,,,,,,,,,,,,,,,,,,"753,998,000.00",,,,,"90,147,000.00","90,147,000.00"
