科目,2013年度,2014年度,2015年度,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"2,653,185,537.72","3,090,927,243.26","3,409,890,129.59","2,889,284,412.20","3,840,363,317.69","1,033,084,481.10","2,152,581,404.35","3,446,503,723.18","4,495,773,644.48","1,128,408,236.12","2,437,824,024.80","3,908,374,246.97","5,078,767,720.91","1,337,446,050.26"
取得子公司及其他营业单位支付的现金净额,"8,370,526.62",,,,,,,,,,,,,
收到的税费返还,,,,,,,,,,,,,"252,532.74",
支付其他与投资活动有关的现金,,,"27,000,000.00","9,600,000.00","9,600,000.00",,,,"3,000,000.00",,,,"30,000,000.00",
收到其他与经营活动有关的现金,"23,714,277.78","31,918,870.02","37,948,844.50","56,334,180.95","36,118,242.27","9,361,212.35","28,778,398.47","51,381,834.48","63,388,262.00","5,706,286.98","20,442,525.33","37,436,236.56","40,858,000.48","4,266,036.15"
投资活动现金流出小计,"326,751,144.63","128,446,623.08","290,451,421.87","196,328,969.45","274,079,507.04","63,500,329.99","173,070,031.23","373,436,132.29","535,313,187.16","138,823,270.08","364,807,207.95","643,761,574.90","879,895,878.39","141,307,520.55"
经营活动现金流入小计,"2,676,899,815.50","3,122,846,113.28","3,447,838,974.09","2,945,618,593.15","3,876,481,559.96","1,042,445,693.45","2,181,359,802.82","3,497,885,557.66","4,559,161,906.48","1,134,114,523.10","2,458,266,550.13","3,945,810,483.53","5,119,878,254.13","1,341,712,086.41"
投资活动产生的现金流量净额,"-326,316,224.27","-126,863,108.32","-286,042,297.13","-156,993,331.03","-232,403,474.86","-63,304,108.83","-171,977,009.73","-372,222,720.05","-526,128,205.46","-138,014,140.88","-362,087,827.36","-639,624,968.15","-871,413,659.30","-140,958,458.99"
购买商品、接受劳务支付的现金,"1,785,967,700.10","1,914,736,487.41","2,382,092,356.57","1,721,954,217.23","2,386,351,092.75","515,900,933.98","1,075,709,634.64","1,883,508,905.85","2,573,579,592.85","764,991,735.80","1,444,784,510.78","2,347,335,748.46","3,270,917,416.11","812,024,750.91"
吸收投资收到的现金,,,,,,"740,590,000.00","745,854,073.40","746,312,889.80","759,688,508.20",,"13,437,762.40","15,881,491.40","9,426,070.40",
