科目,2007-12-31,2008-12-31,2009-12-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"41,817,588.01","39,443,829.81","86,667,925.92","162,967,304.22","248,323,725.45","2,350,417,724.04","2,214,626,858.51","2,134,349,707.19","1,946,807,704.55","1,767,337,423.67","1,735,127,912.60","1,586,410,844.54","1,442,619,598.70","1,424,053,444.73","1,125,782,151.87","1,109,264,654.19","1,213,691,513.17","905,102,987.87","892,149,179.52","831,906,232.03","979,144,897.93","1,020,469,484.44","1,085,144,768.94","1,119,871,509.39","1,496,664,170.50","1,482,746,188.40","1,590,442,783.45","1,123,530,646.66","1,516,859,753.14","1,005,011,708.58","1,145,375,934.53","912,026,262.43","1,300,041,029.12"
短期借款,"140,000,000.00","200,000,000.00",,"20,000,000.00","20,000,000.00","20,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"170,113,847.21",,"101,486,559.65","99,908,958.69"
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收账款,"620,390.90","1,213,127.10","1,637,853.10","3,149,948.65","4,922,899.87","1,661,548.44","1,613,132.14","2,402,853.09","2,909,606.70","5,312,997.95","5,885,336.70","6,976,477.47","5,727,587.80","3,476,168.05","6,211,147.45","6,123,119.34","6,705,860.71","4,407,431.27","7,967,991.81","13,145,900.63","10,539,722.88","5,288,889.64","5,926,877.35","6,040,091.67","17,372,776.89","15,893,180.22","17,700,796.25","9,442,088.94","46,098,705.49","18,776,243.37","29,939,223.00","37,537,934.84","35,364,199.15"
应付账款,"2,122,214.46","37,169,702.01","19,717,332.22","25,513,242.89","24,809,300.10","33,827,035.41","11,044,304.81","57,177,494.53","72,788,052.29","71,232,530.32","59,509,762.60","87,901,764.89","132,313,062.95","143,442,855.08","88,423,986.29","84,056,396.01","155,976,016.98","178,013,307.09","116,259,281.03","232,689,850.06","223,456,348.08","255,973,180.87","192,278,973.46","182,277,236.82","203,594,975.89","187,859,706.77","153,663,705.73","235,561,649.99","225,726,893.81","210,532,665.58","180,528,107.04","146,512,690.95","145,826,544.40"
预付款项,"35,345,183.03","107,801.25","3,486,172.07","2,534,885.00","2,166,338.91","15,270,562.52","19,471,335.16","11,484,667.17","211,344,436.18","195,130,733.36","204,031,851.60","22,572,107.47","62,493,497.18","70,087,373.95","88,936,483.33","96,988,773.72","91,328,153.16","93,910,069.06","108,739,224.69","3,710,117.57","1,685,194.52","5,675,204.26","4,608,911.10","13,285,584.29","22,229,271.50","6,826,044.44","6,960,064.71","12,930,681.24","16,947,354.31","17,521,540.16","10,065,566.86","8,675,647.64","17,800,584.26"
预收款项,"593,524.96","1,003,987.96","2,806,596.40","7,740,804.50","6,705,076.56","4,260,596.45","17,128,988.97","15,302,199.12","11,060,053.82","6,504,764.92","12,075,649.32","10,501,725.75","12,470,612.25","10,692,319.63","34,217,503.57","24,933,005.88","16,021,115.63","8,108,222.59","30,314,487.84","25,236,985.38","23,813,112.79","14,101,803.27","33,436,636.76","36,303,657.08","48,381,423.03","31,812,823.26","51,798,120.09","55,377,694.09","183,614,838.54","81,847,805.99","160,912,885.22","200,170,105.24","348,052,987.18"
