科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"1,124,451,840.38","1,206,007,334.53","1,086,699,781.34","507,325,605.27","627,611,186.50","1,075,381,949.06","201,019,072.02","351,887,771.37","724,951,673.28","1,014,423,359.09","328,475,918.21","577,704,592.48","870,456,235.21","1,113,256,479.73","325,978,900.56","591,005,973.16","892,247,727.13","1,392,514,721.37","160,900,944.40"
二、营业利润,"400,758,105.20","395,453,076.53","161,808,441.72","93,000,413.64","63,001,276.19","105,856,799.69","14,632,800.36","16,546,072.18","73,453,352.12","81,982,767.54","37,060,054.90","82,900,627.62","139,200,735.72","166,280,927.77","65,954,799.60","112,929,876.41","-70,911,696.88","15,137,409.81","-19,704,195.65"
减:营业成本,"506,021,679.35","558,007,436.82","678,931,066.12","299,918,858.63","387,852,544.80","730,175,386.87","139,985,436.84","240,819,856.13","504,546,447.27","730,447,067.08","230,828,013.33","382,161,737.64","547,855,789.54","694,916,028.38","210,878,994.45","376,377,673.83","612,210,953.85","994,182,868.02","133,748,852.09"
加:补贴收入,,,,,,,,,,,,,,,,,,,
营业税金及附加,"2,047,022.73","1,584,454.19","1,615,606.08","655,456.52","1,323,367.54","1,780,585.60","53,149.48","257,525.21","553,200.92","771,435.14","38,640.75","95,114.78","1,625,360.65","23,655,201.66","9,731,985.83","20,527,683.61","32,358,596.10","43,364,210.90","4,684,177.71"
营业外收入,"31,076,461.95","6,447,836.92","7,034,646.87","943,199.98","5,904,887.20","6,929,080.97","552,698.44","1,686,881.74","2,892,892.71","5,110,482.24","1,102,427.38","3,263,409.31","4,963,483.46","5,605,908.59","476,707.81","402,700.81","608,120.83","4,217,115.72","1,456,480.00"
销售费用,"4,915,283.59","4,610,942.03","2,035,760.71","1,686,767.14","2,893,999.48","4,320,410.65","1,192,171.77","1,941,002.82","2,799,264.84","3,914,761.22","531,709.24","1,103,319.92","1,613,240.48","2,280,620.81","567,931.84","1,486,839.22","2,405,300.58","5,350,689.93","1,581,104.56"
减:营业外支出,"6,591,091.68","6,218,286.05","11,166,596.45","4,849,257.75","4,881,027.24","7,938,003.41","51,860.00","1,065,972.81","2,119,131.16","4,784,708.77","1,628,737.03","2,677,841.03","4,087,100.48","8,617,937.19","913,993.00","3,073,333.00","4,604,127.00","5,432,075.62","299,350.98"
管理费用,"207,774,455.40","227,760,012.04","209,800,384.93","92,014,250.43","141,556,208.71","188,435,472.53","44,158,711.80","83,353,771.11","128,103,133.81","179,577,450.15","41,118,989.98","86,250,878.97","138,414,138.57","187,278,041.32","32,819,804.76","68,332,388.56","108,410,160.84","172,924,148.25","36,213,665.94"
其中:非流动资产处置净损失,"693,655.76","811,160.82","1,357.50","248,814.32","248,814.32","349,023.94",,,,,303.43,303.43,313.43,"74,970.16",,,"199,917.93",,
