科目,2007年度,2008年度,2009年度,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"78,266,368.53","65,963,643.40","155,466,017.55","124,115,157.33","178,059,138.28","9,403,107.52","58,578,632.21","66,784,141.06","158,880,035.16","41,473,336.44","151,260,894.11","164,012,931.59","238,308,546.60","70,318,463.77","121,473,658.76","164,948,556.89","370,260,368.97","25,071,148.22","145,263,013.92","180,421,964.12","384,704,214.26","13,875,947.11","198,240,543.84","431,862,167.24","642,194,378.10","63,483,812.87","246,019,328.40","450,946,739.76","1,013,700,015.09","476,293,832.27","1,107,502,305.78","2,442,750,827.45","3,254,313,621.51"
取得子公司及其他营业单位支付的现金净额,"3,165,376.24","6,500,000.00","375,000.00","58,850.00","108,850.00",,,,"5,658,774.07",,,,"13,651,254.51",,"5,945,306.17","6,225,307.17","5,783,062.36","702,136.13","-2,420,359.46","2,664,206.84","45,862,511.92","135,832,116.39","102,983,006.39","93,169,837.61","5,249,344.61","9,660,139.82","21,024,758.85","22,116,356.69","68,002,358.89","29,422,168.23","15,275,982.31","138,967,067.59","11,336,079.58"
收到的税费返还,,,,,,,,,,,,,,,,,"1,300,803.09",,,,"1,849,474.83",,,"84,439.89",,,"1,607,647.11","1,607,647.11","544,350.48",,,,"1,031,237.67"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,"55,072,995.72",,"8,000,000.00","140,000,000.00","20,000,000.00","34,780,000.00",,"9,000,000.00",,"21,521,372.85","20,850,000.00","32,700,000.00","23,700,000.00","17,989,600.00",,,"40,500,000.00"
收到其他与经营活动有关的现金,"39,812,318.27","75,411,652.30","30,081,636.97","14,137,678.05","18,802,746.12","4,804,667.52","29,083,621.73","16,160,286.22","22,872,238.26","15,232,898.75","18,937,177.99","35,870,067.48","19,496,208.18","21,281,141.89","10,319,774.58","15,450,059.15","33,007,592.41","23,400,525.13","70,117,305.22","84,056,233.16","432,696,772.48","108,910,824.35","211,094,274.95","19,820,389.74","83,671,760.07","66,876,857.80","21,054,450.71","88,964,646.52","166,106,470.83","20,190,740.26","37,334,812.57","67,362,709.58","99,924,426.01"
投资活动现金流出小计,"103,594,199.93","24,607,127.74","116,635,068.05","109,395,383.39","116,157,088.92","34,047,961.00","59,878,637.75","113,712,588.02","110,072,654.73","13,248,266.23","32,975,350.02","43,760,906.29","34,689,508.66","5,537,457.66","110,338,816.96","131,674,993.22","132,802,823.53","11,490,336.07","18,753,212.87","171,339,938.62","101,405,106.22","176,887,754.08","156,724,895.06","158,715,151.22","345,935,508.26","43,764,732.36","79,038,305.48","522,436,618.88","563,448,359.09","55,569,267.57","93,510,328.59","292,070,698.86","531,411,513.12"
经营活动现金流入小计,"118,078,686.80","141,375,295.70","185,547,654.52","138,252,835.38","196,861,884.40","14,207,775.04","87,662,253.94","82,944,427.28","181,752,273.42","56,706,235.19","170,198,072.10","199,882,999.07","257,804,754.78","91,599,605.66","131,793,433.34","180,398,616.04","404,568,764.47","48,471,673.35","215,380,319.14","264,478,197.28","819,250,461.57","122,786,771.46","409,334,818.79","661,480,701.26","1,073,622,841.38","313,242,022.58","651,870,066.38","1,092,564,677.29","1,956,661,335.36","595,275,800.25","1,519,758,411.93","2,956,577,000.47","3,736,783,151.77"
投资活动产生的现金流量净额,"-99,168,179.14","51,431,824.39","-113,542,393.45","-109,227,948.02","-115,989,653.55","-34,047,961.00","-59,878,637.75","-113,712,588.02","-103,210,665.89","-13,248,266.23","-32,975,350.02","-43,760,906.29","-34,689,451.71","-5,537,457.66","-110,338,816.96","-131,161,738.43","-131,281,571.50","9,742,509.49","-11,626,523.78","-154,748,607.71","-76,075,716.43","-141,195,660.34","-119,927,106.80","-121,816,726.28","-305,249,710.87","-13,633,199.20","-78,756,859.04","-521,576,297.73","-550,051,584.73","-44,101,141.24","12,790,224.85","-194,187,852.46","-419,924,266.05"
购买商品、接受劳务支付的现金,"4,138,871.08","5,330,584.85","4,006,256.32","5,144,923.37","7,175,055.15","1,575,055.15","19,312,717.50","18,540,340.83","9,175,081.79","5,574,748.87","13,848,502.23","39,509,711.27","66,089,397.53","18,514,067.41","32,017,831.96","44,427,215.88","76,141,161.25","14,379,472.66","37,313,399.22","50,491,667.13","76,153,385.00","20,135,851.51","99,593,530.38","231,622,587.40","294,559,062.99","52,941,316.35","176,912,062.40","321,928,155.47","631,533,279.64","373,335,195.05","985,698,012.20","2,168,890,297.92","2,887,328,774.07"
吸收投资收到的现金,"40,000,000.00",,"57,600,000.00",,,"597,743,000.00","597,743,000.00","597,743,000.00","606,725,000.00",,,,"21,562,800.00","162,450.00",,,"3,151,199.00",,,,,,,,"128,896,182.00",,,"10,723,381.00","73,569,717.00","46,001,025.00","48,301,025.00","851,903,188.81","858,701,788.81"
