科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"911,839,748.00","939,620,209.00","1,001,596,777.00","229,254,026.42","554,555,683.00","879,630,262.00","1,127,466,376.00","298,000,933.00","616,089,085.00","967,952,573.00","1,295,484,259.88","325,141,349.38","666,460,601.33","1,017,326,909.11","1,368,440,900.38","321,704,594.73","671,353,217.67"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,
收到的税费返还,,,,,,"64,176.00","15,281,834.00","13,111,096.00","30,194,188.00","43,625,775.00","61,740,714.77","7,353,728.41","16,303,042.44","35,118,055.50","49,767,616.76","5,231,576.28","18,124,976.44"
支付其他与投资活动有关的现金,,,,,,,,,,,"3,000.00",,,,,,
收到其他与经营活动有关的现金,"10,569,395.00","10,947,149.00","43,514,711.00","17,345,700.31","16,112,328.00","36,688,248.00","342,931,996.00","105,461,966.00","212,426,537.00","332,577,580.00","463,919,993.22","101,055,924.06","226,917,911.50","361,359,801.83","506,598,339.63","110,876,476.16","238,616,719.08"
投资活动现金流出小计,"445,397,539.00","527,348,145.00","493,667,585.00","166,975,548.55","293,119,957.00","475,135,087.00","611,781,326.00","185,329,316.00","276,117,384.00","435,110,031.00","667,930,754.73","238,157,474.94","338,426,516.21","505,615,585.44","672,470,271.61","360,551,929.33","498,329,381.15"
经营活动现金流入小计,"922,409,143.00","950,567,358.00","1,045,111,488.00","246,599,726.73","570,668,011.00","916,382,686.00","1,485,680,206.00","416,573,995.00","858,709,810.00","1,344,155,928.00","1,821,144,967.87","433,551,001.85","909,681,555.27","1,413,804,766.44","1,924,806,856.77","437,812,647.17","928,094,913.19"
投资活动产生的现金流量净额,"-373,779,641.00","-511,537,356.00","-441,650,674.00","-157,683,746.87","-282,068,684.00","-468,176,514.00","-581,573,216.00","-174,449,741.00","-263,548,537.00","-413,207,389.00","-630,250,407.23","-206,195,539.49","-277,808,053.20","-438,633,152.27","-570,222,673.43","-325,245,953.07","-459,772,926.95"
购买商品、接受劳务支付的现金,"215,973,406.00","221,093,877.00","179,366,952.00","64,477,334.12","109,087,100.00","187,372,532.00","221,168,915.00","83,253,441.00","171,422,828.00","273,879,530.00","379,800,470.11","67,679,905.63","200,757,369.29","301,666,446.64","395,293,486.66","112,178,232.37","210,883,971.06"
吸收投资收到的现金,,,,,"879,374,803.00","879,374,803.00","870,826,242.00",,,,,,,,,,
