科目,2011年度,2012年度,2013年1-9月,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"218,920,917.67","241,833,325.36","140,618,000.00","280,587,600.83","142,329,716.60","177,195,400.00","323,315,557.02","15,098,649.99","144,045,393.60","198,508,772.80","342,493,302.27","29,007,877.30","168,107,944.52","260,268,302.88","468,074,426.65","60,265,890.26","197,732,812.94","338,668,330.81","807,313,135.82","54,452,188.32","275,994,268.79","577,133,202.14","979,043,905.27","107,029,218.37"
二、营业利润,"49,158,795.93","59,118,097.73","18,249,700.00","68,531,896.67","22,908,649.30","35,026,700.00","78,884,322.82","-10,900,230.08","13,783,334.69","18,989,481.71","41,934,079.03","-20,386,952.23","8,583,534.20","5,820,936.94","25,454,759.12","-20,084,563.97","3,209,838.70","20,444,002.11","111,599,007.49","-2,473,463.05","24,267,998.40","140,453,352.81","216,913,755.77","-8,581,282.39"
减:营业成本,"129,683,383.14","126,366,441.39",,"154,152,548.02","88,100,515.12",,"168,141,346.01","9,373,802.10","93,526,772.14","126,969,537.63","227,817,320.40","20,342,271.61","107,482,714.86","173,309,911.44","316,113,244.04","49,308,259.17","134,599,011.71","213,407,138.39","538,273,165.94","33,194,038.11","184,443,607.10","325,176,407.57","535,668,213.24","67,199,912.18"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,958,521.86","4,424,945.42",,"2,349,177.82","1,824,041.10",,"4,473,916.58","339,169.79","1,106,607.16","1,465,918.51","2,594,034.83","645,911.53","1,319,694.24","1,669,031.55","3,986,205.69","868,019.46","2,293,257.25","3,586,966.86","7,247,672.28","1,142,762.40","3,443,633.45","5,950,307.60","9,582,598.24","1,072,283.13"
营业外收入,"19,618,166.49","22,716,792.54",,"22,890,031.51","9,544,378.81",,"21,363,704.69","5,741,478.96","11,395,371.28","15,713,681.06","26,587,069.23","3,151,857.13","8,092,730.41","10,855,620.49","16,699,873.36","869,685.51","1,133,447.94","7,319,790.69","1,573,087.19","975,013.83","1,105,298.75","2,474,566.25","3,260,862.70","1,445,560.36"
销售费用,"10,200,066.86","13,206,096.19",,"15,483,716.72","7,751,550.16",,"20,250,402.25","6,681,002.43","12,028,477.96","17,804,009.35","28,747,183.21","4,438,794.13","9,613,264.39","16,494,605.58","28,708,733.35","7,500,515.55","16,176,117.65","26,519,891.49","40,945,076.88","9,213,725.01","19,708,211.84","31,837,212.60","56,974,256.64","15,433,196.70"
减:营业外支出,"922,881.71","355,893.41",,"103,362.11","78,867.30",,"128,867.30","283,712.21","457,324.28","485,337.02","607,209.72","6,056.55","31,761.27","61,159.48","105,849.27","212,641.02","370,268.44","473,729.08","2,303,096.69","11,119.80","86,640.02","1,668,896.98","1,735,924.56","546,018.07"
管理费用,"27,689,871.89","36,352,128.73",,"40,216,743.14","22,902,347.42",,"54,363,666.97","12,233,064.16","24,359,502.12","37,680,189.82","56,141,280.76","15,596,381.77","34,785,765.25","53,532,818.21","86,516,718.24","22,735,805.61","45,968,936.38","77,718,191.27","119,221,016.89","28,786,053.28","57,851,765.42","93,013,294.61","158,473,036.62","39,617,056.30"
其中:非流动资产处置净损失,,,,,,,"72,267.30",,"109,470.15","109,470.15",,224.55,"25,143.27","50,553.01","55,242.36","7,020.74","16,877.37","120,338.01",,,,,,
