科目,2007年度,2008年度,2009年1-6月,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"1,618,952,006.25","1,406,383,135.78","551,019,335.14","1,284,326,640.86","871,778,558.95","1,385,723,214.90","1,832,222,857.18","458,205,783.68","934,574,227.54","1,398,416,837.35","1,797,975,286.01","503,661,461.10","925,646,686.85","1,469,684,676.71","1,900,336,844.20","663,171,846.93","1,216,337,410.56","2,058,815,117.70","2,739,933,275.71","637,231,821.12","1,354,070,548.05","2,327,319,611.89","3,256,806,239.68","852,344,970.33","1,416,180,908.07","2,018,210,215.12","2,477,368,541.08","463,350,599.37","1,094,846,806.86","1,673,602,767.63","2,209,144,410.86","587,077,531.15","1,223,704,393.34","1,858,842,641.61","2,082,875,026.25","529,069,128.51"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"6,572,225.43","3,316,715.21","1,170,189.66","2,491,313.82","488,690.58","488,690.58","1,970,392.91","1,835,372.85","2,792,035.09","3,868,221.00","5,070,152.21","5,634,168.95","3,145,559.95","6,023,329.98","5,895,482.29","3,145,701.56","12,528,180.51","25,989,818.76","36,250,366.81","12,574,179.42","18,983,616.37","33,779,065.47","47,797,998.54","16,964,889.85","28,782,348.05","44,706,376.59","51,653,724.96","11,481,063.23","15,754,849.28","22,058,610.38","29,618,355.32","6,248,110.98","19,328,978.56","38,365,725.45","40,204,310.40","16,129,233.03"
支付其他与投资活动有关的现金,,,,,,,"1,080,600.00",,"3,837,948.76","3,958,416.99","2,765,061.60",,,,,,,,,,,,"5,000,000.00",,,,,,,,,,,,,"250,000,000.00"
收到其他与经营活动有关的现金,"2,048,412.14","3,374,050.62","1,108,599.07","746,260.36","6,738,755.46","10,840,497.74","9,010,265.26","2,973,342.19","1,859,247.31","2,743,919.55","13,238,075.36","371,508.21","5,393,688.63","5,309,025.59","15,465,313.44","1,115,679.17","8,747,460.87","11,490,404.86","13,958,771.76","1,118,915.63","2,566,112.52","4,581,111.74","10,418,131.67","3,858,155.97","7,420,788.35","11,823,967.37","8,806,864.81","3,951,445.78","2,616,528.29","5,588,287.25","6,740,454.88","2,932,037.91","5,530,129.78","8,094,846.76","35,013,134.41","1,120,503.44"
投资活动现金流出小计,"40,700,920.25","48,497,109.81","15,523,540.14","34,040,425.22","52,092,857.10","98,782,211.38","232,136,245.03","96,070,312.05","162,577,301.49","242,359,924.02","320,705,786.70","18,587,148.31","114,588,895.21","199,799,459.73","214,889,448.98","38,232,133.87","81,680,080.48","143,729,614.05","174,305,841.52","54,887,812.95","89,944,048.48","132,233,983.33","140,006,285.20","11,794,225.63","17,287,611.84","28,043,036.34","55,409,609.31","55,158,942.01","66,669,061.51","123,581,233.84","150,401,172.55","60,531,826.44","72,875,997.67","100,495,256.62","362,216,736.96","306,925,923.38"
经营活动现金流入小计,"1,627,572,643.82","1,413,073,901.61","553,298,123.87","1,287,564,215.04","879,006,004.99","1,397,052,403.22","1,843,203,515.35","463,014,498.72","939,225,509.94","1,405,028,977.90","1,816,283,513.58","509,667,138.26","934,185,935.43","1,481,017,032.28","1,921,697,639.93","667,433,227.66","1,237,613,051.94","2,096,295,341.32","2,790,142,414.28","650,924,916.17","1,375,620,276.94","2,365,679,789.10","3,315,022,369.89","873,168,016.15","1,452,384,044.47","2,074,740,559.08","2,537,829,130.85","478,783,108.38","1,113,218,184.43","1,701,249,665.26","2,245,503,221.06","596,257,680.04","1,248,563,501.68","1,905,303,213.82","2,158,092,471.06","546,318,864.98"
投资活动产生的现金流量净额,"-40,619,920.25","-45,247,109.81","-15,494,456.91","-33,628,825.22","-47,018,820.79","-98,782,211.38","-229,681,676.03","-96,070,312.05","-162,577,301.49","-242,359,924.02","-315,626,786.70","-18,587,148.31","-114,588,895.21","-199,799,459.73","-214,889,448.98","-38,204,306.95","-81,290,701.11","-143,729,614.05","-174,230,841.52","-54,887,812.95","-89,944,048.48","-132,233,983.33","-139,911,285.20","-11,794,225.63","-17,273,041.26","-27,716,521.21","-54,984,609.31","-54,897,630.15","-66,186,811.03","-101,495,145.17","-122,224,258.55","-60,531,826.44","-42,824,297.67","-46,373,935.26","-110,952,945.57","-306,886,700.08"
购买商品、接受劳务支付的现金,"1,524,954,368.95","1,298,233,648.29","469,557,237.71","1,114,155,374.61","770,323,438.68","1,196,649,470.41","1,713,902,983.62","494,887,157.44","907,904,024.95","1,275,215,540.56","1,630,791,746.57","539,355,006.17","920,197,985.13","1,381,378,372.43","1,781,288,828.05","602,717,099.73","1,171,356,036.66","2,051,908,589.64","2,700,461,068.44","600,343,332.34","1,186,185,166.30","1,952,258,589.35","2,801,705,877.83","744,476,505.83","1,202,170,563.39","1,614,941,315.51","1,895,036,299.59","332,306,340.29","885,047,031.36","1,370,898,651.35","1,827,386,245.68","487,790,008.80","997,314,369.56","1,605,251,034.61","1,698,967,924.87","431,136,120.72"
吸收投资收到的现金,"40,007,598.00",,,,,"406,546,800.00","421,400,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,"417,074,991.42","418,274,991.42",
