科目,2007年度,2008年度,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"108,920,381.74","144,566,515.13","115,855,253.82","201,480,365.71","33,768,268.81","78,103,539.91","128,099,641.55","181,941,292.43","37,508,194.25","81,820,068.92","149,534,024.80","213,749,940.92","37,225,410.12","117,329,295.36","207,236,907.73","313,729,232.38","84,165,801.45","164,683,268.52","275,325,347.17","428,292,638.48","145,674,732.70","212,064,800.68","323,886,017.84","619,585,846.30","95,292,429.16","186,320,049.48","294,338,441.79","664,943,610.31","134,757,164.67","257,523,657.41","349,683,007.84","1,002,014,202.19","236,220,055.31","582,587,847.09","916,900,127.48","1,498,494,144.88","237,644,507.87"
二、营业利润,"10,347,648.90","25,649,394.73","22,289,421.76","35,781,321.01","4,410,935.67","16,022,551.71","25,051,049.50","29,136,640.83","2,870,821.19","14,102,277.73","18,650,277.36","28,574,704.38","4,211,984.61","14,124,258.23","25,388,124.68","37,335,704.26","6,541,685.58","17,489,746.79","27,968,095.36","37,089,219.52","18,463,983.99","22,592,973.40","33,769,503.28","65,704,461.88","3,963,475.34","7,562,531.34","15,225,538.17","85,717,310.05","2,752,334.59","6,857,793.12","2,607,934.70","54,620,831.84","10,087,475.88","44,615,463.05","98,419,466.15","200,635,063.42","45,492,843.13"
减:营业成本,"77,716,642.18","94,476,219.30","74,293,821.71","133,403,508.77","22,527,358.61","48,853,161.52","80,856,345.27","120,562,060.15","26,576,181.40","54,250,315.76","108,454,005.84","155,102,295.08","29,352,367.04","88,949,763.05","158,203,888.43","242,609,474.41","67,694,631.04","126,508,014.90","214,098,933.49","344,140,360.46","113,500,053.66","162,439,363.26","246,525,701.54","480,224,900.74","78,699,745.09","147,901,222.45","229,356,174.58","505,350,974.19","111,287,294.20","208,160,882.82","282,705,068.67","830,466,442.37","184,885,855.66","452,047,770.20","691,561,241.46","1,122,250,452.65","148,835,655.86"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"2,783,139.74","3,495,375.19","3,095,432.04","5,584,770.74","1,044,530.67","1,805,774.18","2,835,549.01","3,732,976.91","418,966.87","497,547.19","1,402,263.66","3,637,187.94","480,352.32","3,063,654.51","4,203,661.26","5,238,110.75","866,673.36","2,117,382.99","4,027,287.31","5,934,967.42","2,153,044.83","3,141,248.73","5,909,515.95","8,833,828.72","1,024,303.55","2,998,229.73","4,618,502.70","9,686,724.93","2,167,781.43","1,761,761.21","1,884,312.52","3,063,132.95","312,238.95","1,011,184.14","1,548,031.87","3,876,136.09","944,921.40"
营业外收入,"508,147.10","450,862.63","306,818.40","908,318.40",,"5,110.00","7,510.00","1,102,510.00","1,004,332.00","1,626,287.22","2,626,287.22","1,674,087.22",,"2,006,005.00","2,260,301.53","6,771,791.82",560.45,"674,524.39","2,744,216.94","1,198,815.83","2,882,120.54","2,997,492.92","3,512,598.14","5,913,835.95","474,922.56","4,203,368.97","5,089,788.39","11,691,600.51","3,626,685.76","24,123,850.48","38,332,659.82","57,762,893.57","10,313,215.01","12,677,681.30","834,142.08","5,173,744.42","62,691.27"
销售费用,"5,554,969.98","7,186,243.28","6,556,247.84","8,806,923.93","2,104,712.31","5,890,167.47","8,311,412.71","11,584,812.79","2,161,153.31","5,227,606.75","8,078,696.72","10,927,727.01","2,554,367.97","5,077,161.89","7,630,981.94","9,922,135.37","2,969,681.64","6,686,869.00","11,266,242.85","16,138,721.65","4,794,775.08","9,503,889.63","14,335,188.74","19,580,962.34","5,783,877.61","11,394,688.39","17,988,246.98","23,462,291.67","6,139,014.89","13,763,537.12","20,635,113.99","27,483,895.00","6,983,883.20","16,361,555.18","28,070,567.84","40,931,403.18","8,317,666.89"
减:营业外支出,"15,282.93","210,918.93","8,674.05","9,354.99","20,053.92","544,230.17","554,230.17","555,046.87",,"20,000.00","20,000.00","20,000.00","56,428.59","77,568.59","77,583.89","186,355.91","3,839.01","4,039.01","4,039.01","95,204.21","100,610.00","128,084.44","129,855.01","163,350.75",178.98,"101,706.53","233,496.38","236,001.53","2,760.92","436,944.86","454,855.11","389,225.94","1,242.13","276,553.34","495,317.86","686,495.92",167.10
管理费用,"8,830,737.41","14,375,560.41","8,913,224.66","16,777,048.73","3,029,057.12","5,560,375.36","11,613,584.07","17,227,970.12","4,263,521.85","8,744,699.69","12,889,306.79","18,001,260.27","3,558,392.82","7,747,258.40","13,497,854.83","18,048,038.20","7,265,725.56","13,896,803.04","21,178,466.57","29,432,487.16","8,319,370.28","16,415,256.57","24,169,049.69","40,925,429.93","8,672,988.97","18,004,579.68","29,162,063.76","50,657,927.97","12,007,082.61","25,538,273.45","38,945,886.83","79,943,662.55","27,848,012.18","51,145,087.71","86,935,723.02","129,505,251.40","34,738,404.92"
其中:非流动资产处置净损失,,150.00,"5,029.26","5,029.26",,,"24,230.17","25,046.87",,,,,"55,028.59","57,568.59","56,183.89","64,905.91","3,839.01","3,839.01","3,839.01","48,317.21",610.00,"2,105.44","3,876.01","9,296.76",15.00,15.00,15.00,15.00,,"199,185.86","211,046.39","203,607.68",140.17,"1,598.17","20,724.57",,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"1,063,380.48","97,118.35","283,363.24","461,681.14","-37,540.42","-1,545,555.26","-2,944,960.42","-4,133,004.21","-249,425.56","-2,318,011.88","-2,339,564.72","-6,100,682.13","-1,928,166.11","-1,433,901.61","-3,312,028.20","-5,403,426.79","-1,998,637.72","-4,641,748.10","-5,553,202.80","-6,765,477.98","-590,463.88","-1,768,704.39","-2,591,487.68","-3,749,318.48","-716,787.15","-1,083,774.31","-1,216,980.45","-173,834.67","302,781.10","1,930,484.48","4,366,835.10","8,304,902.15","6,440,600.01","14,122,175.99","23,686,833.56","33,137,151.35","10,317,926.97"
三、利润总额,"10,840,513.07","25,889,338.43","22,587,566.11","36,680,284.42","4,390,881.75","15,483,431.54","24,504,329.33","29,684,103.96","3,875,153.19","15,708,564.95","21,256,564.58","30,228,791.60","4,155,556.02","16,052,694.64","27,570,842.32","43,921,140.17","6,538,407.02","18,160,232.17","30,708,273.29","38,192,831.14","21,245,494.53","25,462,381.88","37,152,246.41","71,454,947.08","4,438,218.92","11,664,193.78","20,081,830.18","97,172,909.03","6,376,259.43","30,544,698.74","40,485,739.41","111,994,499.47","20,399,448.76","57,016,591.01","98,758,290.37","205,122,311.92","45,555,367.30"
