科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"397,130,944.08","459,567,063.50","578,667,690.99","289,907,993.71","439,027,045.17","644,977,952.50","165,485,703.35","327,062,346.70","580,347,911.18","866,600,734.66","212,700,206.38"
取得子公司及其他营业单位支付的现金净额,,,,,,,,"7,073,144.60",,"75,674,458.04",
收到的税费返还,,,,,,,,,,,
支付其他与投资活动有关的现金,"2,550,000.00",,,,,,"7,865,354.43","6,000,000.00","6,000,000.00",,"8,500,000.00"
收到其他与经营活动有关的现金,"15,791,614.94","4,832,207.06","16,420,218.58","1,948,332.26","1,948,332.26","7,638,192.23","3,041,385.18","12,373,772.55","15,254,294.23","19,928,790.12","214,259.50"
投资活动现金流出小计,"36,898,022.30","49,533,071.33","40,468,408.04","24,071,587.78","45,868,612.52","69,037,503.43","40,014,717.76","98,518,319.07","208,505,862.51","249,185,139.82","66,394,474.80"
经营活动现金流入小计,"412,922,559.02","464,399,270.56","595,087,909.57","291,856,325.97","440,975,377.43","652,616,144.73","168,527,088.53","339,436,119.25","595,602,205.41","886,529,524.78","212,914,465.88"
投资活动产生的现金流量净额,"-34,338,021.30","-49,490,156.69","-40,468,408.04","-24,071,587.78","-45,868,612.52","-69,037,503.43","-40,014,367.76","-98,503,679.81","-208,491,223.25","-248,593,294.54","-66,394,474.80"
购买商品、接受劳务支付的现金,"263,949,684.91","295,783,523.94","392,024,143.06","202,751,816.23","362,829,771.70","500,307,948.47","132,017,527.87","273,093,004.65","483,613,444.82","725,086,404.77","181,253,336.29"
吸收投资收到的现金,,"2,450,000.00",,,,"315,441,371.04","4,900,000.00","4,905,000.00","4,905,000.00","10,720,000.00","1,470,001.00"
支付给职工以及为职工支付的现金,"27,452,777.91","35,160,517.22","44,937,421.97","32,528,552.83","33,472,508.21","50,109,231.96","25,118,257.70","42,095,598.05","53,402,965.25","81,865,627.75","33,230,537.85"
