科目,2007年1-6月,2007年度,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
三、利润总额,"63,809,058.05","92,610,254.90","56,402,052.73","67,469,498.52","82,708,102.88","22,964,268.48","51,241,447.24","68,552,539.64","71,974,821.50","28,760,282.61","51,889,057.67","72,289,691.23","82,470,073.53","68,871,774.85","106,079,222.59","147,916,434.03","190,866,267.19","80,459,914.78","118,437,048.07","148,475,163.08","200,983,884.64","44,146,979.30","27,859,833.26","-47,013,664.81","-178,975,847.85","61,985,860.94","67,613,912.64","72,543,252.29","53,133,067.50","18,661,903.98","-31,495,104.41","-107,525,534.82","-312,537,858.74","63,085,193.61","78,913,622.56","226,883,739.28","39,176,398.88","50,975,750.90","64,880,601.03","27,774,154.73"
资产减值损失,"-932,158.87","-916,951.27","31,800.08","-33,939.10","1,977,225.88","-27,756.71","-200,671.78","210,218.60","104,011.06","-24,184.60","-306,807.08","94,341.76","19,944,782.02","-317,768.45","-813,974.00","-1,001,904.66","682,780.88","-975,204.95","29,223.93","867,651.39","12,364,303.80","-12,541.70","-576,144.99","196,865.66","18,218,961.97","-268,133.27","-2,066,613.38","-344,085.34","-1,329,745.67","3,813,996.55","1,264,745.34","2,571,632.59","3,980,325.87","-4,923,797.70","-5,377,417.33","42,766,905.13","196,796,415.32","-6,054,483.37","-8,295,185.72","-3,406,603.99"
减:所得税,"11,528,840.16","19,834,649.90","12,227,705.62","14,150,402.16","17,739,294.75","4,962,101.97","10,842,033.80","13,801,004.77","14,113,795.33","6,603,532.03","11,178,489.45","15,185,310.17","17,817,898.12","18,319,255.76","29,027,473.07","39,828,394.13","52,620,946.01","20,920,931.47","31,134,474.24","36,586,645.36","50,019,177.29","14,301,829.34","13,475,063.89","7,754,276.31","73,832,953.49","18,698,563.47","27,102,517.46","34,169,380.67","33,290,637.17","4,950,511.02","-958,382.09","1,997,975.96","81,914,159.85","18,739,100.14","29,055,885.25","16,604,403.68","-9,773,113.78","14,468,798.27","30,492,453.03","38,546,726.38"
加:公允价值变动净收益,"-8,999,791.50","-8,999,791.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,"38,371,807.63","38,371,807.63",,"-3,250,076.73","-3,250,076.73",,,,,,,,"987,213.54",,,,,,,,,,,,"1,000,000.00",,,"1,800,000.00","4,239,096.02","19,500,000.00","19,500,000.00","19,500,000.00","19,500,000.00",,,"208,353,452.07","208,167,412.16","1,811,287.66","2,800,145.61","7,097,771.18"
四、净利润,"52,280,217.89","72,775,605.00","44,174,347.11","53,319,096.36","64,968,808.13","18,002,166.51","40,399,413.44","54,751,534.87","57,861,026.17","22,156,750.58","40,710,568.22","57,104,381.06","64,652,175.41","50,552,519.09","77,051,749.52","108,088,039.90","138,245,321.18","59,538,983.31","87,302,573.83","111,888,517.72","150,964,707.35","29,845,149.96","14,384,769.37","-54,767,941.12","-252,808,801.34","43,287,297.47","40,511,395.18","38,373,871.62","19,842,430.33","13,711,392.96","-30,536,722.32","-109,523,510.78","-394,452,018.59","44,346,093.47","49,857,737.31","210,279,335.60","48,949,512.66","36,506,952.63","34,388,148.00","-10,772,571.65"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
归属于母公司所有者的净利润,"52,534,950.18","73,017,287.16","43,612,721.92","52,815,403.37","64,467,425.65","18,002,166.51","40,399,413.44","56,249,935.82","61,257,348.58","24,750,763.36","46,263,134.05","65,848,269.66","77,198,572.46","52,569,454.64","80,397,830.82","113,298,585.21","146,178,473.11","60,840,821.12","90,591,899.91","117,131,330.42","159,534,137.24","31,072,409.05","17,598,027.18","-49,387,386.28","-225,101,938.71","43,855,636.52","46,611,673.26","47,727,823.75","31,705,674.91","17,047,687.81","-23,808,336.03","-98,376,490.45","-373,935,073.32","47,025,287.59","48,719,969.91","211,901,083.15","54,383,644.92","39,338,869.19","41,825,883.98","1,268,736.50"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,"-254,732.29","-241,682.16","561,625.19","503,692.99","501,382.48",,,"-1,498,400.95","-3,396,322.41","-2,594,012.78","-5,552,565.83","-8,743,888.60","-12,546,397.05","-2,016,935.55","-3,346,081.30","-5,210,545.31","-7,933,151.93","-1,301,837.81","-3,289,326.08","-5,242,812.70","-8,569,429.89","-1,227,259.09","-3,213,257.81","-5,380,554.84","-27,706,862.63","-568,339.05","-6,100,278.08","-9,353,952.13","-11,863,244.58","-3,336,294.85","-6,728,386.29","-11,147,020.33","-20,516,945.27","-2,679,194.12","1,137,767.40","-1,621,747.55","-5,434,132.26","-2,831,916.56","-7,437,735.98","-12,041,308.15"
