科目,2007年度,2008年度,2009年度,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"392,666,531.80","682,811,676.49","492,493,483.48","527,862,225.84","774,461,228.08","208,993,336.96","443,205,841.70","597,113,746.65","644,041,086.71","110,383,985.44","346,384,957.59","583,685,333.13","414,741,516.05","160,327,936.33","407,797,166.50","661,137,036.16","585,101,654.64","204,591,995.51","542,685,630.45","827,467,727.72","723,550,738.99","144,348,799.56","549,972,680.66","828,459,430.77","655,019,132.27","194,852,192.11","354,628,655.04","601,682,129.69","626,207,330.21","191,972,780.04","429,920,539.58","647,276,121.58","838,872,804.78","190,872,141.40","369,435,895.66","594,990,925.46","800,001,657.22","332,394,826.06"
取得子公司及其他营业单位支付的现金净额,,"2,417,099.46",,,,,,,,,,,,,,,,,,,,,,,"70,000,000.00",,,"10,000,000.00","10,000,000.00",,,,,,,,,
收到的税费返还,,,,,,,,,,,,,"4,444,000.00",,,,,,,,,,,,"5,281,790.07",,,,"4,907,344.18",,"1,047.94","1,047.94","840,964.60","8,568.28","976,961.02","1,416,547.02","1,764,067.74","2,549,869.17"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,000,000.00",,,,,,
收到其他与经营活动有关的现金,"6,434,754.21","10,722,435.71","7,797,153.88","1,911,493.02","1,219,871.74","749,880.21","1,188,344.48","3,878,420.88","14,827,417.87","13,700,472.26","17,093,904.01","20,424,787.22","81,814,692.54","15,801,340.74","21,511,300.39","6,329,325.85","23,776,967.62","11,304,184.06","3,535,308.27","11,526,265.65","10,283,393.90","13,722,640.00","4,135,659.24","43,963,784.92","24,323,676.90","174,081,657.48","15,335,881.28","68,908,595.94","6,395,818.27","22,174,391.69","56,724,846.04","66,758,365.15","22,382,937.32","8,054,379.60","16,847,090.26","38,735,460.67","6,304,664.75","8,737,388.96"
投资活动现金流出小计,"57,768,064.58","145,146,997.18","133,242,337.07","42,830,987.46","50,172,772.13","7,383,528.90","16,007,864.09","28,881,259.73","42,518,298.43","15,357,102.97","25,586,353.24","38,519,034.50","57,031,553.03","12,206,306.85","136,153,555.85","385,288,496.45","798,445,632.77","11,547,809.94","414,835,065.73","583,625,449.96","805,757,102.62","281,079,166.74","456,157,956.93","783,915,981.66","966,155,437.57","14,951,700.99","401,904,911.09","593,506,993.93","771,814,769.14","4,794,524.60","6,138,391.65","7,484,009.95","1,140,441,094.52","148,161,265.00","302,917,589.67","411,543,436.86","1,869,334,159.04","186,866,509.73"
经营活动现金流入小计,"399,101,286.01","693,534,112.20","500,290,637.36","529,773,718.86","775,681,099.82","209,743,217.17","444,394,186.18","600,992,167.53","658,868,504.58","124,084,457.70","363,478,861.60","604,110,120.35","501,000,208.59","176,129,277.07","429,308,466.89","667,466,362.01","608,878,622.26","215,896,179.57","546,220,938.72","838,993,993.37","733,834,132.89","158,071,439.56","554,108,339.90","872,423,215.69","684,624,599.24","368,933,849.59","369,964,536.32","670,590,725.63","637,510,492.66","214,147,171.73","486,646,433.56","714,035,534.67","862,096,706.70","198,935,089.28","387,259,946.94","635,142,933.15","808,070,389.71","343,682,084.19"
投资活动产生的现金流量净额,"-53,767,261.90","-47,131,037.61","-60,162,855.01","-42,750,137.12","-50,016,203.76","-7,383,528.90","-16,007,864.09","-28,881,259.73","-42,518,298.43","-14,747,654.50","-24,375,621.70","-37,303,883.36","-53,403,855.29","-12,206,306.85","-135,991,692.89","-159,643,301.17","-258,605,853.17","-9,487,570.51","-16,990,194.97","-30,761,695.84","11,563,399.97","137,460.82","90,705,887.54","-33,208,504.50","36,816,090.67","-11,504,719.74","-22,231,168.67","-44,478,465.27","50,413,507.83","73,838,208.61","71,983,385.37","70,652,217.05","69,484,308.93","-863,079.05","-8,961,443.92","-1,088,688.99","-35,526,043.99","-46,289,782.22"
购买商品、接受劳务支付的现金,"309,844,678.91","558,971,716.57","379,726,231.82","460,475,486.28","625,464,653.28","287,548,072.62","507,480,877.88","645,999,873.48","626,962,541.58","77,377,938.66","258,876,574.63","462,417,675.81","315,172,003.56","137,421,306.10","363,198,103.96","567,746,293.97","443,606,852.94","176,367,940.52","475,436,774.42","745,193,193.66","591,990,706.72","82,841,779.92","438,818,731.15","708,089,922.63","514,590,674.89","136,932,709.77","243,431,363.43","530,126,639.61","425,518,251.32","184,292,450.11","397,820,031.65","581,388,237.51","667,060,979.49","92,562,031.83","275,140,752.73","462,502,656.99","597,383,968.77","263,233,106.22"
吸收投资收到的现金,"20,000,000.00","30,000,000.00",,"20,000,000.00","20,000,000.00",,"551,608,000.00","551,608,000.00","559,860,000.00",,,,,"2,000,000.00","2,000,000.00","2,000,000.00","2,000,000.00",,,,,,,,,,,,,,,,,,,,,
