科目,2014年度,2015年度,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"289,409,962.36","270,064,722.68","438,294,033.69","67,957,114.05","173,348,972.39","308,635,253.32","391,018,189.28","88,172,057.67","197,560,122.22","430,818,240.44","692,768,819.10","139,307,326.20"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,"108,457,212.29","118,457,212.29","138,879,015.01",
收到的税费返还,"185,893.92","1,542,297.50","15,818,420.97","963,344.92","2,899,385.53","5,601,008.26","10,283,544.94","4,941,459.16","7,789,575.00","10,468,319.29","14,162,085.44","1,798,626.07"
支付其他与投资活动有关的现金,,,"685,195.73",,,,,,"425,000.00","1,010,000.00","1,510,000.00","212,000.00"
收到其他与经营活动有关的现金,"9,529,200.41","25,534,960.17","40,146,011.74","7,261,750.85","12,673,253.17","33,341,506.95","42,262,311.74","7,989,613.95","25,107,535.25","42,647,111.29","38,702,614.40","8,095,718.94"
投资活动现金流出小计,"104,782,931.39","75,970,666.03","55,285,228.76","15,147,043.46","93,280,116.54","156,202,680.69","173,110,596.56","84,375,713.07","277,338,970.94","357,649,781.61","448,860,783.71","47,523,043.93"
经营活动现金流入小计,"299,125,056.69","297,141,980.35","494,258,466.40","76,182,209.82","188,921,611.09","347,577,768.53","443,564,045.96","101,103,130.78","230,457,232.47","483,933,671.02","745,633,518.94","149,201,671.21"
投资活动产生的现金流量净额,"-104,780,872.16","-75,965,666.03","-50,057,910.86","-15,147,043.46","-93,221,116.54","-156,143,680.69","-173,051,596.56","-84,375,713.07","-277,338,970.94","-357,644,781.61","-448,744,352.68","-38,803,228.95"
购买商品、接受劳务支付的现金,"142,702,049.44","163,046,582.56","222,412,965.62","66,307,519.06","134,817,262.66","275,242,278.37","389,613,488.17","147,554,562.96","214,824,160.27","373,875,274.42","452,707,355.25","95,774,573.42"
吸收投资收到的现金,"3,000,000.00","80,000,000.00","200,000.00","253,021,860.00","253,021,860.00","255,601,860.00","257,917,940.00",,"8,478,000.00","23,478,000.00","28,478,000.00",
