科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"386,780,343.22","387,674,701.08","669,848,732.55","378,504,542.93","523,501,486.68","768,714,137.37","131,816,860.72","312,124,383.22","565,632,102.84","772,144,222.89","177,805,852.61","398,752,583.63","744,904,240.78","977,384,634.25","165,866,571.53","469,782,977.06","854,504,820.42","887,648,790.78","251,843,595.31","428,446,353.07","631,881,126.20","779,293,338.18","284,001,879.10","438,187,224.75","626,251,022.63","951,913,244.25","361,367,932.62","741,095,169.96","1,082,615,751.79","1,513,868,019.12"
取得子公司及其他营业单位支付的现金净额,,,,,,,,"4,000,000.00","34,000,000.00",,,,,,,"13,940,000.00","14,540,000.00",,"14,025,000.00","14,025,000.00","18,050,000.00","28,050,000.00",,,,"100,868,750.00",,"110,500,000.00","110,500,000.00",
收到的税费返还,"4,765,972.01","423,121.26","1,623,278.21","727,434.98","727,434.98","470,387.01","13,457.30","259,553.22","259,553.22",,"25,154.34","806,236.16","806,236.16","844,656.98","4,815,616.38","9,339,359.39","9,352,555.54","5,865,946.78","8,024,654.58","5,242,894.43","6,401,574.10","13,852,738.99","675,462.08","7,043,767.83","13,604,603.18","13,924,373.01","728,689.35","3,484,561.69","3,706,222.16","15,370,838.55"
支付其他与投资活动有关的现金,,,,"100,000.00","7,900,000.00","7,348,620.39",,,,"4,400,273.49",,,,,,,,"814,555,000.00",,"37,500,000.00","37,500,000.00","191,438,379.52",,"200,000,000.00","202,868,750.00","458,941,576.00","140,000,000.00","140,000,000.00","140,000,000.00","2,229,305,098.65"
收到其他与经营活动有关的现金,"41,205,787.44","52,388,796.86","29,687,282.11","17,865,839.31","47,879,665.35","56,759,802.21","28,608,704.96","41,125,616.40","55,094,184.92","82,239,672.64","12,154,210.00","35,807,498.47","35,801,088.47","51,457,377.43","8,613,566.06","36,524,991.90","39,339,221.81","42,698,168.52","10,255,794.75","38,230,015.96","49,744,896.77","37,007,204.51","14,433,387.98","34,056,005.78","45,892,486.45","93,410,660.46","26,895,986.92","269,093,625.99","490,974,469.28","91,070,519.60"
投资活动现金流出小计,"27,826,198.13","56,026,258.85","193,788,115.32","83,664,768.20","142,171,764.65","204,142,358.46","64,257,422.49","83,647,881.97","120,863,556.59","120,233,814.74","34,284,097.72","27,722,084.88","49,392,675.88","125,061,948.82","1,659,963.24","26,203,666.53","30,193,951.49","843,354,910.73","15,455,509.63","58,785,143.83","65,112,594.83","241,787,472.80","1,473,322.50","203,920,748.43","210,146,042.51","848,273,563.94","142,749,654.36","804,679,484.93","3,138,627,547.48","2,290,962,423.82"
经营活动现金流入小计,"432,752,102.67","440,486,619.20","701,159,292.87","397,097,817.22","572,108,587.01","825,944,326.59","160,439,022.98","353,509,552.84","620,985,840.98","854,383,895.53","189,985,216.95","435,366,318.26","781,511,565.41","1,029,686,668.66","179,295,753.97","515,647,328.35","903,196,597.77","936,212,906.08","270,124,044.64","471,919,263.46","688,027,597.07","830,153,281.68","299,110,729.16","479,286,998.36","685,748,112.26","1,059,248,277.72","388,992,608.89","1,013,673,357.64","1,577,296,443.23","1,620,309,377.27"
投资活动产生的现金流量净额,"-27,826,198.13","-56,026,258.85","-190,768,115.32","-83,664,768.20","-134,271,764.65","-199,137,358.46","-64,257,422.49","-83,647,881.97","-107,863,556.59","-107,233,814.74","-34,284,097.72","-24,722,084.88","-4,262,675.88","-58,511,948.82","-1,659,963.24","-26,203,666.53","-30,193,951.49","-12,946,588.20","-15,455,509.63","-21,285,143.83","-27,152,594.83","-49,889,093.28","-1,473,322.50","-203,885,748.43","-210,060,771.01","-705,805,818.13","-142,749,654.36","-600,055,127.45","-1,700,145,005.92","-2,010,862,842.17"
购买商品、接受劳务支付的现金,"323,882,378.75","326,185,317.82","472,715,120.19","273,095,623.86","385,643,297.15","521,097,738.61","142,386,303.56","226,829,237.83","390,710,575.14","529,414,855.71","169,295,592.19","267,214,291.91","518,146,353.72","737,408,404.06","116,801,891.40","426,904,372.88","690,392,390.41","703,369,154.15","197,268,321.40","347,512,676.84","520,813,644.56","576,680,895.56","263,026,640.50","372,797,737.99","456,368,835.72","648,910,805.55","219,599,304.10","438,774,630.96","628,701,419.24","813,632,655.65"
吸收投资收到的现金,"120,000,000.00","3,901,600.00","370,199,000.00","1,150,000.00","1,150,000.00","1,058,765,354.69",,,,,,,,,,,,,,,,,,,"2,868,750.00","1,789,599,980.38",,,,
支付给职工以及为职工支付的现金,"50,264,108.65","36,677,397.07","64,192,697.35","48,254,223.25","69,897,059.61","108,299,478.97","35,559,841.70","55,269,195.62","95,203,261.66","132,488,572.57","39,206,147.87","73,645,970.93","106,007,742.00","145,172,344.45","34,706,708.26","59,343,046.95","76,928,673.87","134,538,245.22","30,045,482.84","55,539,363.17","72,270,040.93","155,816,716.60","34,424,976.04","30,818,177.19","53,400,741.27","166,531,200.84","42,758,882.16","203,619,034.72","334,270,183.31","516,215,679.36"
取得借款收到的现金,"215,067,166.63","190,000,000.00","95,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","50,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,,,,,,,,"3,000,000.00","7,500,000.00","88,500,000.00","1,000,000.00","5,350,000.00","41,327,000.00","200,850,000.00","45,000,000.00","66,750,000.00","69,350,000.00","551,250,000.00"
支付的各项税费,"17,008,432.96","31,980,927.09","24,392,478.25","13,097,219.58","22,341,260.98","28,538,273.46","16,586,234.91","24,499,740.70","33,801,989.39","42,800,411.87","18,850,587.70","32,446,260.81","43,107,094.14","49,342,186.65","10,851,662.54","23,525,955.57","39,443,297.53","40,376,599.40","10,515,015.21","13,034,332.79","21,031,978.14","37,460,683.34","12,365,170.83","5,868,193.37","11,408,033.90","42,773,461.03","15,197,005.09","68,982,737.57","93,441,840.67","117,865,718.85"
收到其他与筹资活动有关的现金,"3,200,000.00",,,,,"7,182,645.31",,,,"1,000,000.00",,,,"1,808,853.11",,,,,,,,"49,516,798.66",,,,"22,297,534.29",,,,
支付其他与经营活动有关的现金,"31,512,823.73","23,035,700.79","41,762,252.90","25,743,749.04","62,887,872.44","52,395,579.38","21,544,133.36","26,585,990.88","49,667,417.86","43,029,827.36","23,839,445.30","35,731,531.96","57,179,928.30","84,437,992.60","18,517,417.03","48,483,288.31","56,978,221.77","60,887,455.72","15,012,415.14","49,033,762.36","60,775,043.84","80,636,336.36","15,708,362.81","45,452,792.20","59,633,261.75","69,235,212.33","15,227,804.30","325,097,390.79","667,474,783.10","281,330,591.15"
筹资活动现金流入小计,"338,267,166.63","193,901,600.00","465,199,000.00","6,150,000.00","6,150,000.00","1,070,948,000.00","50,000,000.00","100,000,000.00","100,000,000.00","496,864,000.00",,,,"1,808,853.11",,,,,,"3,000,000.00","7,500,000.00","138,016,798.66","1,000,000.00","5,350,000.00","44,195,750.00","2,012,747,514.67","45,000,000.00","66,750,000.00","69,350,000.00","551,250,000.00"
经营活动现金流出小计,"422,667,744.09","417,879,342.77","603,062,548.69","360,190,815.73","540,769,490.18","710,331,070.42","216,076,513.53","333,184,165.03","569,383,244.05","747,733,667.51","251,191,773.06","409,038,055.61","724,441,118.16","1,016,360,927.76","180,877,679.23","558,256,663.71","863,742,583.58","939,171,454.49","252,841,234.59","465,120,135.16","674,890,707.47","850,594,631.86","325,525,150.18","454,936,900.75","580,810,872.64","927,450,679.75","292,782,995.65","1,036,473,794.04","1,723,888,226.32","1,729,044,645.01"
偿还债务支付的现金,"211,094,094.21","142,700,000.00","153,700,000.00","500,000.00","500,000.00","130,000,000.00",,"105,000,000.00","105,000,000.00","105,000,000.00",,,,,,,,,,"3,500,000.00","3,500,000.00","84,500,000.00",,"7,500,000.00","34,650,000.00","51,000,000.00","7,150,000.00","45,000,000.00","45,000,000.00","652,867,698.44"
