科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"110,206,722.89","150,057,526.29","148,444,155.32","68,590,576.29","569,146,656.12","639,572,490.86","354,420,075.09","389,556,925.64","422,816,379.06"
短期借款,"174,023,219.64","211,015,827.50","228,000,000.00","248,500,000.00","20,000,000.00",,,,
交易性金融资产,,,,,,,,,
交易性金融负债,,,,,,,,,
应收票据,"37,940,052.48","12,014,781.50","25,904,929.44","37,262,707.57","12,832,801.00","31,795,303.30","16,986,331.30","29,988,352.94","7,783,282.09"
应付票据,"112,061,750.55","81,616,265.50","146,080,589.94","141,662,298.42","136,061,234.82","157,343,689.85","132,963,095.45","102,117,230.43","86,082,595.43"
应收账款,"212,201,514.56","250,075,789.82","303,296,858.18","347,243,465.75","367,065,032.91","383,036,254.32","367,167,094.37","376,324,690.87","361,761,162.39"
应付账款,"77,796,951.15","91,745,796.35","96,824,721.42","133,311,704.22","116,581,603.45","115,315,967.96","105,762,231.55","111,429,081.24","135,787,844.71"
预付款项,"19,226,136.04","87,772,233.25","41,313,403.40","41,685,305.32","46,665,280.77","32,346,615.57","56,821,243.30","34,911,385.67","75,903,672.28"
预收款项,"6,209,022.09","6,015,578.59","7,230,665.74","6,940,901.59","9,519,591.06","14,597,412.32","11,289,783.96","5,165,882.74","8,931,627.31"
其他应收款,"5,644,756.08","5,851,074.15","17,688,537.60","6,472,681.17","4,196,429.28","3,585,395.22","4,878,269.58","4,991,447.08","8,058,071.47"
应付职工薪酬,"2,233,840.28","1,950,232.12","822,019.53","749,912.66","772,960.02","548,911.62","1,017,171.86","685,786.13","751,439.41"
应收关联公司款,,,,,,,,,
应交税费,"18,429,256.19","14,032,826.02","16,964,239.51","9,616,355.58","10,505,651.50","22,913,023.46","5,116,148.37","16,636,526.50","13,343,984.10"
应收利息,,,,,,"282,087.80","1,234,988.17","1,175,720.46","1,210,951.81"
应付利息,"641,521.88","377,637.07","307,366.25","360,729.44","26,583.36",,,,
应收股利,"679,150.32","728,130.50",,,,"1,164,352.12",,,
应付股利,,,,,,,,"22,169,782.20","1,891,305.00"
存货,"185,652,132.68","179,773,194.87","168,731,952.74","213,965,890.74","224,598,559.55","187,532,015.29","222,730,672.49","182,695,476.75","198,806,793.79"
其他应付款,"5,316,515.62","3,151,520.81","1,106,213.20","1,269,902.85","3,227,770.51","1,982,545.39","4,782,608.05","73,277,037.78","77,409,487.08"
其中:消耗性生物资产,,,,,,,,,
应付关联公司款,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,
一年内到期的非流动负债,,,,"1,870,000.00",,,,,
其他流动资产,,,,"305,371.42","9,989.67","793,229.37","229,133,694.42","240,331,007.34","224,794,657.89"
其他流动负债,,,,,,"4,619.23","4,619.23","4,619.23","4,619.23"
流动资产合计,"571,550,465.05","686,272,730.38","705,379,836.68","715,525,998.26","1,224,514,749.30","1,280,107,743.85","1,253,372,368.72","1,259,975,006.75","1,301,134,970.78"
流动负债合计,"396,712,077.40","409,905,683.96","497,335,815.59","544,281,804.76","296,695,394.72","312,706,169.83","260,935,658.47","331,485,946.25","324,202,902.27"
可供出售金融资产,"200,000.00",,,,,,,,
长期借款,,,"12,147,442.00","22,658,230.00",,,,,
持有至到期投资,,,,,,,,,
应付债券,,,,,,,,,
长期应收款,,,,,,,,,
长期应付款,,,,,,,,,
长期股权投资,"2,387,024.48","2,828,349.07","3,023,246.10","3,784,221.58","4,021,966.88","3,167,280.78","3,532,761.99","2,532,940.81","2,532,940.81"
专项应付款,,,,,,,,,
投资性房地产,,,,,,"7,230,485.40","11,520,681.01","11,337,571.70","11,204,013.92"
预计负债,,,,,,,,,
固定资产,"398,356,835.59","361,822,437.05","341,115,305.27","416,116,253.95","487,552,913.43","497,586,982.56","493,877,617.51","497,272,135.35","490,266,974.95"
递延所得税负债,,,,,,,,,
在建工程,"3,517,138.98","5,347,685.08","116,193,251.23","77,916,564.23","4,902,929.32","7,801,052.14","7,145,592.35","3,103,257.96","3,286,345.96"
其他非流动负债,,,,,,,,,
工程物资,,,,,,,,,
非流动负债合计,"5,241,666.81","4,901,666.85","21,809,108.89","27,049,896.91","4,773,333.58","4,688,333.58","4,590,833.58","4,493,333.58","4,395,833.58"
固定资产清理,,,,,,,,,
负债合计,"401,953,744.21","414,807,350.81","519,144,924.48","571,331,701.67","301,468,728.30","317,394,503.41","265,526,492.05","335,979,279.83","328,598,735.85"
