科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"185,383,033.73","272,932,025.57","322,801,965.18","35,040,045.52","77,375,083.65","168,183,631.02","324,304,921.61","72,656,494.40","134,404,591.45","288,012,026.09","507,910,910.26","80,332,795.49","233,183,501.85","378,170,915.53","726,435,713.12","237,086,454.49","514,781,865.93","666,676,377.25","1,086,170,484.14","154,091,230.83","514,866,275.48","834,047,264.40","1,854,900,806.08","461,363,445.45","1,151,222,955.93","1,492,601,626.79","3,898,007,457.53","651,063,681.80","4,108,614,033.70","7,537,710,349.64","15,065,474,509.79","4,600,499,807.54","8,503,274,898.89","12,520,029,604.01"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,493,813.51","3,872,293.42","18,634,702.65","18,634,702.65","18,634,702.65",,,
收到的税费返还,,,,,,,"66,035.57",,,,,,"1,505,532.52","1,505,532.52","1,505,532.52",,,,,,,,,,,"284,621.29",,,"4,331,755.30","4,331,755.30","4,331,755.30",,,"207,574.31"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,"32,733,062.46","40,927,208.07","40,927,208.07","40,927,208.07",,,
收到其他与经营活动有关的现金,"70,537,595.34","177,795,772.09","41,632,098.68","3,946,101.29","6,415,040.45","9,266,349.61","16,693,765.30","3,245,447.75","6,538,602.87","10,837,105.48","13,907,735.09","2,430,246.51","5,583,588.33","9,466,951.53","14,221,667.42","1,770,375.74","5,424,095.98","9,778,223.71","31,239,166.17","2,833,724.04","30,162,489.64","90,923,098.73","207,737,617.26","15,527,042.71","38,164,046.83","80,485,573.03","267,512,293.33","11,648,292.75","24,563,810.99","90,546,842.79","122,986,103.22","21,865,423.16","60,869,936.28","82,199,348.22"
投资活动现金流出小计,"54,030,166.01","99,982,927.95","14,425,981.26","5,230,372.68","11,941,169.22","17,356,817.19","31,810,135.11","24,406,895.95","85,323,380.50","162,867,357.32","244,786,529.23","14,948,022.25","35,369,928.92","79,257,238.58","135,829,782.54","39,139,580.23","152,928,754.60","269,701,462.02","414,961,245.21","151,766,866.23","279,561,614.77","426,815,524.23","589,522,191.28","80,220,897.76","107,736,192.41","154,280,286.05","262,339,486.76","85,595,461.71","218,513,376.80","238,098,015.05","344,882,288.79","38,895,655.27","862,779,291.36","235,300,444.60"
经营活动现金流入小计,"255,920,629.07","450,727,797.66","364,434,063.86","38,986,146.81","83,790,124.10","177,449,980.63","341,064,722.48","75,901,942.15","140,943,194.32","298,849,131.57","521,818,645.35","82,763,042.00","240,272,622.70","389,143,399.58","742,162,913.06","238,856,830.23","520,205,961.91","676,454,600.96","1,117,409,650.31","156,924,954.87","545,028,765.12","924,970,363.13","2,062,638,423.34","476,890,488.16","1,189,387,002.76","1,573,371,821.11","4,165,519,750.86","662,711,974.55","4,137,509,599.99","7,632,588,947.73","15,192,792,368.31","4,622,365,230.70","8,564,144,835.17","12,602,436,526.54"
投资活动产生的现金流量净额,"-47,471,481.51","-99,982,427.95","-14,173,543.90","-5,230,372.68","-11,941,169.22","-17,356,817.19","-31,810,135.11","-24,406,895.95","-85,252,380.50","-162,790,357.32","-244,666,529.23","-14,947,591.85","-35,369,928.92","-79,257,238.58","-135,608,792.54","-39,139,580.23","-152,928,754.60","-269,679,462.02","-412,990,453.64","-151,756,866.23","-279,541,114.77","-426,795,024.23","-589,501,691.28","-76,705,591.10","-73,959,626.85","-120,454,939.67","-229,964,953.89","-85,595,461.71","-218,445,376.80","-237,969,015.05","-344,753,288.79","-38,895,655.27","-831,837,961.73","75,372,231.21"
购买商品、接受劳务支付的现金,"129,196,323.88","217,897,826.42","149,282,011.62","39,698,106.25","87,232,499.02","178,033,961.23","240,659,294.29","70,229,537.34","180,844,573.21","361,183,852.60","544,081,279.39","147,520,924.22","271,014,226.86","537,089,846.00","545,732,953.49","229,166,268.38","386,101,508.41","650,547,571.92","831,916,024.19","350,219,319.67","555,278,531.00","860,519,217.80","1,307,425,053.69","393,879,500.37","1,020,242,601.18","1,975,193,423.85","3,358,838,046.19","1,534,813,832.40","4,580,399,778.76","7,594,219,096.21","13,619,260,002.65","5,045,618,559.02","9,517,023,405.67","13,842,103,879.57"
吸收投资收到的现金,"21,580,000.00","85,782,472.18",,,"764,711,365.00","764,711,365.00","777,600,000.00",,,,,"50,000,000.00","70,000,000.00","70,000,000.00","70,000,000.00",,,,"19,600,000.00",,"29,400,000.00","127,890,000.00","128,400,000.00",,,"1,969,059,854.08","1,969,059,854.08","320,823,900.00","338,823,900.00","451,347,287.30","474,241,105.77","593,180.59","58,016,642.45","81,186,641.93"
