科目,2008年度,2009年度,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
分配股利、利润或偿还利息支付的现金,,"34,441,770.00","40,669,651.39","20,152,186.38","29,765,328.04","39,178,666.92","48,624,978.27","11,046,260.41","62,264,324.62","69,812,873.23","76,550,310.73","2,340,000.00","66,608,625.96","74,939,458.96","94,356,149.44","7,185,796.14","66,052,465.63","125,268,088.55","147,362,725.56","22,000,345.33","149,410,393.72","173,099,084.78","193,376,866.61","22,194,487.28","101,372,748.65","184,882,096.55","220,276,948.14","42,277,198.65","76,687,426.00","161,359,567.96","224,425,263.50","36,874,114.63","101,504,403.22"
收回投资收到的现金,,,,,,,,"300,000,000.00","400,000,000.00","700,000,000.00","1,000,000,000.00",,,,,,,"30,000,000.00","30,000,000.00",,,,"100,000,000.00",,,,,"218,730,000.00","518,730,000.00","518,730,000.00","1,033,730,000.00",,
支付其他与筹资活动有关的现金,,"5,000,000.00","3,126,000.00",,"917,097.00","3,277,822.00","3,266,696.00","120,000.00","120,000.00","120,000.00","200,000.00","2,117.00","317,704.86","314,261.42",,"32,000,000.00",,,,,,,,,,,"279,994,299.85","15,053,018.97","15,053,018.97",,"560,829,282.56","122,745,360.44","158,005,199.62"
取得投资收益收到的现金,,,,,,,,"3,294,246.58","4,601,095.90","8,277,260.28","11,357,260.28",,,,,,,,"160,273.97",,,,"335,616.44",,,,,"839,092.46","839,092.46","839,092.46","5,671,303.41",,
筹资活动现金流出小计,,"39,441,770.00","143,795,651.39","77,652,186.38","115,682,425.04","185,456,488.92","195,007,474.27","38,666,260.41","117,384,324.62","152,432,873.23","186,750,310.73","69,842,117.00","174,266,330.82","293,093,720.38","426,381,255.04","78,825,154.84","268,191,824.33","403,807,447.25","724,027,084.26","186,000,345.33","687,380,393.72","799,119,084.78","1,184,271,866.61","258,694,487.28","782,247,748.60","1,298,307,096.45","1,750,321,247.99","392,210,631.92","1,495,286,640.40","2,062,837,674.76","2,626,739,986.56","1,032,623,129.95","1,764,286,406.20"
处置固定资产、无形资产和其他长期资产收回的现金净额,"131,079.96","180,000.00",,,,,,,,"42,524.16","42,524.16",,-581.50,-581.50,,"33,332.63","100,628.00","444,682.83","72,035.29",,,"89,085.20","147,931.20","50,293.00","58,793.00","140,395.80","53,500.00","10,000.00","10,000.00","148,000.00","148,824.00",,"299,183.30"
筹资活动产生的现金流量净额,,"611,558,230.00","-44,795,651.39","-37,652,186.38","1,525,167,574.96","1,455,393,511.08","1,447,558,325.73","-20,451,960.41","-99,170,024.62","-134,218,573.23","-168,161,010.73","10,161,519.99","-33,476,866.52","17,695,743.92","304,408,209.26","189,984,879.68","88,482,580.19","50,792,552.75","210,572,915.74","213,999,654.67","6,619,606.28","173,883,715.22","438,730,933.39","241,305,512.72","894,747,252.40","858,687,903.55","3,013,615,883.01","-243,829,606.22","-386,905,614.70","-204,456,649.06","470,544,250.63","-482,623,129.95","-555,717,030.20"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,"-4,607,544.62","62,178,155.38","62,178,155.38","62,178,155.39",,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,"28,302.56","166,087.94","166,716.86","110,423.81","27,429.49","-3,734.93","239,661.51","9,618,658.57","-20,910.21","95,646.88","111,260.15","325,640.92","-19,398.39","-59,760.59","-96,370.97","-122,515.00","-62,281.89","18,793.02"
收到其他与投资活动有关的现金,,,,,,,,,,,"3,183,115.87",,"4,213,289.48","4,366,430.98","21,679,240.86","1,386,934.98","1,815,003.36","3,090,550.86","242,997,737.53","46,296,904.18","50,968,780.46","53,946,364.95","39,317,973.12","14,984.02","21,209,311.48","28,550,608.02","16,100,000.00","117,099.49","117,703.20","3,290,155.47","25,000,000.00",,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"131,079.96","180,000.00",,,,,,"303,294,246.58","404,601,095.90","708,319,784.44","1,014,582,900.31",,"4,212,707.98","4,365,849.48","21,679,240.86","1,420,267.61","1,915,631.36","33,535,233.69","273,230,046.79","41,689,359.56","113,146,935.84","116,213,605.53","201,979,676.15","65,277.02","21,268,104.48","28,691,003.82","16,153,500.00","219,696,191.95","519,696,795.66","523,007,247.93","1,064,550,127.41",,"299,183.30"
五、现金及现金等价物净增加额,"-75,135,084.25","79,517,192.31","-60,244,059.07","-15,504,182.75","1,535,366,578.91","1,476,847,111.28","1,214,321,427.14","96,771,694.09","-71,184,416.83","-149,037,484.29","-220,485,429.64","-63,801,382.31","-286,909,049.36","-536,231,255.88","-359,722,497.35","99,846,015.14","-123,497,249.18","-400,196,852.02","-259,530,942.65","44,784,055.10","-284,370,692.89","-268,022,153.77","-2,112,130.18","46,556,777.60","38,915,337.75","-166,234,552.73","758,672,819.66","-835,554,945.22","-963,135,322.03","-974,802,686.55","-284,350,578.54","-649,522,742.47","-528,828,944.90"
购建固定资产、无形资产和其他长期资产支付的现金,"110,102,682.37","666,219,324.60","126,024,509.46","1,853,037.49","5,146,229.22","10,964,783.69","39,155,082.78","14,300,456.10","31,779,108.54","125,652,556.60","509,197,834.80","133,905,935.62","353,649,529.82","646,713,099.14","712,395,485.96","108,431,133.37","289,491,399.53","571,565,861.57","914,926,577.31","176,279,806.48","375,232,614.65","549,827,541.08","585,814,815.89","196,345,219.27","898,861,907.07","1,099,258,956.18","2,193,141,297.83","408,306,451.72","673,110,282.65","859,717,294.88","661,989,101.53","70,430,191.17","83,807,909.18"
期初现金及现金等价物余额,"129,233,466.89","54,098,382.64","133,615,574.95","73,371,515.88","73,371,515.88","73,371,515.88","73,371,515.88","1,290,876,058.89","1,290,876,058.89","1,290,876,058.89","1,287,692,943.02","1,073,860,313.38","1,067,207,513.38","1,067,207,513.38","1,067,207,513.38","707,485,016.03","707,484,658.82","707,485,016.03","707,485,016.03","447,954,073.38","447,954,073.38","447,954,073.38","447,954,073.38","445,841,943.20","445,841,943.20","445,841,943.20","445,841,943.20","1,204,514,762.86","1,204,514,762.86","1,204,514,762.86","1,204,514,762.86","921,276,273.93","920,164,184.32"
投资支付的现金,,,,,,,"200,000,000.00","300,000,000.00","500,000,000.00","800,000,000.00","800,000,000.00",,,,,,,"30,000,000.00","30,000,000.00","50,000,000.00","50,000,000.00","15,461,894.30","153,000,000.00",,"4,500,000.00","4,500,000.00","163,230,000.00","410,000,000.00","410,000,000.00","410,000,000.00","979,040,360.00","1,440,000.00","3,310,450.00"
期末现金及现金等价物余额,"54,098,382.64","133,615,574.95","73,371,515.88","57,867,333.13","1,608,738,094.79","1,550,218,627.16","1,287,692,943.02","1,387,647,752.98","1,219,691,642.06","1,141,838,574.60","1,067,207,513.38","1,010,058,931.07","780,298,464.02","530,976,257.50","707,485,016.03","807,331,031.17","583,987,409.64","307,288,164.01","447,954,073.38","492,738,128.48","163,583,380.49","179,931,919.61","445,841,943.20","492,398,720.80","484,757,280.95","279,607,390.47","1,204,514,762.86","368,959,817.64","241,379,440.83","229,712,076.31","920,164,184.32","271,753,531.46","391,335,239.42"
