科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"295,618,492.27","415,994,806.36","816,999,211.78","649,652,005.60","936,843,926.99","1,133,391,067.28","285,108,147.45","580,048,785.77","804,008,000.11","1,045,146,077.19","310,404,575.01","691,533,218.07","954,610,480.40","1,229,739,895.36","290,228,706.08","582,371,247.52","835,455,720.37","1,093,289,087.66","260,959,984.46","548,210,917.14","802,566,560.89","1,087,588,385.56","253,405,030.64","590,259,608.55","967,271,936.00","1,370,100,268.36","556,509,870.86","1,359,021,157.48","2,026,563,824.80"
二、营业利润,"93,540,185.18","129,373,327.06","260,580,268.87","225,159,201.28","318,354,626.28","369,796,566.72","98,646,087.07","192,394,096.71","252,215,303.80","304,200,012.10","75,121,661.86","172,235,703.30","213,484,971.59","231,048,810.18","38,551,339.69","65,513,231.72","66,180,418.35","53,773,628.07","2,292,278.71","10,263,072.68","30,520,576.64","18,298,743.64","1,697,046.35","27,157,597.26","33,869,021.77","70,433,268.51","66,955,670.21","194,541,474.56","327,766,987.53"
减:营业成本,"172,506,918.01","243,567,973.50","471,623,273.19","364,447,542.08","527,170,748.19","641,484,294.01","169,789,515.96","344,538,496.50","486,144,426.42","639,191,227.89","195,108,113.67","435,930,911.20","607,596,411.34","809,032,179.09","203,011,917.27","424,974,064.14","623,370,868.62","824,296,072.38","204,371,419.17","428,780,735.08","633,078,938.65","856,658,258.15","203,469,324.41","472,565,160.76","779,821,845.84","1,068,373,229.23","398,226,245.46","977,222,044.94","1,390,689,174.09"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"167,330.57","331,060.72","486,091.89",,,"661,931.99","2,028,285.93","3,741,236.12","4,541,032.25","5,476,682.38","731,461.54","3,033,773.75","4,937,317.10","6,376,796.27","2,045,550.55","3,559,138.78","4,813,083.78","7,425,054.83","966,778.53","3,526,977.34","5,519,956.06","8,960,348.15","1,453,628.87","4,257,240.47","7,474,320.35","19,208,169.85","5,191,672.82","15,162,800.42","27,138,284.29"
营业外收入,"75,646.40","76,235.00","160,687.19","8,166,300.00","8,191,216.15","10,027,497.82","1,872,601.15","2,556,565.79","18,511,690.63","19,415,886.25","7,830,665.52","10,938,582.59","32,339,684.10","29,732,983.27","3,787,836.48","10,434,518.71","24,843,258.19","55,140,934.48","4,768,724.49","37,335,953.38","48,011,077.41","58,495,596.41","5,409,025.24","10,169,528.71","21,500,727.15","23,224,905.19","5,607,339.77","953,619.23","1,902,774.45"
销售费用,"10,493,358.15","17,816,926.33","29,635,529.30","22,408,790.90","31,494,057.73","39,591,532.66","9,396,069.67","19,823,640.85","27,483,778.24","37,183,536.92","10,122,989.45","19,281,025.94","25,319,598.84","42,196,141.36","13,789,971.53","26,977,803.30","38,784,131.13","53,548,406.12","13,212,551.16","24,666,821.98","39,800,098.14","59,110,822.86","14,260,201.27","28,174,972.33","44,248,069.28","68,944,352.80","22,019,471.41","42,708,440.64","72,113,459.48"
减:营业外支出,"174,954.20","155,940.48","164,676.88","44,078.13","146,349.13","150,349.13","1,250,000.00","1,270,000.00","1,300,000.00","1,320,000.00","1,565,000.00","1,566,010.00","1,596,591.89","1,746,070.13",,"43,345.56","135,859.85","750,826.30","315,655.00","1,033,851.42","1,785,353.37","1,978,991.84","438,164.64","707,251.37","794,346.00","1,603,108.46","22,509.97","59,227.18","95,638.67"
管理费用,"15,742,255.19","26,357,820.77","53,598,661.38","34,326,148.16","54,029,003.61","78,112,737.63","17,697,817.11","42,680,827.04","66,161,630.76","97,873,447.52","37,649,035.76","72,454,667.57","117,001,357.02","169,562,316.64","40,222,209.86","79,572,488.72","123,768,400.88","172,059,677.95","41,096,528.40","90,427,622.30","136,724,337.25","194,592,607.12","41,832,194.75","95,072,763.97","150,018,384.94","200,386,319.77","59,098,099.75","121,055,983.00","185,754,828.31"
其中:非流动资产处置净损失,,,,,,"8,878.13",,,,,,,,,,,,"578,295.16",,"117,866.33",,"134,867.81",,,,"127,847.93",,"24,907.50","24,907.50"
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
