科目,2010年度,2011年度,2012年度,2013年1-6月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"66,928,116.50","119,030,893.54","142,927,850.66","40,325,835.61","153,451,569.22","51,122,096.45","88,425,318.88","122,306,015.56","219,269,822.14","36,683,866.61","84,392,684.93","140,264,510.17","275,620,724.16","87,733,691.13","173,597,017.50","250,890,827.79","451,955,128.78","85,525,488.07","208,583,172.99","328,473,356.44","540,775,391.36","92,238,311.03"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,"18,464,173.80",,,,,,,,,
收到的税费返还,"735,766.66","195,493.59","776,641.14","476,071.72","940,173.22",,"99,635.10","182,896.79","334,951.63","62,456.65","62,815.63","1,826,534.35","3,099,549.58","1,915,737.49","2,972,278.58","4,428,462.28","6,742,782.92","61,025.64","2,197,281.84","3,458,050.92","4,942,851.74",
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,"27,117.27",
收到其他与经营活动有关的现金,"1,175,296.88","3,495,403.64","4,873,993.90","2,429,717.08","2,198,367.16","1,874,461.88","6,461,913.73","13,429,748.38","19,725,775.44","5,301,817.31","25,738,414.79","42,278,716.71","62,396,938.38","56,530,183.91","68,932,315.39","79,421,430.39","106,369,898.24","17,540,448.59","46,234,329.41","29,453,330.09","14,786,496.04","80,633,425.16"
投资活动现金流出小计,"49,536,265.73","3,141,164.21","3,418,896.47","5,921,037.78","12,091,474.59","3,189,975.33","4,895,777.86","9,907,374.15","14,868,810.28","26,612,109.70","55,364,379.82","63,551,259.21","68,038,000.22","3,886,220.51","10,566,030.54","16,730,775.61","49,172,735.56","82,131,415.48","100,360,645.24","135,063,552.12","599,179,501.47","5,034,216.55"
经营活动现金流入小计,"68,839,180.04","122,721,790.77","148,578,485.70","43,231,624.41","156,590,109.60","52,996,558.33","94,986,867.71","135,918,660.73","239,330,549.21","42,048,140.57","110,193,915.35","184,369,761.23","341,117,212.12","146,179,612.53","245,501,611.47","334,740,720.46","565,067,809.94","103,126,962.30","257,014,784.24","361,384,737.45","560,504,739.14","172,871,736.19"
投资活动产生的现金流量净额,"-49,536,265.73","-3,130,302.03","-3,383,711.38","-5,911,184.06","-12,062,259.57","-3,189,975.33","-4,895,777.86","-9,895,274.15","-14,856,710.28","-26,608,530.57","-55,342,275.35","-63,502,994.74","-67,989,735.75","-3,886,220.51","-10,565,895.52","-16,730,221.28","-49,172,181.23","-82,122,590.24","-100,290,842.47","-134,989,994.28","-548,901,878.76","424,965,783.45"
购买商品、接受劳务支付的现金,"22,796,231.56","48,026,765.62","54,375,208.84","21,073,342.64","61,670,184.42","13,711,454.12","32,874,224.05","54,673,245.01","83,988,822.14","36,555,859.35","61,402,634.36","95,157,167.47","131,713,500.74","68,557,367.60","122,484,662.13","177,718,701.17","241,850,375.68","74,557,361.97","155,265,952.87","240,427,259.71","321,354,873.91","193,718,196.49"
吸收投资收到的现金,"32,025,000.00",,,,,"231,800,500.00","231,800,500.00","231,800,500.00","231,800,500.00",,"30,917,770.00","31,162,770.00","31,162,770.00","500,000.00","3,803,000.00","5,203,000.00","5,203,000.00","300,000.00","300,000.00","737,005,637.08","738,177,189.49",
