科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"834,988,782.99","1,152,358,350.49","1,501,074,352.89","390,272,453.15","740,385,384.69","1,106,108,920.54","1,521,517,728.17","339,991,655.47","708,155,046.07","1,101,010,491.50","1,582,936,364.20","376,529,472.00","849,239,934.23","1,381,681,219.13","2,047,511,528.29","509,879,557.19","1,118,866,876.59","1,750,819,308.36","2,402,986,382.18","499,283,095.64","1,169,993,595.81","1,865,982,737.51","2,617,076,763.36","675,502,324.94","1,403,503,758.28","2,160,309,950.13","3,099,658,647.44","758,211,639.86"
二、营业利润,"127,059,855.41","179,989,900.52","235,497,123.71","87,842,092.18","172,130,445.05","246,626,909.92","315,779,717.92","61,850,693.58","138,422,156.96","193,917,852.12","238,850,870.47","70,369,662.62","171,927,135.52","249,600,900.41","303,239,155.60","85,043,165.28","216,078,290.57","317,049,343.79","361,970,855.40","70,323,606.37","204,686,596.21","428,195,158.90","584,311,545.56","113,833,309.03","282,043,329.05","423,966,116.90","605,753,451.44","152,549,059.95"
减:营业成本,"544,929,593.14","750,036,591.81","978,389,432.53","246,490,639.78","458,785,242.08","687,189,132.81","959,814,473.64","224,424,809.56","472,627,360.57","748,831,469.87","1,100,398,704.00","253,242,637.51","571,290,073.47","928,602,422.49","1,382,201,109.45","352,355,287.80","743,128,294.08","1,160,688,558.58","1,624,259,009.25","323,671,523.80","742,941,479.68","1,215,560,827.38","1,671,757,249.99","425,355,162.03","891,601,981.89","1,379,217,191.97","1,987,509,300.10","490,094,731.10"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"5,050,779.18","8,007,009.41","16,248,393.53","4,642,684.74","7,584,865.13","10,900,928.76","14,873,057.13","2,502,363.46","4,678,100.17","6,519,200.01","9,421,694.40","1,838,851.76","4,176,567.32","6,471,313.24","9,596,811.00","3,020,357.17","5,783,510.80","11,477,981.79","17,381,387.31","3,856,901.97","9,040,450.76","14,724,288.81","38,107,000.05","7,077,216.46","15,761,331.68","26,577,028.06","41,986,351.40","8,586,314.36"
营业外收入,"21,522,504.74","19,257,088.74","24,129,854.14","1,531,245.22","8,800,197.16","13,050,171.25","19,255,546.88","3,152,897.51","9,735,793.34","18,633,513.22","38,108,156.35","2,331,341.94","6,281,430.27","10,779,402.90","29,150,448.19","6,162,132.58","18,714,640.06","38,346,572.50","92,155,412.99","37,137,580.85","52,713,033.80","74,870,844.21","117,687,247.43","22,216,064.82","10,177,008.06","16,741,625.27","23,191,759.79","9,577,533.94"
销售费用,"32,832,745.87","35,531,956.09","56,397,849.69","9,860,153.41","16,623,045.99","25,343,147.80","34,011,655.63","7,760,542.19","17,692,191.20","25,254,262.31","38,287,887.95","7,430,120.63","15,031,171.99","23,231,071.14","32,464,521.51","10,822,714.13","19,664,684.66","31,770,385.64","53,479,226.74","11,511,919.47","22,763,243.83","36,826,489.51","57,847,413.77","18,440,303.78","35,230,801.84","53,413,599.94","68,630,471.74","18,711,704.89"
减:营业外支出,"344,812.72","2,375,816.12","2,967,095.96","300,905.63","446,867.46","1,737,807.10","2,307,017.56","849,589.13","2,657,003.21","2,812,759.31","5,481,719.48","1,051,484.38","4,236,938.79","4,683,991.01","10,876,751.04","734,017.64","2,839,670.59","3,571,754.87","4,773,213.68","4,416,755.84","6,917,082.34","25,314,635.31","28,293,377.31","263,099.76","5,886,363.53","9,814,601.35","6,372,067.57","156,508.92"
管理费用,"100,091,753.73","154,541,420.51","179,152,888.47","36,328,207.80","80,908,955.08","134,832,794.69","207,692,583.06","51,152,785.73","90,829,635.00","148,321,014.17","221,405,603.84","47,476,289.79","108,515,881.02","188,418,976.65","284,962,606.10","60,809,830.54","127,258,633.84","208,077,685.93","298,298,983.15","79,365,946.52","161,662,419.21","251,531,912.51","339,798,493.78","88,770,604.62","190,247,070.48","291,951,285.97","415,278,552.29","96,299,679.03"
其中:非流动资产处置净损失,"59,732.50","138,361.70","674,982.80",,"140,158.29",,"1,099,770.97","61,981.30","196,118.12","257,080.49","2,442,601.41","65,178.85","103,891.30","185,046.06","2,357,064.94","111,130.37","248,693.01","863,946.58","1,134,330.53","197,189.08","254,757.07","17,497,927.18","17,654,295.28","9,677.00","4,534,624.12","4,746,609.77",,
