科目,2011-12-31,2012-12-31,2013-12-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"2,048,876,295.07","2,024,796,487.12","2,095,090,754.44","1,808,203,512.99","2,182,608,483.38","2,188,637,573.61","2,154,361,476.05","2,214,398,306.66","2,318,036,185.87","2,146,402,605.57","2,171,334,921.55","2,093,266,487.04","2,328,677,750.12","1,914,477,594.06","1,895,555,128.86","1,845,252,444.53","1,896,605,620.37","1,671,303,498.21","1,738,186,314.31"
短期借款,,,,"40,000,000.00","40,000,000.00","40,000,000.00","40,000,000.00","80,000,000.00","80,000,000.00","200,000,000.00","195,000,000.00","154,900,000.00","154,900,000.00","80,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","103,500,000.00","86,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,
应收票据,"300,000.00","2,400,000.00","21,348,943.08","31,131,828.00","19,700,000.00","6,916,912.25","16,289,299.32","3,655,498.50","5,631,000.00","9,513,206.93","10,250,794.93","6,031,180.27","4,600,424.14","5,613,200.00","7,243,351.62","9,065,653.28","7,609,898.00","11,838,293.43","7,640,025.69"
应付票据,,,"3,840,000.00",,,,,,,,,,,,,,,,
应收账款,"104,035,048.78","201,983,265.20","163,313,321.46","220,457,421.95","253,916,910.80","193,135,226.37","316,402,063.91","273,499,974.19","282,282,545.84","289,811,574.89","296,888,794.44","319,652,842.35","330,473,500.44","255,864,321.01","306,710,022.61","230,258,153.07","250,433,221.79","239,661,258.62","304,780,033.02"
应付账款,"133,219,197.45","140,790,603.86","202,069,628.52","206,303,528.53","231,636,891.26","197,971,807.25","187,882,027.15","212,481,888.50","226,764,857.69","302,690,280.05","312,020,809.31","342,538,507.99","370,531,239.87","308,220,346.98","274,945,121.45","298,843,838.41","307,566,090.25","314,568,074.70","355,018,693.73"
预付款项,"154,047,829.53","246,436,055.27","189,210,801.75","205,733,197.75","272,538,721.85","214,233,977.13","265,047,835.59","267,965,464.86","299,178,700.42","286,260,562.55","234,997,971.63","213,676,206.17","256,379,542.32","165,639,994.96","219,384,177.66","176,982,017.04","230,462,323.71","239,838,120.53","212,182,619.04"
预收款项,"563,303,802.70","766,590,399.19","957,566,585.72","997,525,036.75","1,169,705,426.13","1,110,370,648.77","1,170,621,047.42","1,207,478,306.33","1,306,510,480.59","1,263,036,956.73","1,187,597,374.95","1,341,223,080.69","1,365,784,876.55","1,231,503,630.12","1,301,279,801.46","1,293,873,677.98","1,377,232,334.91","1,219,462,013.53","1,267,336,279.96"
其他应收款,"22,956,600.60","37,169,189.80","29,712,650.77","40,299,517.92","60,175,476.19","35,980,831.93","72,272,808.28","41,609,313.14","79,285,762.76","41,454,758.49","35,855,425.58","48,153,376.78","53,155,088.42","41,348,096.13","42,595,624.38","64,509,515.53","39,202,877.81","61,250,462.11","69,059,195.13"
应付职工薪酬,"98,082,866.31","133,200,502.08","66,368,841.27","104,996,801.13","101,709,203.04","75,233,069.26","96,749,172.66","127,857,285.42","120,912,001.92","82,948,688.69","108,380,775.35","132,438,673.12","146,059,827.94","84,759,933.84","93,740,325.93","132,667,076.48","160,960,023.78","97,112,103.76","106,262,928.29"
应收关联公司款,,,,,,,,,,,,,,,,,,,
