科目,2007年1-3月,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"18,489,000,000.00","38,331,000,000.00","82,107,000,000.00","23,788,000,000.00","49,282,000,000.00","77,511,000,000.00","107,133,000,000.00","27,157,000,000.00","57,083,000,000.00","88,153,000,000.00","121,312,000,000.00","32,805,000,000.00","69,731,000,000.00","110,013,000,000.00","152,063,000,000.00","47,389,000,000.00","100,692,000,000.00","153,631,000,000.00","208,197,000,000.00","59,526,000,000.00","121,468,000,000.00","178,367,000,000.00","250,260,000,000.00","60,039,000,000.00","127,226,000,000.00","197,467,000,000.00","283,797,000,000.00","60,929,000,000.00","129,197,000,000.00","190,442,000,000.00","248,360,000,000.00","39,911,000,000.00","87,783,000,000.00","131,446,000,000.00","177,069,000,000.00","39,402,000,000.00","78,723,000,000.00","124,803,000,000.00","183,127,000,000.00","61,062,000,000.00","120,518,000,000.00","182,535,000,000.00","248,746,000,000.00","62,979,000,000.00","127,380,000,000.00"
二、营业利润,"6,983,000,000.00","14,820,000,000.00","29,959,000,000.00","8,829,000,000.00","19,726,000,000.00","30,314,000,000.00","37,501,000,000.00","10,991,000,000.00","22,938,000,000.00","34,778,000,000.00","44,189,000,000.00","12,686,000,000.00","27,206,000,000.00","41,213,000,000.00","53,634,000,000.00","15,908,000,000.00","34,602,000,000.00","50,582,000,000.00","65,775,000,000.00","16,841,000,000.00","34,827,000,000.00","51,197,000,000.00","67,081,000,000.00","16,474,000,000.00","35,340,000,000.00","51,408,000,000.00","70,155,000,000.00","15,401,000,000.00","33,171,000,000.00","46,839,000,000.00","58,999,000,000.00","9,756,000,000.00","20,764,000,000.00","29,502,000,000.00","32,088,000,000.00","8,918,000,000.00","18,140,000,000.00","30,267,000,000.00","39,332,000,000.00","17,499,000,000.00","35,089,000,000.00","52,988,000,000.00","71,102,000,000.00","17,479,000,000.00","36,724,000,000.00"
减:营业成本,"9,013,000,000.00","18,398,000,000.00","40,716,000,000.00","11,682,000,000.00","23,830,000,000.00","37,570,000,000.00","54,111,000,000.00","12,651,000,000.00","27,181,000,000.00","42,439,000,000.00","61,486,000,000.00","16,502,000,000.00","35,402,000,000.00","57,785,000,000.00","81,712,000,000.00","27,145,000,000.00","57,127,000,000.00","88,934,000,000.00","122,649,000,000.00","37,564,000,000.00","75,984,000,000.00","110,922,000,000.00","160,214,000,000.00","38,356,000,000.00","80,980,000,000.00","128,438,000,000.00","187,713,000,000.00","39,748,000,000.00","84,030,000,000.00","125,658,000,000.00","163,233,000,000.00","24,037,000,000.00","53,228,000,000.00","80,799,000,000.00","110,427,000,000.00","23,518,000,000.00","46,623,000,000.00","73,457,000,000.00","110,769,000,000.00","35,502,000,000.00","69,921,000,000.00","106,436,000,000.00","143,842,000,000.00","37,723,000,000.00","74,618,000,000.00"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"422,000,000.00","856,000,000.00","1,832,000,000.00","493,000,000.00","1,041,000,000.00","1,676,000,000.00","2,717,000,000.00","964,000,000.00","1,775,000,000.00","2,660,000,000.00","3,786,000,000.00","929,000,000.00","1,812,000,000.00","2,761,000,000.00","3,734,000,000.00","1,064,000,000.00","2,180,000,000.00","3,289,000,000.00","4,348,000,000.00","1,264,000,000.00","2,429,000,000.00","3,544,000,000.00","4,763,000,000.00","1,107,000,000.00","2,383,000,000.00","3,513,000,000.00","4,845,000,000.00","946,000,000.00","1,869,000,000.00","2,822,000,000.00","4,051,000,000.00","1,474,000,000.00","3,061,000,000.00","4,582,000,000.00","5,833,000,000.00","1,284,000,000.00","2,465,000,000.00","3,883,000,000.00","6,922,000,000.00","2,494,000,000.00","4,870,000,000.00","7,243,000,000.00","9,640,000,000.00","2,449,000,000.00","4,940,000,000.00"
营业外收入,"15,000,000.00","104,000,000.00","209,000,000.00","26,000,000.00","71,000,000.00","125,000,000.00","271,000,000.00","12,000,000.00","111,000,000.00","144,000,000.00","254,000,000.00","40,000,000.00","141,000,000.00","227,000,000.00","398,000,000.00","65,000,000.00","158,000,000.00","216,000,000.00","392,000,000.00","139,000,000.00","337,000,000.00","427,000,000.00","829,000,000.00","59,000,000.00","181,000,000.00","259,000,000.00","556,000,000.00","144,000,000.00","322,000,000.00","496,000,000.00","925,000,000.00","127,000,000.00","361,000,000.00","908,000,000.00","1,896,000,000.00","67,000,000.00","705,000,000.00","1,040,000,000.00","1,485,000,000.00","234,000,000.00","867,000,000.00","967,000,000.00","493,000,000.00","48,000,000.00","127,000,000.00"
销售费用,"142,000,000.00","204,000,000.00","522,000,000.00","202,000,000.00","320,000,000.00","493,000,000.00","673,000,000.00","168,000,000.00","323,000,000.00","571,000,000.00","820,000,000.00","156,000,000.00","340,000,000.00","529,000,000.00","836,000,000.00","309,000,000.00","524,000,000.00","875,000,000.00","1,129,000,000.00","192,000,000.00","457,000,000.00","715,000,000.00","867,000,000.00","215,000,000.00","449,000,000.00","693,000,000.00","1,031,000,000.00","184,000,000.00","381,000,000.00","563,000,000.00","794,000,000.00","133,000,000.00","261,000,000.00","377,000,000.00","584,000,000.00","127,000,000.00","253,000,000.00","388,000,000.00","610,000,000.00","154,000,000.00","285,000,000.00","424,000,000.00","612,000,000.00","152,000,000.00","312,000,000.00"
减:营业外支出,"36,000,000.00","210,000,000.00","539,000,000.00","28,000,000.00","268,000,000.00","323,000,000.00","901,000,000.00","28,000,000.00","195,000,000.00","287,000,000.00","542,000,000.00","29,000,000.00","158,000,000.00","189,000,000.00","728,000,000.00","81,000,000.00","725,000,000.00","807,000,000.00","1,074,000,000.00","173,000,000.00","222,000,000.00","471,000,000.00","662,000,000.00","49,000,000.00","349,000,000.00","435,000,000.00","943,000,000.00","84,000,000.00","159,000,000.00","343,000,000.00","691,000,000.00","63,000,000.00","260,000,000.00","431,000,000.00","902,000,000.00","178,000,000.00","425,000,000.00","631,000,000.00","1,921,000,000.00","48,000,000.00","147,000,000.00","250,000,000.00","1,262,000,000.00","45,000,000.00","187,000,000.00"
管理费用,"1,328,000,000.00","2,674,000,000.00","6,624,000,000.00","1,499,000,000.00","3,029,000,000.00","5,387,000,000.00","8,302,000,000.00","2,125,000,000.00","3,959,000,000.00","6,382,000,000.00","9,146,000,000.00","2,173,000,000.00","4,036,000,000.00","6,427,000,000.00","10,134,000,000.00","2,539,000,000.00","5,535,000,000.00","8,596,000,000.00","12,281,000,000.00","3,195,000,000.00","6,659,000,000.00","10,499,000,000.00","15,600,000,000.00","3,657,000,000.00","7,537,000,000.00","12,053,000,000.00","18,128,000,000.00","3,817,000,000.00","8,018,000,000.00","12,575,000,000.00","17,935,000,000.00","3,905,000,000.00","8,582,000,000.00","13,203,000,000.00","18,333,000,000.00","4,368,000,000.00","8,501,000,000.00","13,045,000,000.00","17,932,000,000.00","4,785,000,000.00","8,944,000,000.00","13,741,000,000.00","19,394,000,000.00","4,386,000,000.00","9,186,000,000.00"
其中:非流动资产处置净损失,"12,000,000.00","106,000,000.00","326,000,000.00",,"78,000,000.00","87,000,000.00","462,000,000.00","5,000,000.00","153,000,000.00","169,000,000.00","334,000,000.00","9,000,000.00","4,000,000.00","8,000,000.00","147,000,000.00",,"24,000,000.00","37,000,000.00","174,000,000.00","6,000,000.00","25,000,000.00","73,000,000.00","197,000,000.00","6,000,000.00","227,000,000.00","257,000,000.00","579,000,000.00","1,000,000.00","17,000,000.00","102,000,000.00","274,000,000.00",,"61,000,000.00","120,000,000.00","276,000,000.00","103,000,000.00","159,000,000.00","169,000,000.00","409,000,000.00","2,000,000.00","4,000,000.00","10,000,000.00",,,
