科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"113,337,293.01","256,129,243.67","378,769,113.60","267,606,748.44","442,195,822.81","632,880,200.00","215,336,749.34","447,976,070.24","744,802,402.54","1,099,608,392.47","317,940,040.94","664,355,718.74","1,111,762,267.40","1,612,449,193.73","423,515,428.72","844,772,022.43","1,313,877,459.99","1,737,745,422.08","279,637,182.95","568,445,875.95","921,288,802.97","1,305,817,719.21","395,953,235.61","864,126,209.09","1,333,837,654.29","1,982,773,363.08","866,867,623.89","2,286,957,103.08","4,026,807,537.35","6,319,983,268.46","2,588,563,317.88","6,560,179,805.76","12,577,459,690.26","18,330,385,020.26","5,211,546,901.11","10,879,844,788.30","15,193,358,825.37","18,494,141,104.46","3,192,854,551.76"
二、营业利润,"18,113,725.16","40,906,858.75","70,156,766.10","50,681,533.08","85,489,423.42","120,357,024.44","42,588,909.67","86,058,393.78","144,013,913.41","227,559,365.57","58,740,298.00","130,206,999.25","231,350,937.08","361,653,433.08","83,587,711.11","173,752,865.01","269,872,540.78","356,947,874.29","47,938,690.41","98,906,052.44","139,502,416.70","162,621,261.67","69,575,533.47","144,617,585.66","197,548,264.10","268,732,186.17","114,621,552.40","275,612,701.27","405,510,941.50","532,187,345.52","236,220,747.07","582,245,421.89","901,763,206.98","1,050,396,567.97","260,188,504.19","656,095,190.98","855,637,234.89","637,247,604.99","145,325,552.89"
减:营业成本,"86,078,482.83","186,766,672.04","250,394,889.16","172,695,114.64","288,271,172.46","412,493,035.45","140,206,761.72","293,242,088.02","488,743,569.35","722,543,357.11","220,370,821.41","439,222,898.51","723,753,872.36","1,035,451,984.78","272,768,477.34","536,701,291.01","838,550,510.14","1,093,171,828.18","173,357,765.83","349,258,114.38","581,703,906.12","816,164,886.71","235,611,168.68","532,620,812.77","838,476,494.41","1,257,651,305.34","633,193,250.31","1,767,660,440.39","3,228,054,250.50","5,202,144,207.75","2,215,641,759.23","5,728,453,410.44","11,228,769,357.13","16,596,672,430.37","4,832,154,561.55","10,010,155,060.94","13,971,055,891.28","17,042,420,185.63","2,911,276,528.64"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"156,754.99","515,959.11","1,191,303.82","1,286,581.92","2,091,519.66","2,917,790.22","714,473.12","1,703,361.80","2,677,249.00","3,727,913.04","1,156,690.15","2,261,995.13","5,075,216.85","8,543,018.17","2,681,344.96","4,854,659.38","7,554,591.69","10,033,705.86","1,420,568.32","2,842,904.85","5,450,774.44","7,236,510.72","1,843,340.56","4,773,762.23","8,012,489.96","11,354,396.22","3,381,552.86","6,887,169.29","9,868,195.22","20,091,202.35","7,109,560.95","16,849,343.51","27,718,978.04","38,079,007.96","8,069,578.21","17,993,683.46","26,094,810.05","35,153,964.42","5,245,907.47"
营业外收入,393.36,"330,000.00","2,177,655.94","2,301,920.00","2,601,920.00","3,448,444.23","422,200.00","1,516,400.00","4,359,907.09","4,589,820.23","140,211.91","147,691.98","4,242,081.49","5,171,011.89","5,085.00","128,915.83","3,940,908.59","12,323,997.41","34,504.74","560,109.06","4,064,173.14","7,302,497.21","4,091,513.59","4,137,143.08","6,535,523.00","6,626,945.13","8,090.20","1,102,601.98","1,441,251.53","5,589,481.14","379,872.27","108,570.35","201,691.56","617,335.12","205,172.88","432,892.16","913,805.07","5,028,968.60","163,096.40"
销售费用,"4,500,465.32","16,330,420.50","33,718,407.08","24,963,151.52","40,129,718.80","60,404,618.14","19,454,902.89","47,320,338.39","72,971,736.52","104,704,880.10","25,879,674.84","68,136,297.14","117,691,051.56","153,235,707.04","47,274,794.69","91,559,560.45","141,942,968.64","194,823,131.47","44,047,860.89","90,506,047.97","143,271,810.55","222,025,883.60","60,087,855.33","128,420,357.73","194,652,724.38","281,552,200.61","66,264,776.33","141,138,958.26","219,455,473.29","308,402,903.58","83,292,656.18","161,629,340.28","280,975,684.26","378,422,065.30","76,397,946.96","167,788,875.11","246,327,393.94","324,522,996.88","67,403,480.90"
减:营业外支出,199.25,"546,526.67","112,220.20","1,690,066.69","1,691,141.69","1,823,288.45",600.00,"171,075.00","214,858.54","183,850.00","301,010.30","350,345.61","397,945.81","433,610.25",739.77,"1,092,545.47","1,116,528.69","1,753,627.91","35,337.35","43,876.80","146,363.39","151,712.87","103,877.14","130,142.92","331,060.80","722,795.72","58,662.05","175,567.71","637,908.19","665,380.44","99,870.19","344,239.39","586,745.33","1,840,966.74","2,257,834.77","4,215,586.91","4,696,091.29","4,927,555.77","109,553.67"
管理费用,"3,983,614.21","10,668,260.17","22,617,284.02","16,754,165.36","24,232,367.25","34,206,225.37","10,607,381.26","22,227,480.35","37,921,774.61","55,187,793.79","12,616,604.46","29,454,587.90","49,079,707.51","67,923,326.30","22,248,720.82","44,877,171.15","67,563,789.13","89,404,779.13","18,488,075.47","37,578,514.20","59,498,029.03","90,078,485.52","20,551,095.35","44,467,414.81","74,577,273.11","113,689,060.66","34,051,104.20","63,374,171.69","101,802,433.41","138,426,810.80","38,797,212.18","80,295,337.43","131,624,662.80","192,913,225.73","45,774,604.65","109,741,775.87","132,815,964.33","187,879,646.83","39,082,008.19"
其中:非流动资产处置净损失,,,,,,,,,,,,,,,,,,,,,,,,"95,658.57","95,658.57","97,233.66",,,"33,811.57","33,811.57","6,715.81",,"6,715.81",,,,,,
