科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"53,706,908.86","51,072,314.84","54,093,248.90","81,695,294.48","62,244,077.88","64,144,432.89","64,483,872.78","83,442,001.11","47,765,571.65","71,039,204.07","60,948,894.90","83,540,549.44","67,975,091.95","53,603,571.20","59,760,564.31","64,131,435.93","57,706,521.32","63,278,539.54","70,529,238.01","62,867,664.89","51,816,361.59","50,770,029.18","49,578,850.01","57,111,060.33","53,291,322.38","85,203,239.53","110,957,468.65","65,051,877.91","667,693,485.27","198,256,506.73","312,846,565.93","645,056,206.73","530,950,463.79","205,463,092.96","228,551,848.66","270,461,318.52","469,996,979.06","494,629,024.01","677,135,188.51","890,321,832.65","1,067,579,382.64","649,416,022.89","652,753,993.72","951,610,310.84","1,403,465,214.60","1,058,896,195.82","1,422,955,474.69","1,586,901,285.06","2,094,213,924.95"
短期借款,"146,500,000.00","146,500,000.00","156,500,000.00","146,000,000.00","146,000,000.00","146,000,000.00","146,000,000.00","145,500,000.00","138,200,000.00","145,500,000.00","150,420,000.00","160,420,000.00","174,920,000.00","184,920,000.00","184,920,000.00","184,920,000.00","190,920,000.00","190,720,000.00","190,220,000.00","190,220,000.00","186,220,000.00","188,020,000.00","188,020,000.00","197,520,000.00","207,520,000.00","207,300,000.00","207,300,000.00","260,000,000.00","91,000,000.00","49,000,000.00",,"280,000,000.00","240,000,000.00","150,000,000.00",,,,,,,,,,,,,,,
交易性金融资产,,"2,000,000.00","3,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"464,000.00",,,,,,"404,949.28","3,057,800.00","250,000.00","3,810,000.00","1,807,757.20","273,000.00","1,320,480.00","1,850,940.00","1,837,000.00","2,840,000.00","2,411,000.00","4,235,500.00","3,209,000.00","2,202,400.00","3,416,250.50","3,668,516.00","1,110,000.00","714,000.00","4,890,860.00","2,646,137.63","1,250,000.00","14,344,952.21","22,451,867.48","17,954,898.73","23,677,359.91","15,666,110.83","28,494,902.50","20,975,647.12","22,551,118.11","24,331,752.99","32,552,216.88","33,330,342.54","42,724,256.94","93,667,593.20","93,863,406.10","74,423,444.78","87,798,751.40","119,143,547.26","132,248,732.82","134,441,895.39","108,351,186.25","140,789,473.43","147,677,886.65"
应付票据,"30,000,000.00","40,000,000.00","40,000,000.00","35,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00","40,000,000.00","50,000,000.00","55,000,000.00","40,980,000.00","25,480,000.00","33,520,000.00","16,105,000.00","36,105,000.00","25,000,000.00","32,000,000.00","34,000,000.00","26,000,000.00","30,000,000.00","38,000,000.00","42,000,000.00","32,000,000.00","30,000,000.00","30,000,000.00","34,500,000.00","26,500,000.00","15,365,325.00","18,740,945.00","26,723,790.00","29,257,180.00","43,396,930.00","61,569,439.60","52,238,069.60","51,373,034.00","71,313,484.00","60,746,000.00","12,924,280.00","12,974,724.11","84,934,240.20","98,657,310.00","113,311,000.00","139,420,452.85","140,969,498.85","134,438,722.00","145,228,406.00",,"158,688,536.26",
应收账款,"133,411,379.09","159,232,909.86","162,473,044.21","154,575,841.59","158,508,857.94","167,954,279.26","159,624,712.17","151,324,865.14","149,207,436.33","156,471,677.91","172,291,232.00","154,817,136.23","174,744,920.46","169,740,247.27","181,545,579.33","153,597,672.58","157,169,064.51","163,480,802.78","165,446,791.40","190,323,663.52","197,708,665.52","192,620,826.65","200,535,552.55","141,944,221.62","166,787,224.58","141,213,262.72","128,392,699.56","743,052,252.86","791,215,145.74","902,790,772.02","899,562,153.74","899,714,092.35","988,857,623.00","1,115,792,906.80","1,122,652,192.48","1,099,194,584.80","1,218,195,398.62","1,315,077,627.84","1,357,969,425.23","1,332,002,387.13","1,490,964,386.96","1,645,512,744.75","1,712,448,517.75","1,686,657,162.56","2,075,699,195.05","2,006,314,640.04","2,078,026,577.60","1,965,351,882.30","2,258,421,827.63"
应付账款,"32,464,531.53","23,386,842.20","19,999,282.89","30,872,370.05","24,935,085.52","16,386,863.50","10,617,580.76","34,336,684.40","26,049,130.68","26,449,019.89","31,844,082.08","32,735,483.04","33,306,596.67","36,405,026.62","32,024,259.28","34,883,671.37","33,136,329.64","35,947,023.11","35,956,340.14","41,337,193.98","45,954,460.20","44,369,451.43","47,197,781.61","57,248,790.67","62,555,394.15","45,869,200.90","35,711,391.04","154,694,779.48","157,234,920.92","168,761,456.29","169,745,501.45","183,686,459.72","189,084,022.42","215,277,386.39","214,329,217.01","188,595,201.35","179,011,105.61","239,693,261.94","311,167,282.47","426,494,718.58","362,306,938.94","398,543,749.76","391,480,703.76","462,973,132.94","359,423,385.01","392,446,859.00",,"505,239,972.88",
预付款项,"12,566,346.68","4,390,336.84","6,401,036.35","13,549,706.12","27,289,116.77","20,903,636.83","21,230,407.14","27,275,148.50","28,150,184.09","41,709,139.16","34,865,909.08","40,386,298.77","10,848,420.04","8,292,362.03","9,877,072.81","10,752,538.17","10,324,499.30","15,037,068.49","12,549,636.94","3,065,667.70","1,950,177.24","3,057,424.15","2,051,882.33","7,072,208.28","4,917,504.64","9,660,437.44","7,694,556.77","6,827,997.15","12,074,591.69","11,988,579.40","9,148,599.72","11,154,899.89","17,764,539.22","11,878,926.07","11,151,993.58","10,504,532.95","14,051,576.02","13,548,353.97","14,902,094.49","15,699,256.85","34,395,635.61","37,465,797.05","26,077,414.41","14,569,352.93","20,795,326.61","24,085,066.15","33,549,916.77","32,447,021.99","32,405,100.92"
预收款项,"33,942,992.95","36,075,367.19","23,322,506.86","11,893,927.49","18,818,099.19","27,566,511.55","29,989,957.06","22,167,486.85","19,539,582.65","24,274,459.30","28,262,873.44","22,150,020.92","36,367,224.50","23,502,034.65","29,374,640.92","26,909,147.06","34,906,410.64","25,160,353.54","25,464,522.31","30,596,361.91","23,343,463.22","32,835,823.59","33,522,635.68","38,818,049.27","36,785,842.81","51,188,472.35","61,843,698.46","1,872,044.16","3,319,131.23","3,970,090.71","3,060,901.37","1,820,187.72","2,628,562.22","2,720,577.44","3,679,772.43","3,332,565.81","5,388,141.19","2,625,786.30","4,233,237.52","12,467,753.38","8,636,831.30","9,892,762.22","9,931,387.38","9,118,439.04","8,913,524.89","8,273,557.89","10,037,797.89","5,682,139.31","6,825,169.99"
