科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收回投资收到的现金,"4,500,000.00","291,333,916.86",,,"98,849,952.00",,,,"110,000,000.00",,"359,179,259.90","325,417,836.50","360,001,400.00",,,"20,000,000.00","41,060,000.00","29,984,300.42","29,984,300.42",,,,"833,275,252.40","389,969,970.92",,"103,119,000.00","865,864,611.56",,,"286,691,590.99","1,400,087,033.56","1,723,379,271.16",,"352,925,815.97","19,374,049,021.80","21,473,223,002.54","2,387,606,868.86","986,815,353.15","1,719,606,910.35"
客户存款和同业存放款项净增加额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
取得投资收益收到的现金,"62,500,000.00","57,000,000.00","95,250,000.00","95,250,000.00",,,"72,000,000.00","74,000,000.00","81,442,224.98",,"30,385,287.34","30,549,999.70","77,754,927.64","749,411.73","66,683,640.00","72,075,292.76","65,091,073.87","3,003,941.02","4,741,660.27","34,307,391.63","40,194,540.25",,"6,293,425.60","36,786,595.19","38,134,634.42","4,159,495.68","6,548,249.12","75,984,183.25","50,561,875.55","20,474,572.24","41,426,822.73","57,777,662.80","95,534,587.25","10,721,489.30","101,896,246.20","500,493,685.65","63,260,707.42","10,094,115.19","20,041,666.67"
向中央银行借款净增加额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,"162,395,389.03","4,859,835.85","2,311,880.84","3,302,707.56","4,724,457.47","59,540.18","7,334,017.69","7,039,367.71","2,023,934.42","362,803.28","681,590.13","1,271,420.41","1,456,524.30","67,175.62","488,584.96","3,050,921.35","1,418,303.03","1,456.11","19,300.11","19,300.11","6,392,096.84","11,117,681.34","6,887,744.00","69,634,523.15","4,656,654.00","31,796,264.05","13,185,781.64","15,889,454.87","4,240,707.61","588,150.79","1,435,978.08","453,920.71","1,666,180.80","19,340.00","1,240,583.38","408,149.50","42,306,150.91","163,165.15","17,511,199.94"
向其他金融机构拆入资金净增加额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,132,400,000.00",,"8,607,560,000.00",,,,,"77,840,000.00",
投资活动现金流入小计,"229,395,389.03","353,193,752.71","97,561,880.84","98,552,707.56","103,574,409.47","59,540.18","79,334,017.69","81,039,367.71","193,466,159.40","362,803.28","390,246,137.37","357,239,256.61","439,212,851.94","816,587.35","67,172,224.96","95,126,214.11","107,569,376.90","32,989,697.55","34,745,260.80","34,326,691.74","46,586,637.09","11,117,681.34","846,456,422.00","496,391,089.26","42,791,288.42","139,074,759.73","885,598,642.32","91,873,638.12","54,802,583.16","307,754,314.02","1,442,949,834.37","1,781,610,854.67","97,200,768.05","363,666,645.27","19,477,185,851.38","21,974,124,837.69","2,493,173,727.19","997,072,633.49","1,757,007,813.77"
收取利息、手续费及佣金的现金,"5,987,379,050.74","4,744,269,006.00","2,569,750,178.43","4,363,447,219.03","5,936,214,892.82","1,235,596,819.15","2,538,838,599.06","3,415,395,977.34","5,601,945,428.90","1,412,685,251.89","2,741,249,093.22","3,984,881,139.47","4,895,311,313.95","894,293,674.11","1,889,507,996.64","2,630,054,278.65","3,645,286,968.46","1,171,102,279.27","2,367,019,229.32","3,760,677,830.00","4,995,687,557.78","805,615,814.15","2,622,162,499.40","4,400,549,767.30","6,532,259,200.34","3,391,043,544.09","9,648,779,232.25","14,947,694,204.69","18,155,561,612.60","2,627,659,524.89","6,149,602,025.54","9,032,721,213.23","12,910,945,950.04","2,754,227,073.41","5,854,360,741.22","8,573,319,667.81","12,460,398,920.78","2,666,726,136.70","5,970,142,385.25"
投资支付的现金,"26,451,533.23","336,674,780.77","30,000,000.00",,"60,000,000.00","50,000,000.00","80,001,400.00","50,000,000.00","80,001,400.00",,"344,698,757.06","307,050,216.32","50,000,000.00","30,000,000.00",,"75,008,100.00","83,207,064.11","10,000,000.00","85,000,000.00","8,700,000.00","3,034,996,766.47","250,000,000.00","198,922,134.51","838,165,177.59","1,056,490,826.56","1,143,286,695.51","855,624,412.13","4,492,936,732.16","1,701,872,970.92",,"1,254,873,217.65","9,021,373,208.21","4,301,772,677.81","2,087,130,931.11","25,495,413,697.41","33,322,827,375.27","332,541,295.00",,"239,350,578.10"
处置交易性金融资产净增加额,"-293,261,806.43","2,928,440,644.76","-3,468,988,359.34","-4,263,422,028.45",,"3,140,369,687.37","4,180,572,166.58",,,,,,,,,,,,,,"7,178,604,741.22","922,730,510.10",,,,,,,,,"3,970,998,465.86","1,782,322,201.37",,"6,939,575,867.01",,,,"5,919,687,413.24","3,307,621,882.91"
质押贷款净增加额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
