科目,2007-12-31,2008-12-31,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"17,925,795.97","25,062,632.22","40,689,629.95","35,517,959.84","484,668,119.74","443,235,944.50","400,434,279.60","335,905,086.16","335,975,314.20","322,257,714.91","196,935,369.81","109,664,053.42","807,386,335.54","756,143,242.70","755,130,998.92","714,989,750.18","454,659,044.70","304,431,748.06","290,421,901.45","312,156,687.33","347,182,446.89","477,808,962.02","168,611,671.15","194,655,752.47","148,388,987.31","788,223,626.74","96,809,753.65","107,766,710.57","84,639,175.28","154,636,164.80","117,342,664.97","109,072,227.31","112,148,356.74","89,260,271.23","390,804,947.95","247,760,491.52","209,127,291.14"
短期借款,"109,604,228.40","79,447,253.54","31,103,669.81","19,108,372.39","5,081,881.26",,,"28,112,800.00","33,704,361.15","62,572,693.17","34,259,726.05","45,254,369.35","10,087,909.28","46,310,437.56","43,215,810.68","103,779,349.55","48,461,706.43","67,024,580.76","95,777,328.28","147,220,442.11","186,826,589.81","327,762,243.63","350,858,997.17","415,524,552.62","488,117,008.54","86,042,894.56","46,882,924.62","133,360,976.53","97,377,263.01","82,379,419.66","118,031,937.98","205,350,017.31","227,726,707.20","278,529,772.57","425,982,385.80","419,748,424.80","455,557,574.84"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,"560,197.60",,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"8,470,425.91","18,180,308.22","21,505,898.30","22,397,454.19","46,420,311.04","67,107,622.41","79,560,469.81","85,479,152.95","107,741,531.04","146,240,300.23","158,895,083.68","131,001,889.09","130,813,080.87","147,840,600.79","115,073,930.00","77,616,111.45","81,389,810.00","94,902,339.35","121,301,021.65","116,961,631.34","63,383,813.38","61,285,924.36","106,679,786.17","84,243,401.18","80,594,849.47","65,454,337.65","128,902,017.58","167,960,713.45","108,980,471.73","126,019,760.32","177,301,902.93","214,348,154.50","246,600,928.83","293,737,242.96","349,079,480.94","251,544,190.38","274,888,586.59"
应付票据,,,,,,,,,,,,,,,,,,,,,,"6,000,000.00","3,000,000.00","7,300,000.00","15,150,000.00","19,650,000.00","16,105,000.00","24,605,000.00","12,100,000.00",,"9,920,000.00","19,110,000.00","24,590,000.00","24,900,000.00","28,800,000.00","27,967,200.00","25,967,200.00"
应收账款,"34,104,671.81","33,998,849.39","34,469,351.67","38,990,679.67","43,469,897.21","46,038,156.11","30,197,936.25","51,306,077.17","42,576,038.08","60,165,297.33","51,207,811.58","75,938,998.21","64,615,250.17","60,347,870.09","54,067,503.73","66,087,014.86","72,618,272.81","87,641,518.56","120,802,820.53","107,957,115.75","127,576,824.06","213,170,255.47","222,034,592.57","217,315,700.38","244,251,059.18","262,731,531.09","295,791,644.23","285,912,718.67","357,256,844.83","361,654,105.44","392,214,503.02","409,309,121.12","457,499,003.42","443,654,048.44","1,018,608,679.84","1,130,522,141.66","1,274,964,059.50"
应付账款,"25,191,441.97","15,482,399.81","17,061,317.68","22,594,972.30","28,445,860.29","21,840,922.99","35,042,577.45","41,880,111.67","89,236,168.85","43,687,590.76","87,321,398.76","59,826,224.10","65,405,582.52","59,529,323.03","50,146,104.09","46,360,867.43","68,659,046.45","52,867,210.63","60,432,407.86","57,082,066.10","171,860,700.81","191,609,087.70","250,682,462.84","197,017,488.54","222,312,832.53","178,438,610.85","144,705,031.46","142,343,063.50","132,518,649.71","240,360,106.58","218,717,439.03","143,469,096.98","231,438,082.26","193,039,455.75","655,892,344.21","567,391,677.16","575,153,076.10"
预付款项,"2,339,403.95","22,908.13","242,379.00","13,189,625.83","23,041,598.63","39,207,615.99","62,237,722.47","60,366,357.09","37,142,870.46","36,459,813.50","68,168,715.03","18,506,164.91","25,994,349.59","32,162,645.56","2,423,266.70","26,675,578.85","29,142,720.38","87,105,051.82","4,827,751.34","36,920,515.11","21,912,165.14","9,224,432.53","11,903,243.71","23,938,051.43","86,620,522.34","85,471,825.36","14,374,451.13","25,019,391.30","31,969,394.02","19,722,221.33","17,636,454.68","30,743,799.52","24,215,499.37","32,713,664.76","51,759,449.87","69,491,733.06","76,989,714.23"
预收款项,"355,096.41","1,887,811.71","2,888,968.64","4,252,149.11","5,633,323.26","7,067,509.28","2,211,449.68","5,836,188.63","7,506,478.25","7,746,145.91","6,049,967.05","3,128,441.65","4,583,944.27","4,018,522.41","3,019,601.94","4,274,258.58","2,639,931.79","4,336,327.94","1,324,705.45","7,422,455.14","5,802,593.93","5,937,141.55","4,932,696.96","13,919,731.49","16,482,561.68","15,123,806.08","4,890,745.90","6,967,696.89","5,386,664.47","9,282,656.60","9,786,215.24","11,970,361.33","9,900,064.15","10,951,633.72","18,123,624.86","17,198,038.73","22,307,601.23"
