科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"253,491,925.91","249,518,483.62","657,649,976.47","362,729,812.26","837,821,776.58","1,300,044,902.67","1,404,763,341.66","181,378,794.83","307,189,290.64","425,052,245.92","540,682,640.11","99,791,316.23","188,904,862.21","296,804,549.57","388,896,521.11","91,111,484.30","161,664,621.22","245,093,613.20","368,194,764.25","87,133,953.21","161,251,443.17","250,079,452.67","377,281,267.54","84,232,853.82","173,876,036.59","260,450,668.93","392,588,185.82","94,670,180.46","184,614,274.05","282,403,658.46","447,991,849.97","142,759,497.96","279,933,119.58","423,093,501.57","663,645,190.25","147,261,534.58","321,860,891.52"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-3,746,484.65","6,180,578.38",
收到的税费返还,"15,696,691.16","14,343,339.89","27,775,279.67","13,017,001.45","33,034,132.88","51,471,653.91","68,738,325.93","8,627,476.47","11,164,478.52","14,261,439.77","15,722,618.03","2,136,771.36","22,858,712.97","27,434,140.78","33,117,903.53","3,766,897.32","6,344,456.95","16,345,863.35","17,895,987.46",,"2,262,027.06","3,019,666.94","3,105,652.43","1,449,523.07","6,223,378.54","9,694,726.86","17,727,639.24","1,892,234.45","6,682,276.59","10,532,842.47","16,511,814.56","5,021,680.67","7,682,337.98","19,695,742.66","26,521,337.36","6,686,332.78","11,063,511.49"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"23,498,727.19","22,531,686.78","23,623,173.39","37,605,221.17","10,945,302.90","34,225,864.12","38,133,322.00","3,005,696.93","18,844,374.19","17,130,229.77","50,816,557.84","7,178,297.38","14,840,895.18","29,758,796.77","38,537,017.91","18,047,191.38","25,999,812.27","43,509,246.75","19,798,044.72","23,853,174.27","36,521,654.64","43,285,677.42","36,027,537.21","9,151,456.11","17,807,468.69","39,387,404.94","62,830,947.04","10,339,684.36","20,276,499.38","28,639,291.39","20,752,771.23","13,260,085.86","21,548,666.68","36,908,344.50","37,506,335.39","13,708,460.63","25,292,085.84"
投资活动现金流出小计,"19,049,863.69","44,381,802.61","62,347,128.25","39,791,533.02","120,328,541.31","205,926,687.57","229,805,847.42","32,499,450.99","57,602,759.65","78,368,023.67","240,067,164.17","69,032,252.89","95,390,641.06","113,060,010.69","85,700,836.77","121,929,562.34","271,217,847.87","449,259,961.02","418,896,441.75","116,598,241.48","279,789,762.51","289,893,354.74","351,073,586.32","273,886,208.31","368,572,467.91","441,899,268.09","832,898,857.50","132,692,040.36","497,530,709.78","711,910,015.90","1,012,196,102.12","272,735,262.73","487,041,058.44","668,377,636.32","1,295,648,308.69","29,784,166.19","315,946,858.44"
经营活动现金流入小计,"292,687,344.26","286,393,510.29","709,048,429.53","413,352,034.88","881,801,212.36","1,385,742,420.70","1,511,634,989.59","193,011,968.23","337,198,143.35","456,443,915.46","607,221,815.98","109,106,384.97","226,604,470.36","353,997,487.12","460,551,442.55","112,925,573.00","194,008,890.44","304,948,723.30","405,888,796.43","110,987,127.48","200,035,124.87","296,384,797.03","416,414,457.18","94,833,833.00","197,906,883.82","309,532,800.73","473,146,772.10","106,902,099.27","211,573,050.02","321,575,792.32","485,256,435.76","161,041,264.49","309,164,124.24","479,697,588.73","727,672,863.00","167,656,327.99","358,216,488.85"
投资活动产生的现金流量净额,"-19,103,361.37","-44,364,836.91","-37,281,966.83","-39,659,033.01","-120,196,041.30","-205,664,187.56","-229,541,847.42","-24,129,860.38","-57,592,844.65","-67,271,471.24","-239,046,258.60","92,723,787.78","69,878,806.95","105,465,909.90","77,428,114.23","-89,449,562.34","-112,367,314.95","-119,806,440.42","-138,162,414.91","-3,288,426.51","5,363,922.25","-3,698,570.39","43,524,959.91","-128,535,061.64","-140,867,017.00","-154,443,375.59","-130,149,666.01","169,623,603.49","-52,840,764.22","-77,683,199.08","-37,218,571.35","-106,292,480.95","-44,409,278.99","-112,184,209.92","-100,713,654.97","59,326,509.99","65,469,492.17"
购买商品、接受劳务支付的现金,"113,089,323.20","86,210,533.66","323,854,681.92","266,504,082.43","620,214,071.83","1,044,789,712.08","1,275,185,324.33","125,327,437.83","187,599,138.08","242,816,719.77","316,472,332.01","61,196,727.13","139,845,135.53","202,619,566.48","245,227,239.10","45,167,147.30","95,262,079.05","143,028,565.11","138,802,491.06","30,347,085.64","64,374,624.97","105,516,680.60","146,049,217.13","38,278,527.11","77,266,862.00","114,552,535.63","149,372,231.66","40,897,759.81","82,888,608.59","115,676,204.58","178,189,295.52","72,866,006.90","140,621,298.49","215,589,709.05","322,735,275.79","89,900,923.76","185,871,432.68"
吸收投资收到的现金,,,"2,450,000.00","1,076,000,198.32","1,076,000,198.32","1,076,000,198.32","1,082,779,469.60",,,,,,,,,,,,,,,,"3,645,000.00","5,550,000.00","5,550,000.00","5,550,000.00","5,550,000.00",,,"3,200,000.00","33,971,480.00","8,865,640.00","8,668,200.00","8,668,200.00","13,372,360.00",,"150,000.00"
